,AmericanSL,,,ChineseSL,,,,Hong Kong SL,,Taiwan SL,,,Korean SL,,German SL,,Danish SL,,Swedish  SL,,Netherland SL,,British SL,,Australian SL,,,New Zealand SL,
Selected fingers,FSW,SignWriting,shape name,FSW,SignWriting,CN meaning example,EN translation,FSW,SignWriting,FSW,SignWriting,meaning exmaple,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,meaningexample,FSW,SignWriting
0_finger(Fist),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Selected Fingers extended),S1f7,񅲱,a,S203,񆅁,,hit,S203,񆄱,S203,񆄱,拳fist,S203,񆄱,S203,񆄱,S203,񆄱,S203,񆄱,S203,񆄱,S203,񆄱,S203,񆄱,fist,S203,񆄱
,S203,񆄱,s,S1f5,񅯣,,good,S1f5,񅯡,S1f5,񅯡,男male,S1f5,񅯡,S1f5,񅯡,S1f8,񅴑,S1f5,񅯡,S1f8,񅴑,S1f8,񅴑,S1f8,񅴑,cloased,S1f8,񅴑
,,,,S1f7,񅳁,,hold,S1f7,񅳁,S1f7,񅲱,副,S1f8,񅴑,,,S1f5,񅯡,,,S1f5,񅯡,S1f5,񅯡,S1f5,񅯡,good,S1f5,񅯡
(Selected Fingers bent),,,,,,,,,,,,,S1f9,񅵱,,,,,,,,,,,,,,,
(fistDerivation),S1fb,񅸱,t,S1fc,񅺡,,n,S1fc,񅺑,S1fd,񅻱,日,S1ff,񅾱,,,,,S201,񆁱,S201,񆁱,,,,,,S201,񆁱
,,,,S1fd,񅼁,,m,S1fd,񅻱,,,,S200,񆀑,,,,,,,S1fb,񅸱,,,,,,,
,,,,,,,,S1fb,񅸱,,,,,,,,,,,,,,,,,,,,
1_finger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Selected Fingers extended),S100,񀀁,1,S100,񀀁,,1,S100,񀀁,S100,񀀁,1,S1de,񅍑,S100,񀀁,S100,񀀁,S100,񀀁,S100,񀀁,S100,񀀁,S100,񀀁,point,S100,񀀁
,S1dc,񅊑,l,S1dc,񅊡,,8,S1dc,񅊑,S1de,񅍑,6,S1df,񅎱,S1dc,񅊑,S101,񀁱,S1dc,񅊑,S108,񀌑,S1dc,񅊑,S1dc,񅊑,gun,S1dc,񅊑
,S101,񀁱,d,S192,񃛁,,bad,S1e0,񅐑,S103,񀄱,夕,S192,񃛑,S192,񃛑,S1de,񅍑,S192,񃛑,S1de,񅍑,S101,񀁱,S103,񀄱,letter_d,S1c6,񄩑
,S19a,񃧑,y,S19a,񃧁,,6,S19a,񃧑,S19a,񃧑,民people,S19a,񃧑,S19a,񃧑,S19a,񃧑,S19a,񃧑,S19a,񃧑,S19a,񃧑,S19a,񃧑,plane,S19a,񃧑
,S192,񃛑,i,S1e0,񅐁,,very,S101,񀁱,S192,񃛑,女female,,,,,S1c6,񄩑,S1c6,񄩑,S101,񀁱,S1c6,񄩑,S192,񃛑,bad,S192,񃛑
,,,,S1c6,񄩁,,"neutral, normal",S192,񃛑,S1e0,񅐑,很,,,,,S192,񃛑,,,S1df,񅎱,S192,񃛑,,,,,
,,,,,,,,S1c6,񄩑,S1c6,񄩑,兄olderbrother,,,,,S1dc,񅊑,,,S192,񃛑,,,,,,,
,,,,,,,,,,S1ae,񄅑,姊oldersister,,,,,,,,,S193,񃜱,,,,,,,
,,,,,,,,,,,,,,,,,,,,,S1dc,񅊑,,,,,,,
,,,,,,,,,,,,,,,,,,,,,S1c6,񄩑,,,,,,,
(Selected Fingers flattened),S10c,񀒑,flat_1,S1f2,񅫁,,doctor,S1f3,񅬱,S1f2,񅫁,隻,,,,,S10c,񀒑,S10c,񀒑,S1f2,񅫁,S10c,񀒑,,,,S10c,񀒑
,,,,,,,,,,,,,,,,,S1f2,񅫁,,,,,,,,,,,
(Selected Fingers bent),S106,񀉑,bent_1,S106,񀉑,,9,S106,񀉑,S198,񃤑,,S106,񀉑,S1e1,񅑱,S106,񀉑,S10a,񀏑,S106,񀉑,S106,񀉑,S1e1,񅑱,bent_gun,S1e1,񅑱
