HamNoSys,HamNoSys,HamNoSys,FSW_all,AmericanSL,AmericanSL,AmericanSL,ChineseSL,ChineseSL,ChineseSL,ChineseSL,Hong Kong SL,Hong Kong SL,Taiwan SL,Taiwan SL,Taiwan SL,Korean SL,Korean SL,German SL,German SL,Danish SL,Danish SL,Swedish  SL,Swedish  SL,Netherland SL,Netherland SL,British SL,British SL,Australian SL,Australian SL,Australian SL,New Zealand SL,New Zealand SL
HamNoSys_Initial_Configuration,HamNoSys_Basic_Handshape,HamNoSys_Handshape_Modifications,FSW_all,FSW,SignWriting,Shape_Name,FSW,SignWriting,meaning_example,EN_translation,FSW,SignWriting,FSW,SignWriting,meaning_exmaple,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,meaning_example,FSW,SignWriting
Selected fingers,0_finger(Fist),(Selected Fingers extended),S1f5,,,,S1f5,񅯣,,good,S1f5,񅯡,S1f5,񅯡,男male,S1f5,񅯡,S1f5,񅯡,S1f5,񅯡,S1f5,񅯡,S1f5,񅯡,S1f5,񅯡,S1f5,񅯡,good,S1f5,񅯡
Selected fingers,0_finger(Fist),(Selected Fingers extended),S1f7,S1f7,񅲱,a,S1f7,񅳁,,hold,S1f7,񅳁,S1f7,񅲱,副,,,,,,,,,,,,,,,,,
Selected fingers,0_finger(Fist),(Selected Fingers extended),S1f8,,,,,,,,,,,,,S1f8,񅴑,,,S1f8,񅴑,,,S1f8,񅴑,S1f8,񅴑,S1f8,񅴑,cloased,S1f8,񅴑
Selected fingers,0_finger(Fist),(Selected Fingers extended),S203,S203,񆄱,s,S203,񆅁,,hit,S203,񆄱,S203,񆄱,拳fist,S203,񆄱,S203,񆄱,S203,񆄱,S203,񆄱,S203,񆄱,S203,񆄱,S203,񆄱,fist,S203,񆄱
Selected fingers,0_finger(Fist),(Selected Fingers bent),S1f9,,,,,,,,,,,,,S1f9,񅵱,,,,,,,,,,,,,,,
Selected fingers,0_finger(Fist),(fistDerivation),S1fb,S1fb,񅸱,t,,,,,S1fb,񅸱,,,,,,,,,,,,S1fb,񅸱,,,,,,,
Selected fingers,0_finger(Fist),(fistDerivation),S1fc,,,,S1fc,񅺡,,n,S1fc,񅺑,,,,,,,,,,,,,,,,,,,,
Selected fingers,0_finger(Fist),(fistDerivation),S1fd,,,,S1fd,񅼁,,m,S1fd,񅻱,S1fd,񅻱,日,,,,,,,,,,,,,,,,,
Selected fingers,0_finger(Fist),(fistDerivation),S1ff,,,,,,,,,,,,,S1ff,񅾱,,,,,,,,,,,,,,,
Selected fingers,0_finger(Fist),(fistDerivation),S200,,,,,,,,,,,,,S200,񆀑,,,,,,,,,,,,,,,
Selected fingers,0_finger(Fist),(fistDerivation),S201,,,,,,,,,,,,,,,,,,,S201,񆁱,S201,񆁱,,,,,,S201,񆁱
Selected fingers,1_finger,(Selected Fingers extended),S100,S100,񀀁,1,S100,񀀁,,1,S100,񀀁,S100,񀀁,1,,,S100,񀀁,S100,񀀁,S100,񀀁,S100,񀀁,S100,񀀁,S100,񀀁,point,S100,񀀁
Selected fingers,1_finger,(Selected Fingers extended),S101,S101,񀁱,d,,,,,S101,񀁱,,,,,,,,S101,񀁱,,,S101,񀁱,S101,񀁱,,,,,
Selected fingers,1_finger,(Selected Fingers extended),S103,,,,,,,,,,S103,񀄱,夕,,,,,,,,,,,,,S103,񀄱,letter_d,,
Selected fingers,1_finger,(Selected Fingers extended),S108,,,,,,,,,,,,,,,,,,,,,S108,񀌑,,,,,,,
Selected fingers,1_finger,(Selected Fingers extended),S192,S192,񃛑,i,S192,񃛁,,bad,S192,񃛑,S192,񃛑,女female,S192,񃛑,S192,񃛑,S192,񃛑,S192,񃛑,S192,񃛑,S192,񃛑,S192,񃛑,bad,S192,񃛑
Selected fingers,1_finger,(Selected Fingers extended),S193,,,,,,,,,,,,,,,,,,,,,S193,񃜱,,,,,,,
Selected fingers,1_finger,(Selected Fingers extended),S19a,S19a,񃧑,y,S19a,񃧁,,6,S19a,񃧑,S19a,񃧑,民people,S19a,񃧑,S19a,񃧑,S19a,񃧑,S19a,񃧑,S19a,񃧑,S19a,񃧑,S19a,񃧑,plane,S19a,񃧑
Selected fingers,1_finger,(Selected Fingers extended),S1ae,,,,,,,,,,S1ae,񄅑,姊oldersister,,,,,,,,,,,,,,,,,
Selected fingers,1_finger,(Selected Fingers extended),S1c6,,,,S1c6,񄩁,,"neutral, normal",S1c6,񄩑,S1c6,񄩑,兄olderbrother,,,,,S1c6,񄩑,S1c6,񄩑,S1c6,񄩑,S1c6,񄩑,,,,S1c6,񄩑
Selected fingers,1_finger,(Selected Fingers extended),S1dc,S1dc,񅊑,l,S1dc,񅊡,,8,S1dc,񅊑,,,,,,S1dc,񅊑,S1dc,񅊑,S1dc,񅊑,S1dc,񅊑,S1dc,񅊑,S1dc,񅊑,gun,S1dc,񅊑
Selected fingers,1_finger,(Selected Fingers extended),S1de,,,,,,,,,,S1de,񅍑,6,S1de,񅍑,,,S1de,񅍑,,,S1de,񅍑,,,,,,,
Selected fingers,1_finger,(Selected Fingers extended),S1df,,,,,,,,,,,,,S1df,񅎱,,,,,,,S1df,񅎱,,,,,,,
Selected fingers,1_finger,(Selected Fingers extended),S1e0,,,,S1e0,񅐁,,very,S1e0,񅐑,S1e0,񅐑,很,,,,,,,,,,,,,,,,,
