canonical_gloss,synonyms,sid,FSW
muñeco,"juguete , producto,",8308,M539x531S15a56509x511S37a06461x516S37a08501x483S18510481x472S2a400514x470
albaricoque,,7841,M532x542S15a34493x500S1ba41489x483S20500471x503S21100468x517S21b00509x514S2df00511x521S2df08502x458S21b00483x469
arlequin,"bufón ,  bromista ,  payaso",2851,M561x531S33b00482x483S15711517x461S15719458x461S18516538x506S1851e450x506S2d509542x485S2d511442x486
automático,,8179,M568x528S36d00479x472S2d600532x481S2d618441x478S15008440x497S15000543x497
batir,,2846,M522x527S15d09478x493S1ea11490x473S2e500499x500
Castaña,,5490,M517x517S18152488x486S20500491x506S18105483x484
cazo,"cazo de servir,  cazo sopero",7912,M561x554S1ea21514x447S1ea21440x510S1ea00486x485S2e201534x461S2e201461x524
cereza,,7838,M585x525S2ff00482x483S10e14521x495S2d400542x494
ciruela,,7837,M508x508S17614492x492
cld intermitentes,,8209,M533x521S17d20510x490S17d20467x489S15a50494x494S22224470x480S22224511x479
cld luces de estacionamiento,,8213,M518x519S15a50482x492S17756495x481S21c00512x485
cld luces delanteras,,8207,M534x518S15a50496x491S17756509x482S17756478x482S21c00467x482S21c00528x482
cld luces fijas,,8205,M527x519S16d56473x482S16d56507x482S15a58493x492
cubata,"cuba libre, botellon, botellona",7869,M534x596S1b810511x526S1b818470x524S34800482x483S2ea04519x559S2ea14480x558S2fd04495x590
saltear,dar la vuelta a la tortilla,8303,M520x522S1ea40497x479S2ea00480x497
demanda,,8175,M579x522S36d00479x518S15a05461x480S15a03513x479S26603545x484S26607557x492S26615438x486S26611422x493
deslumbramiento,,8181,M580x521S30e00482x483S14c00516x471S14c00508x490S17711561x459
detector,,8182,M542x535S31a00482x483S10000496x505S20600520x504
encamisar,engrasar,8262,M522x528S17318479x483S15d03499x472S2d900478x508
espuma,,4587,M533x537S15322468x464S1532a508x464S22124470x494S22124470x503S22124509x494S22124508x504S26500513x522S26510473x521
filtro,,8238,M532x527S14c55492x501S14c53506x489S20f00469x490S26503507x474
fuente,,8177,M539x519S18518461x504S18510487x504S20500482x490S2d906496x482
espectro,grafico,8185,M550x522S10008453x492S10012460x486S20500450x478S29e0a499x491
higo,breva,7847,M570x521S18527475x493S1852f455x494S18506534x495S1850e555x494S20500468x479S20500548x481S2d508493x490S2d510430x491
hueso,"hueso de aceituna, hueso de fruta",7824,M511x515S1ce48489x485
autoridades,institución,8078,M540x524S20300499x477S20300461x477S37800467x492S37800505x492S26506525x498
investigar,,8183,M520x536S11527481x481S1152f495x481S20500497x464S2e300492x509
capa,"capas,  lasaña",2852,M539x525S15a26481x513S15a22499x492S20e00513x513S2d500517x476S2d518462x499
bar,pajarita,7964,M541x566S33b00482x483S3780b486x536S37803482x535S12900468x514S12908508x514S20500495x531S21e01458x507S21e03529x507
trocear,partir,8307,M547x515S1ea30508x494S1ea38476x493S20500498x503S2d510454x487S2d508525x486
Piña,,4953,M520x530S20320505x515S17630503x483S21b00506x470S20500506x500S26500481x487
taza,"taza consomé,  taza desayuno",7921,M560x561S34d00482x483S1d410520x504S1d418450x504S2c405521x536S2c415441x537
trinchar,trinchero,7907,M530x527S26e09509x503S11524471x474S11511505x475
""" 1",,7532,M505x505S22a31495x494
""" 2",,7533,M505x505S22a33494x495
( 1,,114,M512x516S37800487x484S37706487x483S37706487x514
( 2,,115,M507x536S37708494x487S37709494x463S37709500x464S37701494x512S37701500x510S37700500x487
",",,56,S38700463x496
-es--sordo---eo--sordulo-,,20,M543x538S2ff00482x482S10011522x508S20500494x522S20500522x495S22a03510x514
.,,45,M517x521S37900507x481S37706484x480S37706483x519S37910512x481
.,,57,S38800464x496
0 (number),,8414,M508x508S17620492x492
1,,8405,M508x515S10020493x485
2,,8406,M508x515S10e20493x485
3,,8407,M509x515S18620491x485
4,,8408,M511x516S14420489x485
5,,8409,M512x516S14c20489x485
6,,8410,M520x516S14c00481x485S10000505x486
7,,8411,M520x516S14c00481x485S10e00505x486
8,,8412,M520x516S14c00480x485S18600502x486
9,,8413,M522x516S14c00479x485S14400500x485
?1,,58,S38906493x464
?2,,59,S38903470x470
?3,,60,M518x517S30a00482x482
?4,,61,M518x517S30c00482x482
?5,,62,M518x517S30d00482x482
?6,,63,M518x517S30f00482x482
`,,8403,M525x517S11d12475x501S2c300499x484
A,,8375,M510x508S1f720490x493
a 2,,65,M510x507S1f720490x492
a 3,,66,M507x507S20340492x492
a1,,64,M510x507S1f740490x492
aaron,,89,M531x533S18542505x466S1854a480x466S20500501x497S20500488x497S20500502x510S20500502x522S20500488x509S20500488x522S22b04515x493S22b14470x491
abad,,90,M549x568S2ff00482x482S2b700505x462S2b711465x462S1ea51521x489S1ea59451x491S1f502493x519S1f55c485x553S28808476x533
abadesa,,91,M551x570S35900482x482S10012507x488S1001a463x488S21100471x505S21100517x505S2880c539x494S28814450x495S1f502493x521S1f55c484x555S28808478x535
abajo,,92,M508x532S10014492x502S22b04492x467
abandonado,,93,M573x563S30c00482x482S14c27503x515S14c27536x510S25605549x532S25615516x539
abandonar,,94,M521x522S17650480x478S17650505x478S22a04507x497S22a14481x497S21b00510x514S21b00484x513
abandonar 2,,95,M530x534S14c50506x466S14c58471x465S20320475x519S20320512x519S26500512x501S26510476x501
abarazar 2,,117,M554x527S14c01452x482S14c09508x472S37703474x504S3780a495x494S20c00526x498S20c00447x514
abastecer,,8036,M557x525S12920517x503S12928454x503S21e12523x475S21e12470x475S2b730537x481S2b740443x484
abba,,96,M580x544S30000482x483S30004482x482S20500495x469S20500495x520S15a12521x494S10010563x477S22b00564x514S22b04530x511
letra,"dactilológico, abc",8028,M514x539S14e00489x474S22620486x462S26a06496x512
abdias,,97,M533x532S15a31469x509S15a37467x509S20b00494x513S22b03492x484S1f701512x467
abeja 1,,98,M514x516S18520488x501S26a00487x484
abeja 2,,7534,M547x532S3770b463x510S20357477x494S1f411483x468S20b00454x485S24009522x473
