canonical_gloss,synonyms,sid,FSW
incisive,incisives,7277,M555x518S20500495x504S14550530x485S33b00482x483
la_Nouvelle_Angleterre,,3096,M556x543S15730460x457S20700466x506S22a00468x489S17737468x524S16d48444x521S20356512x515S16f51511x495S26a24529x520S2f900541x537S20800539x507
récessif,,5214,M515x515S10018486x485S1f110486x491
“,,4975,M505x505S30a50495x495
!,,4884,S38812494x470
!,,4885,S38810463x495
guillement,"guillements, """,6725,M535x522S10e20520x492S10e28466x490S21600470x479S21600526x481S2fd00489x480
"""s",,6069,M522x616S20324490x385S20324478x567S20340507x567S2a20a485x587
pourcent,%,9585,M526x513S18520474x487S23f03503x492
pourcentage,%,9586,M526x513S18520474x487S23f03503x492
s'appeler,"m""appelle, 'appelles, s'appelle, nous-appelons, vous-appelez, s'appellent",5566,M525x529S22f04500x472S20500505x487S11541489x496S11549475x502
(,,4915,S38b02493x476
(,,4916,S38b00470x493
),,4917,S38b06493x476
),,4918,S38b04470x493
astérisque,*,7964,M548x601S30007482x483S1c510518x474S2e000526x507S10050495x571S22a03499x554S22a04503x560S22a05506x555
",",,731,S38702496x463
",",,4805,S38702496x463
",",,202,S38700463x496
-,,4977,M510x517S29f0c491x484
.,,732,S38802496x464
.,,4804,S38800464x496
point,.,8960,M545x516S15d48456x489S10052470x490S21100504x490S2c300519x484
1,"un, Un",21,M507x515S10020492x485
1,"un, Un",4786,M508x515S10000493x485
1,"un, Un",4809,M508x515S10040493x485
1,,5190,M542x518S17710496x503S17718459x501S20500483x482S26502499x485S26516462x484S10020527x488
"1,5",1-décimal-5,5158,M532x519S10020469x487S10050491x487S26500497x482S14c20509x488
1-b,,3241,M508x515S10000493x485
1-eau,,1982,M521x557S21800493x531S10600506x531S35c00482x471S2ff10482x501S34410496x518
1-moi,,2066,M552x520S10044537x480S36d00479x494S20500494x509
1-n,,3130,M518x556S10020493x526S34c00482x483
1-penser,,1981,M527x523S31a30489x495S26504503x440S35d14497x509S30100482x477S10053506x463
demi,1/2,845,M509x540S10040494x460S22a04493x494S10e40492x510
tiers,1/3,846,M511x545S10040495x455S22a04494x489S2f700493x505S11e40488x515
1/4,quart,847,M511x547S10040493x454S22a04492x488S2f700491x504S14440489x516
1/8,,848,M512x544S10040497x456S22a04496x490S2f700495x506S1bb40487x516
1/8,,5227,M512x539S10040497x461S22a04496x495S1bb40489x511
10,dix,1689,M514x528S1f540487x504S2a508493x472
10,,5266,M513x527S1f540487x503S2a208490x473
10-capuchon,,2132,M554x536S2ff20476x490S32124502x475S1f810528x520S1f818458x521S1f840536x470S1f848467x469S2b700520x487S2b711462x491
10-dix-enfants,,2073,M553x537S2940a509x517S22a05463x512S1f540448x488S2a508466x463S15d50480x510
10-gomme,,1994,M547x564S35f00482x483S31530490x493S1f550520x506S2a308524x528
100,cent,853,M525x515S10b10475x486S10610510x488S26506494x501
100,,3140,M526x516S10020474x484S10620505x489S26506493x502
100%,,5081,M556x517S10b10445x483S10610480x485S26506464x498S17610508x493S2450a525x499
mille,1000,854,M514x541S20500497x508S15a38485x514S18051489x516S10020495x459S22a04496x492
11,onze,1675,M512x520S10000489x490S21d00494x480
onze_heures,11 h 00,1277,M533x548S10013479x512S15a1a482x536S20500468x535S22a07507x503S10000509x466S21d00515x452
12,douze,1676,M509x521S10e00491x491S21d00491x480
13,treize,1677,M516x518S13200492x493S22114484x483
14,quatorize,1672,M509x514S21d00491x486S14a00493x499
14,quatorize,1679,M512x523S14400489x492S21d00494x478
1492,,6111,M543x517S10020458x484S14420476x484S1ce20499x487S10e20528x487
15,quinze,1678,M513x519S22114487x481S17f00498x490
16,seize,1680,M510x533S18710490x468S2e208490x501
16,seize,3131,M510x533S18710492x504S2e208490x468
quatre-heures,"4h00, 16h00",1380,M532x546S10013479x510S15a1a481x534S20500467x533S22a00493x489S27106517x454S14420490x455
17,dix-sept,1681,M527x516S2e208507x484S1a510474x485
dix-huit,"18, Dix-huit",113,M512x531S2e208492x468S1bb10488x503
18,dix-huit,1682,M526x516S2e208506x484S1bb10474x484
1805,,3337,M546x518S10020454x488S1bb20476x489S17620503x498S14c20523x482
1814,,5988,M542x527S14b07525x499S22114513x489S1f502458x503S1bb20483x496S2df08467x474
1817,,2915,M549x518S10020452x488S1bb20474x489S10020504x483S1a520528x482
1830,,3323,M546x516S10020455x486S1bb20477x487S11e20503x484S17620530x497
19,dix-neuf,114,M511x533S2e208489x466S1ce10489x503
19,dix-neuf,1683,M510x516S2e208490x484
1_point_5,1point5,5200,M532x519S10020469x487S10050491x487S26500497x482S14c20509x488
1a,,4451,M534x553S2ff00482x483S15a20463x526S15a20522x524
1b,,4452,M538x553S2ff00482x483S15a20463x526S15a20526x447
1c,,4453,M538x518S2ff00482x483S15a20460x445S15a20526x447
1d,,4454,M538x518S2ff00482x483S15a18460x445S15a10526x447
1e,,4455,M518x518S2ff00482x483S15a18490x447S15a10503x448
1f,,4456,M545x518S2ff00482x483S15a18490x447S15a00533x485
1g,,4457,M546x518S15a00534x471S15a08455x468S33e00482x483
1h,,4458,M518x518S33e00482x483S15a00500x473S15a08487x475
1i,,4459,M564x627S15a10514x445S15a18478x445S2ff00481x408S2ff00484x483S15a10502x524S15a18489x523S2ff00483x558S15a20552x600S15a28444x598
1j,,4460,M541x587S15a20529x392S15a28457x394S2ff00481x413S2ff00483x487S15a00528x464S15a08464x463S2ff00484x552S15a10529x530S15a18467x528
2,"deux, Deux",69,M507x515S10e20492x485
2,"deux, Deux, les_deux",4726,M508x515S10e00493x485
2,"deux, Deux",4810,M508x515S10e40493x485
