canonical_gloss,synonyms,sid,FSW
a,,2282,M510x507S1f720490x492
demisi,"abdik, rezign",210,M525x527S36d00479x473S14c50499x496S14c58479x496S22101490x483S22107516x483S22105516x509S22103490x509S22101470x483S22107496x483S22105496x509S22103470x509
abel,,1757,M551x517S32a00482x482S1da02522x492
abhhaz,,1913,M518x559S30004482x482S1f710489x517S15a10504x532
abolici,sal,1628,M528x526S36d00479x474S11541504x499S11549484x499
abon,,1797,M521x525S36d00479x475S1ce04494x495S15a0a489x510
abrupt,,853,M547x531S36d00479x470S1f740509x495S1ea40524x510S1f748479x495S1ea48494x510
absolut,,467,M539x513S36d00479x488S1f750519x498S1f758469x498
sof,"sorb, absorb",847,M526x523S36d00479x477S17750499x500S17758479x500S22105489x486S22103517x486S22101517x514S22107489x514S22105469x486S22103497x486S22101497x514S22107469x514
abstin,,675,M521x519S36d00479x481S18250499x504S18258479x504S22104493x487S22104479x487
absurd,,1326,M537x517S30000482x482S1f702492x457S10102507x472
abund,,1479,M560x540S36d00479x460S1f740529x495S10140544x510S1f748459x495S10148474x510
mav,ach,1818,M518x519S33100482x482S1f520492x504
achet,,2264,M521x527S36d00479x474S1771e494x504S15a46489x514S22105484x490S22103512x490S22101512x518S22107484x518
ad,tang,219,M512x511S1ea20489x490
adici,,617,M521x531S36d00479x470S14c12474x485S14c38474x500S22101465x500S22107491x500S22105491x526S22103465x526
apog,adjektiv,1159,M521x523S36d00479x478S1f700489x508S15a4a484x493
direkt,administr,1931,M552x528S36d00479x472S1ea40529x507S1ea48459x507
au,admir,1461,M544x530S36d00479x471S1f540529x506S1f548459x506
admon,,364,M518x542S30004482x482S15410489x517
adopt,,1042,M524x529S36d00479x471S1771e497x506S22105487x492S22103515x492S22101515x520S22107487x520
ador,,519,M514x515S19c20486x486
adres,,762,M534x513S36d00479x488S1f702519x493S1f70a469x493
adverb,,636,M521x523S36d00479x478S14a00489x508S15a4a484x493
advokat,ge_av,579,M521x525S36d00479x476S15a20469x486S1ec00469x506
aer,,1845,M526x531S36d00479x469S18254504x494S1825c484x494S22104487x524S22104497x524
ankorau,aeroplan,1898,M550x525S36d00479x475S19a50522x505
mild,"afabl, san",154,M549x514S36d00479x487S1ce02519x492S1ce0a469x492
afar,,175,M528x551S30004482x482S1f710489x517S1eb10504x532
afer,objekt,262,M524x533S36d00479x468S10050509x498S10008494x503
afganistan,,2031,M536x534S36d00479x466S1f750499x489S1ce50514x504S1f758479x489S1ce50494x504
afish,,136,M568x541S36d00479x460S1f740529x495S14c40544x510S1f748459x495S14c48474x510
afrik,,2074,M523x517S30000482x482S14c02492x457
