canonical_gloss,synonyms,sid,FSW
*,,31,
*,,32,
*,,33,AS10011S30007S20500S26500M543x521S10011522x491S30007482x483S20500509x470S26500524x472
*,,34,
*,,36,
*,,37,
friend,,8,AS16d21S17107S22b03S20800M527x518S22b03503x483S17107480x488S16d21474x494S20800494x508
friend,,9,AS16d51S16d39S20800M514x517S20800490x484S16d39494x494S16d51486x497
friend,,10,AS16d51S16d39S22b03S20800S20b00M523x529S22b03499x471S16d39502x502S16d51494x509S20b00486x495S20800477x507
ISL Hatikva (excerpt),Hatikva,5,
in,,4,M518x524S17648483x508S18551491x496S22a04500x477
Kaddish,,1,AS15616S2f900M511x513S15616489x486S2f900495x508
know,,35,
א,,11,M510x508S1f720490x493
ב,,12,M507x511S14720493x489
ג,,13,M516x512S1e341485x489
ד,,14,M511x515S10520489x485
ה,,15,M515x508S11502485x493
ו,,16,M508x515S10020493x485
ז,,17,M516x516S10050501x486S2990c484x484
ח,,18,M510x515S1a020490x486
ט,,19,M515x514S1d220486x486
י,,20,M511x510S19220490x491
כ,,21,M509x510S16d10492x490
ל,,22,M512x515S1dc20488x485
מ,,23,M508x510S1fd20493x491
נ,,24,M508x510S1fc20493x491
ס,,25,M508x508S20320493x493
ע,,26,M510x514S11020491x487
פ,,27,M516x512S14051485x488
צ,,28,M512x515S11e20489x485
ק,,29,M515x515S14020486x485
ר,,30,M508x515S11a20493x485
