canonical_gloss,synonyms,sid,FSW
-ness,,965,M523x523S14c18477x478S11920502x479S22a04509x508S20e00495x510
-ward,,872,M509x525S26500493x476S18720491x496
-y,,909,M525x520S15d18476x481S19a20497x481S22a04505x505
one,1,183,M508x515S10020493x485
ten,10,192,M511x530S2e230492x498S1f701490x471
eleven,11,193,M512x521S10000489x491S21d00494x480
twelve,12,194,M509x521S10e00491x491S21d00491x479
thirteen,13,195,M530x528S11e27505x472S1f701471x481S2df0c470x507
fourteen,14,196,M531x527S2df0c469x506S1f701470x480S14427503x473
fifteen,15,197,M532x526S2df0c469x505S1f701470x479S14c27506x474
two,2,184,M508x515S10e20493x485
twenty,20,198,M532x516S10e20469x485S17610516x500S22a06493x502
three,3,185,M512x515S11e20489x485
four,4,186,M511x516S14420489x485
five,5,187,M512x516S14c20489x485
six,6,188,M509x515S18720491x486
seven,7,189,M511x514S1a520490x486
eight,8,190,M511x514S1bb20490x486
nine,9,191,M511x515S1ce20489x485
a,A,64,M510x508S1f720490x493
a,A,65,M510x508S1f720490x493
A,a,200,M510x508S1f720490x493
a lot of,"lots of, many",438,M548x544S14c00510x457S14c08466x457S18530509x514S18538467x514S22a04515x493S22a14471x493S22a05535x530S22a13453x530
ability,,367,M525x534S1f720505x467S1f728475x467S22b04509x488S22b14475x488S2fb04493x528
about,,373,M528x524S18518472x509S10012498x502S2f000504x477
about,,497,M531x537S10012500x463S1001a472x473S2ea00516x483S2ea18470x493S2fc04494x526
accompany,,286,M572x518S1f740473x503S1f748448x503S26502496x503S26516429x504S1f740552x502S1f748527x502S26520542x482
count,accounts (finance),665,M527x525S15a39487x502S1ce51474x491S26507500x487S20e00515x476
achieve,,355,M559x523S1f511512x477S1f519467x477S2e231532x496S2e237442x496
achieve,,791,M590x529S10052516x490S1005a455x490S2f001533x509S2f011446x509S22e07559x508S22e11422x508S10020575x471S10028411x471
