canonical_gloss,synonyms,sid,FSW
alkalmas,suitable,22,AS15a37S15a11S20500S20500M528x520S15a37476x497S15a11505x480S20500487x479S20500472x479
alkalmas,suitable,51,AS15a41S15a37S20500M526x520S15a41503x483S15a37475x497S20500485x480
anya,mother,15,AS2ff00S15a10S15a10S20500S20500S2d500M531x544S2ff00482x482S15a10504x504S15a10483x504S20500521x503S20500471x504S2d500488x535
lakás,"flat, apartment",46,AS2ff00S1dc20S20600S22a03S22a03M544x522S2ff00482x483S1dc20520x473S22a03505x493S22a03500x489S20f00516x510
jóváhagy,"jóváhagyás, approve, approval",47,AS11e21S14c07S20500S23109M535x529S11e21505x472S14c07465x503S20500492x517S23109487x488
asztal,table,21,AS15a50S15a50S20500S22c12S22c06M546x529S15a50484x481S15a50503x481S20500494x470S22c12453x512S22c06504x513
végre,"at last, finally",9,AS20303S36d00S20500S32401M521x566S20303472x545S36d00479x526S20500485x538S32401483x482
autó,car,27,AS20301S20303S23611S23607S2fb04M538x529S20301507x471S20303477x471S23611463x498S23607509x499S2fb04494x519
barna,brown,23,AS21100S20349S20341M522x520S21100482x481S20349477x499S20341501x487
barna,brown,53,AS20349S20341S21100M520x521S20349480x500S20341499x491S21100487x478
Bomba,"Nagyon, Very much (intensifier)",7,AS20311S23603M518x526S20311483x473S23603489x496
de,but,11,AS10010M507x515S10010492x485
Sapka,Cap,1,AS2ff00S15a11S20600M535x517S2ff00482x482S15a11512x476S20600488x469
ünnep,"holiday, celebration",35,AS11537S11551S20600M523x520S11537477x495S11551496x494S20600490x480
cigaretta,"dohányzik, cigarette, to smoke",42,AS11500S2ff00S26607M536x535S11500492x505S2ff00482x482S26607514x503
társ,"fellow, companion",20,AS15a50S15a50S20500S28b0fS28b17M537x540S15a50483x472S15a50501x471S20500492x459S28b0f501x504S28b17462x503
Ország,"Country, Land",3,AS1da20S1da28S20500S28b14S28b0cS1da20S1da28S20500M539x539S20500494x461S1da20501x460S1da28482x461S28b14461x483S28b0c519x481S1da20501x510S1da28484x510S20500495x512
cső,tube,65,AS17620S17621S20500S22b12S22b06M546x520S17620479x479S17621507x479S20500495x506S22b12453x503S22b06516x504
dátum,date,24,AS15a07S20351S20500M520x517S15a07480x483S20351494x496S20500510x483
siket,Deaf,14,AS2ff00S11511S20500S20500M547x534S2ff00482x482S11511522x507S20500495x518S20500519x493
édes,"finom, sweet, delicious",33,AS2ff00S10c40S26506S20e00M535x546S2ff00482x482S10c40492x508S26506520x516S20e00515x534
egér,mouse,63,AS14c30S14c03S20500S20500M524x520S14c30476x482S14c03485x479S20500501x509S20500514x509
Első,First,5,AS10010S10000M519x515S10010481x484S10000504x485
eredmény,"result, outcome",19,M522x523S15a37478x500S15a31499x482S20500481x488S20500481x476
este,evening,26,AS2ff00S20500S20500S10020S10002S22a04M548x528S2ff00482x482S20500495x484S20500496x505S10020527x459S10002518x513S22a04530x495
kivéve,"kivétel, except, exception",56,AS15a37S15a4fS20e00S26507M532x523S15a37468x497S15a4f498x489S20e00492x511S26507519x476
költ,"költség, spend, expense",29,M531x522S15a37474x494S15a01493x499S20f00469x478S26a07510x483
híres,famous,62,AS2ff00S10e10S20500S20500M550x517S2ff00482x482S10e10523x463S20500525x498S20500540x498
fogalmam-sincs,no-idea,67,AS1ce10S2ff00S20500M530x518S2ff00482x483S1ce10493x462S20500520x475
fázik,to be cold,55,AS20348S20340S23616S2360eM531x535S20348470x466S20340515x466S23616469x495S2360e514x496
fél,half,69,AS10049S10041S20e00S26505M527x522S10049473x479S10041488x480S20e00506x478S26505514x509
Isten,God,12,AS10020S36d00M544x526S10020529x474S36d00479x522
kormány,government,28,AS20350S20350S27103S27111M548x521S20350471x505S20350511x506S27103521x482S27111451x480
szeptember,"szőlő, szüret, September, grapes, vintage",38,AS1ce48S1ce40S23600S23610M545x527S1ce48467x473S1ce40508x473S23600506x510S23610454x510
vendég,guest,68,AS14c00S14c00S20500S29115S2910cS2fb00M554x526S14c00475x488S14c00505x488S20500496x515S29115446x479S2910c526x476S2fb00492x475
utál,hate,41,AS30004S14c40S14c41S2b700M543x557S30004482x482S14c40506x526S14c41476x511S2b700524x510
hazudik,"hazug, lie, lier",34,AS2ff00S10020S26600S20e00M540x531S2ff00482x482S10020521x501S26600524x471S20e00505x464
ötlet,idea,64,AS17610S14c10S2f710S2ff00M537x517S2ff00482x482S17610518x480S14c10514x441S2f710521x426
sérül,"sérült, sérülés, injure, injured, injury",44,AS22c07S10603S20500S10658S22a13M544x541S22c07511x460S10603486x490S20500481x487S10658469x502S22a13455x527
intézet,institute,45,AS11810S2ff00S22a04S20500S20500M536x535S22a04521x520S2ff00482x482S20500506x487S20500505x503S11810521x489
jelnyelv,sign language,37,AS14c18S14c10S2eb44S2eb34M527x535S14c18472x504S14c10504x504S2eb44472x466S2eb34505x465
kakas,rooster,39,AS14c10S2ff00S20500M518x517S14c10480x468S2ff00482x482S20500468x483
király,king,48,AS15021S2ff00S22b07M552x518S2ff00482x483S15021502x477S22b07528x458
köp,to spit,43,AS2ff00S11510S11540S2b700M549x552S2ff00482x483S11510488x506S11540515x522S2b700530x496
Lecke,Lesson,6,AS16b11S30007S20500S20500M539x517S16b11515x471S30007482x482S20500498x468S20500488x468
ugyanaz,"mint, testvér, rokon, same, like, sibling, relative",18,M518x524S10050503x494S10058482x493S20500501x476S20500492x476
Magyar,,4,AS1ea10S30004S1ea40S26900M538x577S1ea10489x526S30004482x482S26900522x529S1ea40492x556
sok,"many, much",8,AS30004S20414S20500M519x533S30004482x482S20414493x522S20500509x515
mos,wash,58,AS20337S20351S20e00S27103M534x525S20337466x496S20351493x492S20e00486x513S27103507x474
mosogat,to do the dishes,52,AS20337S2035fS21100M521x520S20337479x499S2035f500x491S21100481x480
második,second,16,M524x515S11310475x485S10e00509x484
mérleg,scales,54,AS16537S1653fS23614S23600M544x528S16537463x472S1653f510x473S23614456x511S23600505x511
soha,never,30,AS15a37S15a51S26707S20e00M533x530S15a37468x493S15a51482x501S26707502x471S20e00476x518
új,new,57,AS15a06S16e01S20e00S28a0fM531x526S15a06473x491S16e01483x509S20e00469x508S28a0f501x473
október,October,32,AS15a48S10050S26600S20e00M520x530S15a48479x502S10050498x500S26600504x470S20e00485x486
október,October,59,AS15a48S10050S26500S26500S20e00M523x534S15a48477x487S10050493x504S26500490x466S26500509x466S20e00498x494
paraszt,peasant,49,AS2ff00S14e10S22f04S20f00M537x538S2ff00482x483S14e10511x488S22f04512x524S20f00506x470
piros,"vörös, red",61,AS30004S10012S20e00S22f02M536x545S30004482x482S10012504x517S20e00524x500S22f02497x520
