canonical_gloss,synonyms,sid,FSW
again,,17,M537x515S15a39463x488S20500488x485S18250472x500S28802501x484S18238514x500
America,"amelika, USA",3,M530x530S14c02499x492S14c0a470x487S20700490x515S2e75e488x470
amen,,25,M553x518S20310506x481S20318477x482S20310509x503S20318474x503S2d706526x489S2d71e448x488S20500494x485
bafa,bath,31,M581x561S33b00482x482S36d00479x529S14c09524x516S14c07554x520S14c01451x514S14c0f424x515S23407526x483S23401439x481S2d704478x547
galimoto,car,2,M524x531S16d16476x491S16d1e504x490S26510500x469S26504508x515S26504480x516S26510485x469
CHIFUKWA ULI?,"WHY?, FOR WHAT REASON?",50,M574x534S22a05540x505S15d11520x487S19a37551x507S30c00482x482
chitumbuka,,42,M530x572S26804493x522S11b01506x517S34700482x482
Chiuta,God,4,M524x517S32100482x482S10010489x418S14710491x457S2b705510x445
CHIUTA,GOD,15,M551x523S10000536x465S32100482x482S26500536x508
church,,20,M528x531S37906472x522S20356513x516S20500504x484S22f04502x468S20500516x484S16d20507x495
forgive,clean,30,M527x520S15a39472x491S15a51478x497S21100500x494S26507514x480
fanta,coke,27,M519x525S17610481x494S11250488x493S2a600502x475S20500483x514
Colorado,,37,M530x519S37806469x507S16d20471x481S15a1a503x507S2490a490x482
come,,14,M529x536S14550476x464S2c701472x507S2c701506x507
cow,,19,M543x517S30001482x482S30007482x482S19a20515x479S19a28457x478S2c300507x455S2c311464x455S2fb00490x448
crocodile,,7,M518x537S1533f483x495S15351495x482S22f04489x463S22f10490x523
deaf,,32,M545x535S2ff00482x482S11510530x473S11510513x505S20500516x489S20500499x510
different,,11,M531x533S15a11469x467S15a19508x467S37600488x489S20600488x522
eat,sima,10,M518x535S18507498x508S33b00482x482S20600464x509
friend,,26,M535x542S1060a477x458S10621494x458S20800495x472S10629468x517S10602494x517S20800489x532S2d205502x485S2d211465x484
kukondwa,happy,45,M556x559S15032482x533S34000482x482S28800523x528S28800544x527
I,me,38,M510x517S19210489x483S20500497x506
in,into,16,M529x529S16d48472x490S18551484x479S28802507x470S20700481x514
Yesu,Jesus,5,M527x547S18118474x508S1c510489x519S18110504x453S1c518472x460S28900512x487
LOVE,,48,M532x558S20303476x521S20305505x520S3770b489x535S37713491x536S20500522x537S20500472x538S33e00482x482
love,,1,M532x557S20303476x520S20305505x519S3770b489x534S37713491x535S20500522x536S20500472x537S30a00482x482S33e00482x482
many,,35,M513x519S20110496x504S15b22486x481S20500498x492
moçambique,,100,M529x541S20500472x494S10a10501x515S10a18486x514S20500519x496S30004482x483S30002482x483S30006482x483
name,what is your name?,28,M519x526S10e0a481x488S10e10495x496S20600497x473
name,,34,M522x524S11541498x490S11549479x497S20600489x475
NJANI,WHO,51,M518x542S34600482x482S10000494x510S2e300462x515
njoko,snake,6,M520x543S2ff00482x482S20500510x516S11011483x517S2db00445x508
yayi,no,29,M514x525S2e100487x475S19a10486x505
nsima,,23,M532x534S33b00482x483S18510507x507S20500496x523
past,yesterday,22,M544x528S15a00531x480S36d00479x506S26504530x513S22204532x472
plane,,8,M519x519S19c50480x490S26a00492x480
READ,,49,M539x596S15a06488x527S10e50496x542S22f04500x582S26606509x569S30a00482x482S33e00482x482
same,,12,M516x522S10050501x492S10058484x492S20600488x477
school,,40,M533x512S14110467x487S29206502x498
sit,,46,M520x521S20800485x478S11529480x491S11820497x494
teacher,,41,M558x552S11d10502x449S26502460x464S11d18480x448S11318443x521S26704443x482S26704541x484S11310537x449S11310539x522S26506520x465S11318443x447
ye'bo,thank you,9,M511x524S16d39489x485S16d57491x476S20800493x514
time,,13,M520x518S10013489x482S15a1a493x506S20500479x505
time,,18,M530x516S2031a505x501S20600479x494S10a12504x484S37806470x507
today,,47,M529x522S10b10513x491S10118474x492S28801486x477S20500472x479
wait,,36,M535x527S14c30507x496S14c38471x496S22520503x482S22520466x482S2fb00492x473
walk,,21,M527x532S26c03507x511S15a50481x475S15a58514x468S26c15473x512
you,,39,M540x559S30a00482x488S26500521x518S34000482x488S10040525x529S30120482x477
