canonical_gloss,synonyms,sid,FSW
10th-EMA,,4,M507x514S13d16492x485
11th-EMA,,61,M508x509S1fb10493x490
12th-EMA,,82,M508x510S1fb10492x491S37e10499x490
13th-EMA,,45,M508x515S10210492x485
14th-EMA,,33,AS1df00M509x515S1df00491x485
15th-EMA,,32,AS12d00M512x515S12d00489x485
16th-EMA,,28,M512x507S1f500488x492
16th-EMA,,60,M508x515S11500493x485
17th-EMA,,25,AS17311S37b03M511x516S17311491x494S37b03489x484
18th-EMA,,35,AS19c1eM515x514S19c1e486x486
19th-EMA,,69,AS12900M512x511S12900488x489
1st-EMA,,71,AS17d16M507x511S17d16492x488
20th-EMA,,20,M510x510S20310495x495S21b00490x489
21st-EMA,,63,AS1a000M510x514S1a000490x485
22nd-EMA,,26,AS20300S37e14S37b00S37b00M508x516S20300493x501S37e14492x491S37b00497x487S37b00506x485
23rd-EMA,,39,AS13800M512x515S13800488x485
24th-EMA,,5,M510x508S17510489x491
25th-EMA,,67,M510x514S17510489x497S37b03491x486
26th-EMA,,53,M509x513S15d00490x486
27th-EMA-,,14,AS18510M512x507S18510487x492
27th-EMA-,,73,M512x507S18510487x492
28th-EMA,,42,AS18510S37b03M512x512S18510487x497S37b03493x487
29th-EMA,,23,M510x513S17710490x498S37b02495x487
2nd-EMA,,43,M510x513S1b000490x487
3,,10,M508x515S37b00500x484S14a00493x500
30th-EMA,,59,M508x515S37e1b497x488S20310491x500S37b00497x485
31st-EMA,,68,AS20300M507x507S20300492x492
32nd-EMA,,66,M510x513S17710490x498S37b13492x487
33rd-EMA,,3,M515x511S10512485x489
4th-EMA,,144,AS18420M512x509S18420488x491
4th-EMS,,15,M513x513S16225487x487
5th-EMA,,46,M511x515S1ce00489x485
6th-EMA,,78,M511x515S12d00488x485
7th-EMA,,40,M507x515S18c00492x485
8th-EMA,,51,M506x513S15a00494x486
9th-EMA,,2,M513x513S20310498x498S37b03486x487S37e33491x491
?,question mark,122,S38900464x493
A-A-,,29,M534x509S1f510519x494S1f510466x493S2880a490x490
A-A--2,,36,M526x555S1fb10511x530S31500482x482S28c0a481x534
A-A-3,,48,M524x559S1f742509x539S28c2a474x538S31500482x482
Addis Ababa,,110,M536x514S2880a488x494S1f540464x486S1f540521x487S2f900506x509
bad,,12,AS10000S2e300S32c00S1f500S2e300S33b00M565x594S32c00434x482S10000439x526S2e300428x567S33b00529x483S2e300531x529S1f500530x565
Birr,,62,M544x522S1851c519x477S18514457x477S21300511x505S21300467x506
Black,sil2007,92,AS10012S2ff00S20e00S26606M539x517S2ff00482x482S10012498x489S26606509x464S20e00493x466
Bread,,41,AS10000S15a36S20e00S26506M524x518S15a36475x506S10000479x481S20e00496x489S26506509x487
Bread-2,,77,M524x522S1531c501x497S15314488x497S20500495x483S26906506x479S26902475x478
city,sil2007,96,AS10142S15a37S22f04S20500S20500M525x530S15a37483x506S10142495x514S20500476x492S20500488x492S22f04475x470
coffee,,138,AS20340S20348S22b04S20b00S21100M526x534S20340476x499S20348477x519S22b04475x466S20b00496x504S21100513x504
Coffee,sil2007,91,M516x536S20341485x465S22b04500x485S20500490x495S20349484x515
COW,,9,M550x517S19a20522x481S19a28446x481S2ff00482x482S20500511x478S20500477x479
deaf,,119,M544x534S30006482x482S11511519x496S33b10492x507S11500488x504S22a03510x517
Doctor,,30,AS10112S15a06S37a06S20500M544x519S15a06517x507S37a06469x513S10112455x481S20500475x502
EGG,,81,M544x517S1cf20517x476S31a20482x482S20500503x490
EGG-2,,16,M547x517S31e20482x482S1cf20520x481S20500504x493
egg-3,,136,AS12810S31a10S37501M546x518S31a10482x483S12810523x482S37501481x472
elephant,,137,AS15a51S37803S30003S31920S2c700S30124M518x553S15a51460x506S31920482x488S30003482x487S37803479x523S2c700435x500S30124482x477
EMA 2,,105,M510x513S1b120489x487
EMA 3,,106,AS1c720M508x515S1c720492x485
ETHIOPIA-2nd-retry,,76,M536x544S2ff00482x482S2e300513x517S1f710508x507S20500495x494
ETHIOPIAN-SIGN-LANGUAGE,,89,AS1f710S2ff00S20500S2e300S10011S2ea00S10019S2ea10S2fb04M596x553S10011575x471S10019550x488S2ea10554x521S2ea00579x516S2fb04568x547S2ff00482x482S20500495x493S2e300506x521S1f710504x509
Eyasu,,47,M563x518S1f510527x490S26506548x504S31500482x482
Eyasu,,104,M539x545S36a00482x477S1f703510x455S1f721517x507S2b804492x465S2f802476x475S2f806515x476S37706474x543S37706504x543
Eyasu 2,,103,M550x517S1fb01529x484S31500482x482S2d626504x462
FALSE,,134,AS10012S33b00S20e00S2d500M526x542S33b00482x482S10012496x511S2d500486x519S20e00493x530
FATHER,,56,M518x517S30a00482x482S20500500x468S20500487x468S14c10457x465
fire,sil2007,102,M544x534S14c36455x465S14c00475x503S23600505x512
Friday,,65,M518x556S1da10487x527S31500482x482S2d608489x527
garbage,sil2007,95,M512x535S2e505489x508S15a39487x480S15a31487x478S20e00495x466
Gerawork,,24,M518x518S15d00458x491S20500476x500S31500482x482
Ghana,,80,AS10032S15a36S20500S26502M523x519S26502508x481S15a36487x507S20500494x482S10032477x499
God,,1,AS15a10S15a16S36d00M547x539S15a10526x461S15a16520x527S36d00479x532
God,,18,AS15a10S15a4aS37a00S37a06M536x541S15a10521x459S15a4a509x529S37a00528x482S37a06463x533
Gossip-Backbite,,86,M561x527S31500482x482S18510536x512S18518440x510S26c00510x507S26c00462x506
GRAND-FATHER-2,GRAND-FATHER,27,M518x517S30a00482x482S14c10460x467S14c10436x458S20500499x471S20500489x471
GRAND-MOTHER,,70,M518x539S30a00482x482S14c10465x508S14c10443x505S20500489x521S20500499x521
green,,112,AS18c20S29904M508x534S18c20492x466S29904494x502
greeting,,72,M528x547S18507509x467S1850f469x467S22b14471x517S22b04511x516S20e00473x500S20e00512x500S36d00479x453
greeting,,140,M536x595S2ff00482x482S17600519x531S17608465x530S22b04520x553S22b14463x552S2fb04492x589
greeting,,145,AS33b00S17620S17628S22b04S22b14M536x593S33b00482x482S17620468x534S17628519x535S22b04469x563S22b14520x563
GREETING,,19,M526x555S20e00513x517S20e00474x516S22a04513x540S22a04472x539S2ff00482x482
Handshape Test 1,,107,M529x534S18d20472x465S19220508x471S18d20485x509S37c1a502x512
Handshape Test 2,,108,M513x511S14b20487x496S37d1a507x489
Handshape Test 3,,109,M512x510S21700506x492S19200487x491S21700495x492S21700500x492
Happy,,90,M558x579S15216447x557S1521e527x559S31500482x482S20600516x545S20600465x545
Happy-Birthday,,74,AS18510S2880aS31510S10018S10010S34500S30400S30402M606x586S10018527x555S18510419x542S2880a436x525S31510393x488S34500534x488S10010560x556S30400500x477S30402570x478
Happy_Birthday,,13,AS18500S18508S36d00S20500S20500S31400S33e00S10010S10018S34e00S30122S33500S33910S33910M582x549S31400419x482S33e00419x482S36d00418x522S18500465x532S18508392x532S20500453x528S20500417x528S32a00527x483S30122527x470S34e00527x483S10010548x519S10018525x519S33500523x482S33910571x511S33910508x511
he,,116,AS1f751S30007S10057S26607M592x517S30007482x482S1f751517x474S10057571x436S26607546x463
hearing,,120,AS15310S33010S20600M538x517S33010479x482S15310523x487S20600511x473
hello,,125,M566x542S18510519x503S30006482x482S28c0b542x517S30a30488x488S33e10492x504
Hello--,,22,M533x569S18510508x554S30006482x482S28c0b490x522
