canonical_gloss,synonyms,sid,FSW
0 (number),,53,M511x515S1ce10489x485
1,,44,M508x512S1f502493x488
2,,45,M512x515S1dc01489x485
3,,46,M513x515S11e01488x485
4,,47,M514x515S14401486x486
5,,48,M513x514S14c01487x487
6,,49,M509x515S18720491x486
7,,50,M511x514S1a520490x486
8,,52,M511x514S1bb20490x486
9,,51,M511x515S1ce20489x485
A,,11,M510x508S1f720490x493
B,,12,M507x511S14720493x489
C,,13,M509x510S16d20492x490
København,Copenhagn,54,M518x518S30000482x483S15322488x467S22a00494x449
D,,14,M508x515S10120492x485
Danish Sign Language Alphabet,,9,
Danish Sign Language Numbers,,10,
Det er far.,,22,M538x553S10040504x429S26500501x421S30007482x483S30005482x483S21100517x522S22a04517x538S10011517x490
E,,15,M508x508S14a20493x493
F,,16,M509x515S1d820492x486
for-nylig,,8,AS1eb07S20610S36100M538x551S36100482x482S1eb07512x510S20610504x540
G,,17,M515x508S1f000486x493
H,,18,M515x508S11502485x493
"han, hun",,5,M521x520S1f502491x496S36d00479x481
I,,19,M511x510S19220490x491
J,,21,M519x518S19220498x499S2a20c482x483
K,,23,M515x515S14020486x485
kigge på mig,,6,M568x518S32407482x483S11211541x472S26503525x482
koeninga,queen,1,M518x518S2ff00482x483S10014492x412S2e706488x445S15312486x464
L,,24,M512x515S1dc20488x485
M,,25,M510x513S18d50490x488
meget-pinligt,,4,AS10002S1000aS28905S2891dS35000S35d04M538x572S2891d464x547S35000463x483S35d04500x482S10002503x529S1000a468x529S28905511x547
N,,26,M511x513S11950489x487
O,,27,M508x508S17620492x492
P,,28,M515x508S10112485x492
person,,3,AS1ed26S22b04M510x532S1ed26491x468S22b04490x502
person-til-hojre,,7,M550x532S1ed26531x468S22b04530x502S36d00479x479
Q,,29,M515x512S1f051485x489
R,,30,M508x515S11a20493x485
S,,31,M508x508S20320493x493
T,,32,M515x509S1f220485x491
tale om,,2,AS10002S2ef00S34700M527x549S34700482x482S10002497x521S2ef00490x529
U,,33,M508x515S11520493x485
V,,34,M508x515S10e20493x485
W,,35,M509x515S18720491x486
X,,36,M511x513S10620490x487
Y,,37,M514x510S19a20486x490
Z,,38,M518x517S10020482x487S2450a487x483
Å,,41,M514x521S1f720490x506S2e302487x480
Æ,,39,M513x516S15020488x485
Ø,,40,M508x517S17620492x501S22a00493x483
◌́,,42,M511x511S22b31490x490
◌̈,,43,M511x511S22b37490x490
