canonical_gloss,synonyms,sid,FSW
Arise,,5,M528x531S15a30473x470S15a30515x471S26500514x516S26500472x516
Beginners sign,,4,
Faith,,7,M524x522S1ce40493x479S1ce48477x492S20600502x509
God is with us,,9,
Good,,2,M558x551S30004482x483S26500523x527S15d00495x524S15d39521x482S15d31535x490S20500507x518S20500530x506
Good morning,,11,M522x620S2ff00482x483S15a00494x509S22a04494x539S22a00509x571S15a08494x562S37800499x588S15a0a481x606
Obey,,8,M531x536S20300512x465S20302472x466S14c30507x505S14c38469x505S22a04513x485S22a14473x486S2fb04492x494
oh,,6,M512x523S17623492x478S2e508489x496
see,,3,M539x549S30a00482x483S10e00499x519S26500525x501
Woman,,10,M530x583S2ff00482x483S14c27504x508S14c10486x552S20500512x563S22a04495x534
