canonical_gloss,synonyms,sid,FSW
ร้อยละ,"เปอร์เซ็นต์, %",364,M527x520S10019494x490S26500493x481S26500513x498S10c20474x483
1,หนึ่ง,342,M508x515S10020493x485
10,สิบ,699,M510x521S20300491x506S2df0e490x479
ที่ 1 จาก 5,1st out of 5,653,M527x517S14c0a473x494S20500485x484S10021497x487
ไม้เอก,"Mai Ek, 1st tone mark, ่",139,M519x520S14c20496x489S21700496x490S20e00481x487S22a14481x501S22104493x481
2,สอง,343,M508x515S10e20493x485
20,"ยี่สิบ, twenty",621,M515x525S1f420486x510S1e420500x476
ที่ 2 จาก 5,2nd out of 5,641,M528x512S14c0a472x488S10021498x491
ไม้โท,"Mai Tho, 2nd tone mark, ้",192,M519x522S14c20496x491S21700504x488S20e00481x489S22a14481x503S22104501x479
3,สาม,344,M512x515S11e20489x485
30,สามสิบ,698,M515x525S13f20486x510S11e20492x476
ที่ 3 จาก 5,3rd out of 5,642,M530x516S14c0a470x485S10021500x495
ไม้ตรี,"Mai Tri, 3rd tone mark, ๊",141,M519x520S20e00506x487S22a14506x501S14c20481x489S21700497x490S22104494x481
4,สี่,345,M511x516S14420489x485
สี่แยก,4-way intersection,216,M522x541S37b00486x487S37b06479x494S15a50481x460S15a56495x489S14420478x510
40,สี่สิบ,700,M511x525S14420489x475S20120489x510
ที่ 4 จาก 5,4th out of 5,643,M528x520S14c0a472x481S10021498x499
ไม้จัตวา,"Mai Chattawa, 4th tone mark, ๋",142,M521x520S20e00508x491S22a14508x505S14c20479x482S21700499x490S22103506x480
5,ห้า,346,M512x516S14c20489x485
50,ห้าสิบ,701,M516x525S14c20493x475S18520484x510
ที่ 5 จาก 5,5th out of 5,644,M525x522S14c0a476x479S10021495x501
6,six,347,M509x515S18720491x486
60,หกสิบ,702,M509x525S18720491x476S17620492x509
7,เจ็ด,348,M511x514S1a520490x486
เซเว่น อีเลฟเว่น,7-Eleven,402,M543x518S31100482x483S1a520492x460S22134511x479
