canonical_gloss,synonyms,sid,FSW
القمر قمر البدر بدر,,359,M535x518S1ec17511x459S1ec1f460x463S32100482x483
(,,20,S38b02493x476
),,19,S38b06493x476
",",,18,S38702496x463
.,,21,S38802496x464
واحد,1,228,M507x515S10000492x485
1 - 10,,296,
1000,العدد الف,264,M537x527S11f10497x473S11f18477x474S20a00490x512S26512464x491S26506522x492
5 خمسة خمس خمسا,,29,M511x515S14c00488x484
6 الرقم ستة ست,,109,M512x515S1dc04488x485
7 الرقم سبعة سبع,,186,M527x517S14c20504x483S1dc28472x487
Adam Feedback 1,,309,M519x529S14e38482x498S14e50492x493S23000494x472
Adam Feedback 1,,310,M517x527S15110488x511S15114484x495S23000488x473
Adam Feedback 10,,319,M518x528S18520481x513S2ff00482x483S22114475x504
Adam Feedback 11,,320,M518x579S1771e494x559S22a00496x541S1571e486x520S33100482x483
Adam Feedback 12,,321,M539x512S36d00479x508S17711520x489S17719461x489
Adam Feedback 13,,322,M544x580S2ff00482x483S10011518x499S22a04523x532S1ce10522x550
Adam Feedback 14,,323,M525x517S15a36497x484S11550510x487S21100494x503S26502475x503
Adam Feedback 15,,324,M518x547S2ff00482x483S10000496x498S22a04497x532
Adam Feedback 16,,325,M521x535S2ff00482x483S11502491x514S2d200459x502S20600481x524
Adam Feedback 17,,326,M516x516S15a48484x489S17740496x498S20500498x485
Adam Feedback 18,,327,M532x514S15a36468x502S1f52b476x486S20e00500x497S26506517x496
Adam Feedback 19,,328,M555x518S2ff00482x483S15a02494x505S20e00524x505S26506540x504
Adam Feedback 2,,311,M539x521S15a01476x490S17d3f461x489S28806499x509S10e00524x479
Adam Feedback 20,,329,M529x526S10e49472x494S11531489x499S20700486x475S26502514x498
Adam Feedback 21,,330,M520x517S15d0a481x498S1ec51494x490S20800490x484
Adam Feedback 22,,331,M513x526S10018488x474S10010498x483S20500490x515
Adam Feedback 23,,332,M526x524S15301498x476S15309479x480S23004501x506S23014474x506
Adam Feedback 24,,333,M523x520S15a56490x482S15a50511x481S20e00495x500S26a02478x493
Adam Feedback 3,,312,M532x528S15a37468x505S20300479x494S22a07497x485S1f410503x472
Adam Feedback 4,,313,M512x510S18310488x491
Adam Feedback 5,,314,M520x516S18310481x484S15a5a486x504S20500510x493
Adam Feedback 6,,315,M524x523S1000a477x494S10011503x493S20600496x478
Adam Feedback 7,,316,M535x600S34200482x483S18210512x485S20500513x510S23a03513x506S20310493x549S2e230490x568
Adam Feedback 8,,317,M549x516S1ed10496x491S1ed18477x497S28802527x484S2881a451x490
Adam Feedback 9,,318,M523x518S2ff00482x483S19b01498x472
afternoon,,274,AS18010S20500M520x535S2ff00482x483S18010490x520S20500477x515
