canonical_gloss,synonyms,sid,FSW
1,,5,M508x515S10000493x485
1,,136,M518x563S34700482x483S10010468x533S2d501462x519
2,,17,M508x515S10e00493x485
2,,137,M518x556S33b00482x483S10e10473x526S2d521453x518
3,,8,M509x515S18600491x485
3,,135,M518x565S18c10472x535S34700482x483S2d501457x522
4,,21,M511x516S14400489x485
4,,138,M518x567S33b00482x483S14420465x536S2d501458x519
5,,18,M511x515S14c00488x484
5,,139,M518x561S33b00482x483S15210468x530S2d501459x518
6,,14,M512x507S1f500488x492
6,,140,M518x556S33b00482x483S1f912472x533S2d521459x517
7,,6,M511x515S1dc01488x485
7,,143,M518x560S11610470x528S33b00482x483S2d501457x514
8,,12,M511x515S11e00488x485
8,,141,M518x558S33b00482x483S12317464x531S2d521459x518
8,,142,M518x554S34700482x483S12310469x527S2d521456x514
9,,144,M518x551S33b00482x483S14412460x529S2d521453x511
A,,145,M520x572S33b00482x483S14c08497x524S10019478x542S2d52d452x526
a lot of,lots,38,M528x516S15a37479x493S1dc41505x486S20601472x484
about,,39,M533x533S10012503x468S1001a468x483S2ea00518x496S2ea4c474x508
accept,,40,M549x542S1855a474x517S18552506x517S15d58452x460S15d50530x459S2d509469x496S2d501513x496
add,,43,M545x516S15a37458x493S15a31522x491S20500455x484S28902487x485
address,,44,M535x517S11842466x484S26606505x485S21100511x500S15a4a465x505
Adelaide,,45,M518x570S30004482x483S20600489x523S10e00491x540
afraid,,46,M511x524S1530c492x476S20600489x513
Afternoon,Good Afternoon,54,M538x512S14c1e507x489S27100463x495
And,,79,M519x518S10000504x488S26c26482x482
ant,,4,M523x526S10e03493x473S1fa57476x505S22500502x500S22500481x489
Anything,,96,M530x527S14c02499x503S14c0a471x504S28800479x474S28808514x474
Auslan,,1,M518x548S33e00482x482S14c10449x505S14c18425x479S21d00423x454S21d00446x481S17610450x532S17618425x508S30a00482x482
Australia,,2,M534x548S1bb58466x453S1bb50513x453S14c50510x517S14c58467x517S21b00516x504S22a04514x487S22a14472x487S21b00475x504
Australia,,9,M534x542S1bb28466x458S1bb20513x458S14c50509x510S14c58467x511S22a14472x492S22a04515x491
Australia,,15,M532x547S1bb28468x519S1bb20509x518S14c50508x453S14c58469x453S2b700508x491S2b711473x492
Australia,,20,M531x533S1bb28468x468S1bb20510x468S14c50507x502S14c58468x502
Australia,,25,M534x534S1bb58466x466S1bb50512x466S22a14473x497S14d14504x516S22a04514x497S14d1c466x515
Australia,,26,M534x541S1bb58467x459S1bb50513x459S14d1c468x523S14d14504x523S2e700516x491S2e718471x492
B,,146,M518x561S33b00482x483S14400468x530S2d52d435x517
Better,,95,M527x522S1f500473x488S1f504503x507S2880c505x478
brother,,23,M541x537S1f840500x482S1f848480x482S21100492x463S23600502x506S23614458x503S2fc04490x526
C,,147,M518x542S14a00471x527S33b00482x483S2d52d443x504
Can,,94,M518x578S33b00482x483S10e38477x519S1000a474x563S26504502x529
Care,,105,M518x547S33b00482x483S10a10466x517S29500441x516
Comeback,,93,M539x551S10719487x525S33b00482x483S26c00512x533
D,,148,M518x561S33b00482x483S11818480x533S10018501x531S2d52d441x514
Day,,107,M549x567S33b00482x483S10000459x531S10000534x530S29600431x533S29600512x531
Did,,92,M521x516S15210501x484S10008479x486
die,,24,M548x536S10e00530x465S10e08454x464S28400526x508S28418452x505
Eat,"dinner, meal, dine",58,M518x545S10600491x519S34700482x483
Doctor,,108,M518x602S33b00482x483S11e05472x529S14c03475x576S26525457x557
E,,149,M518x554S33b00482x483S14500465x523S2d50d430x511
Else,,78,M530x524S1ab10470x488S10003494x477S2e300507x497
F,,150,M537x562S33b00482x483S10e1b476x535S10e12507x547S2d519446x524
Feel,,73,M526x572S1a400497x542S33b00482x483S28808514x519
Fine,,72,M556x532S1f810480x517S1f818504x517S14c00444x469S14c08533x468S28800472x493S28808522x492
Seafood,fish,60,M533x526S14c0b490x500S14c01483x474S26c00467x511S26c00506x477
Follow,,91,M524x525S10004509x495S1000b476x475S26504488x502
For,,109,M518x557S33b00482x483S14110462x536S2d500432x542
Friday,,90,M527x525S11501502x496S11509483x498S2e300474x475
G,,151,M527x575S33b00482x483S20110483x536S20118500x557S2d519508x537S2d51d475x558
Give,,74,M534x563S14c04511x530S14c0c468x530S33b00482x483S26504495x548
Go,,65,M520x522S10000480x492S28b00500x478
H,,111,M518x547S33b00482x483S11516463x532
H,,152,M518x546S33b00482x483S1151a466x531S2d52d444x508
H,,154,M525x519S15a37476x489S15a51480x496S20e00500x494S26507512x482
Have,,89,M522x532S14c00499x469S26504478x503S17616503x516
Hello,,88,M518x543S14c00459x512S33b00482x483S26502440x510
Help,,75,M518x527S14c00482x494S18310494x508S26500495x473
Hi--Hallo,,13,M532x583S31400482x482S14c00500x552S28809512x521
Hope,,87,M535x572S33b00482x483S16510494x545S16518470x514S26505489x524S26504521x544
Hospital,,71,M525x592S15310510x528S15414473x529S33b00482x483S15310509x567S15304473x567S26504492x546
How,,63,M533x516S14c00495x485S14c08483x485S26506518x500S26502467x500
How much,,155,M535x549S33b00482x483S14b06485x526S26c00508x532
I,,70,M518x518S10000496x422S26504492x460S33b00482x483
It,,77,M518x558S33b00482x483S10004487x528S26503505x538
J,,99,M518x579S31500482x483S10020457x513S10037459x558S2d513433x553
K,,100,M535x555S30a00482x483S10020520x525S1063a459x538S26516492x537
know,,7,M541x517S30007482x482S1f52c517x482S20500510x468
L,,103,M549x571S30a00482x483S10009515x541S15b10537x532
Yesterday,Last,53,M518x515S10000482x485S26523505x501
Long,,86,M577x516S10001504x484S10009474x484S10000562x484S10008424x486S26502452x486S26506536x486
M,,106,M518x586S30a00482x483S18c10460x511S19610451x565S28804441x539
May,,112,M518x552S33b00482x483S11310456x521S2de00398x531
Medicine,,76,M525x526S17418475x507S20210505x506S2e300502x474
Milk,,57,M549x530S14e0a468x471S14e02504x470S14f1a479x500S14f12505x500S26c00451x494S26c00522x493
ML,,27,
Morning,,62,M520x516S14f12481x485S24800504x488
N,,110,M518x579S30a00482x483S11212456x519S11213467x552S22a04448x540
Name,,153,M518x539S33b00482x483S11509465x498S11514445x509S2d510448x487
Nine,,113,M518x558S33b00482x483S12412457x531
No,,56,M528x515S13410472x485S13f10499x500
O,,115,M518x543S17618458x527S30a00482x483
One,,98,M518x548S33b00482x483S10000461x518S2d500443x506
P,,117,M518x558S30a00482x483S1b714468x529
Plan,,85,M535x528S1ce10513x498S1ce19466x472S26c00486x494
Please,,84,M518x566S33b00482x483S14c00488x513S1f508482x551S26504469x528
Primary,,114,M534x588S33b00482x483S14c02503x534S11614476x556
Problem,,83,M525x520S14c00476x489S17910505x481S26c03505x500
Q,,120,M535x553S30a00482x483S10017472x532S17610519x528S22a26504x527
R,,122,M518x542S11a10464x512S30a00482x483
S,,123,M518x543S30a00482x483S20010465x525
Schedule,,116,M537x566S33b00482x483S14c02506x543S14c00484x524S26e02450x530
Will,"shall, would",59,M541x536S34700482x483S1061e513x503S28102509x520
Some,,82,M537x512S18506464x488S1f500513x497S26506490x496
Soon,,81,M536x514S18517517x487S18317464x487S26502494x494
Sure,,118,M530x576S33b00482x483S14c02489x553S15d10476x521S26605508x519
T,,124,M518x541S1bd10463x511S30a00482x483
Take,,69,M532x535S14c00509x466S17410468x519S26503495x500
Thanks,,61,M521x521S14c21494x480S14c29479x480S26504494x506
Time,,68,M525x526S20010475x508S13d10496x475S22a03494x490
Today,,67,M524x531S14c00476x470S18310500x488S26c02493x504
Tomorrow,,97,M518x548S33b00482x483S10008480x518S2740b461x514
Tomorrow,,119,M518x536S33b00482x483S10000461x506S2d501442x503
Try,,11,M550x525S33100482x482S10a10516x499S20500504x493S22a04537x498
Try,,16,M543x549S31400482x482S10a10528x501S20500516x495S22a05524x535
U,,121,M518x545S33b00482x483S12e10459x515
U,,125,M518x550S11510463x520S30a00482x483
Unbelievable--huh--wow-,,3,M518x544S33100482x482S10000490x499S20500501x488S26504502x529
unbelievable-2,,19,M531x531S33100482x482S10100489x501S25504518x508
unknown,,10,M510x517S29f00491x484
V,,127,M526x581S30a00482x483S14c00503x534S11349490x551
W,,128,M518x541S18600468x511S30a00482x483
When,,126,M518x541S33b00482x483S15718469x515S26507457x502
who,,129,M518x548S33b00482x483S10000443x518S2d900433x496
With,,80,M554x530S14c00446x498S15210534x499S17e0f474x471S17e07508x471
work,,130,M531x578S33b00482x483S14c00460x515S14c03504x552S2d528489x523S2d52c482x563
X,,101,M518x546S33b00482x483S10610458x520
Y,,102,M518x544S33b00482x483S16e10455x524
Yes,,55,M530x517S14c09504x490S10006471x484S26505476x504
You,,64,M518x516S10000482x486S26500504x485
Your,,66,M508x520S20010492x502S26500494x480
Z,,104,M532x596S33b00482x483S10000517x511S26602472x518S26602473x580S26625485x546
