canonical_gloss,synonyms,sid,FSW
Public,"Talk,  Cancel, Coordinator",11525,
You,"Finish , read,  magazine, comma, will , you , book, question",12117,
!,,11385,S38810463x495
's,'S,12290,M517x519S20320484x482S2df04496x498
Real,"Life, Meaning, Educated, knowledge, athletic, famous, (Mind), (Friendship), (Gem)",11700,
Real,"Life, Meaning, Educated, knowledge, athletic, famous, (Mind)",11699,
(sit) criss cross,,3051,M523x522S10a49477x496S10a41495x496S20600489x479
certain,(specific ones in a group),4368,M532x543S14c09488x483S10050501x513S26500469x474S26500493x466S26500518x472S2f900470x464S2f900495x457S2f900520x463
*,,12120,
sloth,*animal,4000,AS16320S2e500M524x524S16320504x497S2e500477x477
November,*month,4002,M533x529S15d29490x493S2b807504x472S11912479x494S22b03508x505S21511467x484
1969,*number,1654,M557x518S1ce20535x488S2a204458x483S1ce20483x487S18700509x488S1f540443x493
",",,1759,S38702496x463
",",,11383,S38700463x496
-ance,,4583,M523x520S14c18478x481S16d20506x481S22a04508x505
.,,1750,S38802496x464
.,,11382,S38800464x496
0 for grade,"grade 0, 0 on report card",7915,AS15a18S17620S22a02S20500M525x517S15a18475x490S22a02510x499S17620490x498S20500488x484
1,one,130,AS10000M507x515S10000492x485
1,one,4048,AS10020M508x515S10020493x485
1,,5702,M518x554S30a00482x483S14c00470x523S26500492x525
1,,9134,M561x583S31400482x483S14c20538x520S14c27437x526S26c02533x556S22a15462x551
1-year,"one-year, one year, 1 year",6812,AS10040S20348S2e734S20500M513x532S10040498x483S20348494x517S2e734489x467S20500487x504
"1,000,000",one million,6424,AS10020S22a04S18051S15a38S20500S26500S20500M528x538S20500486x513S15a38499x511S20500486x527S18051503x513S26500471x517S10020510x461S22a04511x495
1/10,one tenth,6160,AS10020S22a04S1f540M509x539S10020492x462S1f540494x515S22a04494x497
1/2,"one half, half",2631,AS10001S22a03S10e01M526x529S10001505x471S22a03497x498S10e01475x499
1/2,"one half, half",3313,AS10000S22a04S10e00M508x541S10000493x460S22a04494x494S10e00493x511
half,1/2,11424,M522x524S15d0a478x477S15d10495x497S22a04509x493S21100509x477
1/3,one third,1806,AS10000S22a04S11e00M512x542S10000491x459S11e00489x512S22a04492x495
1/4,"one fourth, one quarter",1210,AS10000S22a04S14400M511x541S10000494x459S22a04495x492S14400489x510
1/5,one fifth,3224,AS10000S22a04S14c00M511x542S10000493x458S22a04494x493S14c00488x511
1/6,one sixth,4952,AS10020S22a04S18720M509x542S10020494x459S18720491x513S22a04494x493
1/7,one seventh,3125,AS10020S22a04S1a520M511x539S10020492x461S1a520490x511S22a04493x494
1/8,one eighth,4224,AS10020S22a04S1bb20M511x542S10020490x459S1bb20490x514S22a04492x494
1/9,one ninth,4191,AS10020S22a04S1ce20M511x541S10020489x459S1ce20489x511S22a04491x493
10,ten,1424,AS1f540S2a538M512x528S2a538493x472S1f540487x504
10,ten,1441,AS1f540S2a508M513x528S1f540486x504S2a508492x472
10,,3894,M513x528S2a538494x472S1f540488x504
100,,117,M528x516S10020473x485S17620512x500S17620493x500
100,one hundred,6457,AS10020S16d20S26506S2f900M529x515S2f900518x491S26506513x499S16d20491x495S10020470x485
100,one hundred,8794,AS10000S10650S26904M510x531S10000493x468S10650489x505
100,one hundred,10356,AS10020S16d20M519x515S16d20502x495S10020481x485
100,one hundred,10973,M511x541S26504496x495S10020496x459S10620490x515
1000,one thousand,6428,AS10020S22a04S20500S18051S15a38M521x539S20500479x524S15a38492x512S18051496x514S10020502x460S22a04503x494
1000,one thousand,7444,AS10020S22a04S18051S15a38S20500M521x539S20500479x524S15a38492x512S18051496x514S10020502x460S22a04503x494
1000,one thousand,7546,AS10020S22a04S18051S15a38S20500M521x539S20500479x524S15a38492x512S18051496x514S10020502x460S22a04503x494
101,one hundred one,10347,AS10020S16d20S10020M529x515S10020471x485S16d20491x495S10020514x485
101,"one hundred one, page number",10910,AS10020S17620S10020M528x515S10020473x485S17620493x499S10020513x485
102,"one hundred two, number",10348,AS10020S16d20S10e20M529x515S10020472x485S16d20492x495S10e20514x485
102,"one hundred two, page number",10911,AS10020S17620S10e20M527x515S10020473x484S17620492x499S10e20512x484
102,page number,11089,M527x515S10020473x484S17620492x499S10e20512x484
103,one hundred three,10353,AS10020S16d20S11e20M532x515S10020469x485S16d20489x495S11e20509x485
103,"one hundred three, page number",10912,AS10020S17620S11e20M530x515S10020471x484S17620490x499S11e20507x484
103,"one hundred three, page number",11138,M530x515S10020470x485S17620489x499S11e20507x485
104,one hundred four,10354,AS10020S16d20S14420M532x515S10020469x485S16d20489x495S14420510x484
104,"one hundred four, page number",10913,AS10020S17620S14420M529x516S10020471x485S17620489x500S14420507x484
105,one hundred five,10355,AS10020S16d20S14c20M533x515S10020468x485S16d20488x495S14c20510x484
105,"one hundred five, page number",10917,AS10020S17620S14c20M530x515S10020470x484S17620488x499S14c20507x484
106,one hundred six,10358,AS10020S16d20S18720M531x515S10020470x484S16d20490x494S18720513x486
