canonical_gloss,synonyms,sid,FSW
1,,48,M507x515S10000492x485
10,,49,M508x525S10040493x474S22a04494x510
100,,50,M533x508S10002467x492S26606503x492
1000,,51,M533x509S1f210467x490S26606503x493
1000(b),,52,M530x515S10001471x485S26606500x496
11,,53,M529x526S10002471x490S10000514x474S22a04487x511
12,,54,M515x518S10e02485x482S22a04502x503
2,,55,M507x515S10e00492x485
200,,56,M534x508S10e02466x493S26606504x492
2000,,57,M529x515S10e01470x485S26606499x495
21,,58,M529x525S10e02470x490S10000514x474S22a04487x510
3,,59,M509x514S18700491x485
30,,60,M514x519S18702485x481S22a04501x504
4,,61,M511x515S14400489x484
40,,62,M515x521S14402484x479S22a04502x506
5,,63,M511x515S14c00488x484
50,,64,M516x520S14c02485x479S22a04502x505
6,,65,M510x509S19200489x490
60,,66,M513x520S19201487x480S22a04496x505
8,,67,M510x514S1cf00489x485
80,,68,M514x522S1cf02485x477S22a04501x507
9,,69,M509x530S1f540491x469S2e230490x498
90,,70,M510x518S1f750490x482S22a04496x503
a,,24,M510x507S1f720490x492
a,,71,M510x507S1f720490x492
Aamu,,31,M524x530S15a30475x470S15a30512x470S22a20475x515S22a20510x515
aiti,,14,M528x541S30004482x482S1ea18483x520S20500479x513S2ef03510x516
aiti,,26,M552x551S30004449x482S1ea14459x530S1ea10520x527S30004516x482S20500461x518S20500530x519S2d200486x511
aiti (mutter),,72,M551x568S36d00450x512S1ea43455x521S20e00464x556S22a04474x543S30004513x482S1ea17524x521S20500541x516
"seurakunta (= parish, church)",Amerikka (=America),36,M530x530S14c02499x492S14c0a470x487S20700490x515S2e75a488x470
Amerikka (USA),,73,M530x542S2e752493x458S14c02499x480S14c0a472x476S20700492x505S36d00479x538
aurinko,,44,M605x518S2ff00424x483S10010463x422S2e300460x454S14c18581x434S22b03581x467S2ff00539x481
auto,,74,M527x528S20301472x473S20301506x472S23109503x497S23115475x497S2fb04491x522
aviomies,,43,M546x600S1ea10523x470S30000482x482S20500497x463S26500526x505S14c59462x574S1f150504x539S20500469x555S26603482x549
B,,75,M507x511S14720493x489
bussi (bus),,76,M545x517S30001482x482S30007482x482S18010515x480S18018457x480S26600520x447S26610467x448
d,,27,M508x515S10110492x485
e,,15,M507x507S14a20492x492
Eetu,,6,M554x544S30005482x482S1f521523x520S20500512x512S2df04533x498S34700482x482S30a00482x482S1f521522x522
ei,,42,M559x514S15a30481x487S15a30508x487S26606529x492S26602441x493
ei (nein),,77,M553x570S30122482x476S15d01493x541S15d09478x547S26606523x546S26612444x545
eilen (gestern),,78,M548x534S35c00482x482S20500505x497S20500524x523S10a0f522x487S36d00479x520
eläin,,45,M597x545S30000482x482S20500497x466S20500497x519S15a52526x468S15a56529x517S22b04561x457S26500583x467S26500568x517S20500537x534
g,,7,M510x511S1fa1b489x489
hanen (sein/ihr),,79,M568x558S32407451x483S26507489x523S26507554x519S2f900492x514S2f900557x510S34c00513x482S10057466x528S15a20542x529
hei,,3,M539x564S14c20490x533S33e00482x482S22a07526x544
Helsinki,,80,M538x517S2ff20476x482S20500496x495S15352513x467S22a00521x448S2f900523x442
hieno,,13,M531x585S1d410502x523S1d418466x523S33e00482x482S26512477x571S26506499x571
huomenna,,81,M537x541S34400482x482S30005482x482S20e00520x503S10a08510x515S26500523x485
i,,33,M510x509S19220489x490
isa,,21,M537x531S30000482x482S30004482x482S20500494x468S20500496x520S1ea10514x467S22a04519x491
