canonical_gloss,synonyms,sid,FSW
adhesive,"paste, glue",541,M518x579S34200482x483S14c08455x532S2880a476x532S11502463x551S20e00464x567
1,Theme: numbers,282,M507x515S10000492x485
1,one,669,M533x587S34800497x483S34a00468x483S20500500x545S10011499x557S15218478x535
10,,91,M527x526S15a00473x473S15a00497x473S23903509x498
10,,379,M571x515S14c00504x484S14c08473x484S14c20548x484S14c28428x484S26506530x497S26512454x496
ten,10,777,M508x508S20300493x493
ten,10,778,M512x511S1ea10489x490
ten,10,779,M528x511S20300472x495S2df00490x490S20320513x495
thousand,1000,794,M528x527S10020513x473S10002472x512S2880d505x506
thousand,1000,795,M521x524S36d00479x477S1f552480x486S20500483x513
eleven,11,782,M508x517S1f502493x493S21900494x483
eleven,11,791,M521x514S1f020492x499S22114480x487
twelve,12,783,M515x517S1dc02485x493S21900501x483
twelve,12,792,M521x514S12b20492x499S22114480x487
thirteen,13,784,M515x517S11e02485x494S21900496x484
fourteen,14,785,M515x515S18e02485x495S21900496x485
fifteen,15,786,M516x517S14c02485x494S21900496x484
sixteen,16,787,M510x516S19202491x495S21900496x485
seventeen,17,788,M513x515S1b002487x495S21900498x486
eighteen,18,789,M515x515S1cd02485x495S21900501x486
nineteen,19,790,M516x516S14402485x494S21900499x484
2,,155,M507x515S10e00492x485
2 days ago,"Theme: days, Theme: sheet Maureen",294,M532x526S26904516x508S36d00479x484S10e00517x475
twenty,20,781,M518x515S10e00482x485S17610502x499
twenty,20,793,M521x514S1f020492x499S22114480x487
3,,57,M509x515S18600491x485
3,,853,M512x515S11e00489x485
thirty,30,770,M519x515S18600482x485S17610503x499
thirty,30,801,M529x515S1c120500x486S22114472x502
4,"four, Theme: numbers",285,M511x516S14400489x485
forty,40,771,M521x516S14400480x485S17610505x499
forty,40,800,M525x514S1a620503x486S22114475x502
5,,377,M512x515S14c00489x484
fifty,50,772,M521x516S14c00480x485S17610505x498
fifty,50,799,M524x515S18820504x486S22114477x502
Number. six,"Six, 6",342,M507x513S10a00492x487
6,,378,M508x511S1f902493x488
six,6,734,M511x510S19200490x491
6,,854,M510x511S1f801490x489
sixty,60,773,M520x510S19200481x490S17610504x494
7,,382,M512x515S1dc01489x485
7,seven,664,M515x512S1dc02485x488
seven,7,735,M510x513S1b000490x487
seventy,70,774,M520x513S1b000481x487S17610504x497
Numbers Eight 8,"Eight, 8",345,M512x512S1f502497x488S26532488x497S26532487x502
8,,381,M513x515S11e01488x485
8,eight,665,M515x512S11e02485x489
eight,8,736,M510x515S1cd00490x485
eighty,80,775,M520x515S1cd00481x485S17610504x499
nine,9,668,M515x510S18e02485x490
9,,855,M513x513S18e01487x487
ninety,90,776,M526x511S14402475x489S17610510x489
A,,177,AS14c09S20500M514x517S14c09488x490S20500486x483
A,,670,M533x587S34800497x483S34a00468x483S20500500x545S10011499x557S15218478x535
A,,671,M521x526S10011500x496S15218479x474S20500501x484
abduct,,542,M541x532S37605459x468S16d11482x512S22b07501x492S20300526x475
Ablaze,on fire,543,M523x548S20304484x533S20304505x533S22c00503x488S22c10482x488S14c00500x453S14c08478x453
Accept,,540,M536x543S14c50510x458S14c58466x458S18551509x511S18559465x511S20500507x532S2fb04492x503S20500485x532S26504515x492S26514472x492
accident,"crash, bump, theme: contact symbols",391,M536x557S20300501x542S20306482x542S20b00493x526S26502521x543S26516463x543S32a00482x482
Musical instruments,Accordian,539,M533x542S1fb10471x459S1fb10516x459S2df18469x489S2df00512x487S2df10468x521S2df08512x518
live,"address, Theme: family details",279,M542x532S1c502508x469S23600503x515S21100516x501S36d00479x468
afraid,,148,M532x595S31300482x482S15300493x570S15308488x535S2fb04515x564S20600510x542S20600465x577
again,repeat,747,M513x524S10e40492x477S22f04488x510
slow,"slowly, ages, long time, theme: contact symbols",406,M534x537S26603476x515S15d37511x463S15d51511x479S21100501x500S37a0b467x483S37a08466x481
Alarm,,545,M522x521S15a18492x480S10020507x490S20600479x510
alarm,alarm clock,645,M522x521S15a18492x480S10020507x490S20600479x510
all eyes on me,"Look at me, looking at me.",505,M559x518S30a00482x483S33c00482x483S14600541x467S14608442x467S26503521x484S26515464x484S2f900517x477S2f900472x478
all right,"fine, OK, Theme: greetings and introductions",261,M557x571S1f540515x527S1f548468x527S2e500534x544S2e518441x542S33e00482x482
alone,,17,M579x580S10000560x532S22f04554x566S32105482x482
alphabet,,376,
American  Sign Language,,219,M612x535S14c02417x495S14c0a389x491S20700409x518S2e75e407x475S2f900414x468S10011490x466S10019467x476S1dc20574x473S1dc28546x473S2ea04497x502S2ea48474x510S2891d532x508S28905585x508
angel,,98,M539x534S15a11477x482S15a19511x481S22117520x466S22111460x466S26a02473x506S26a16516x507S2fb04488x512
animal,theme:ANIMAL,197,M556x532S14e02522x506S14e0a443x507S23400519x468S23410443x469S20e00459x491S20e00531x487S2fd00488x519
animal,theme:ANIMAL,198,M530x548S15450514x475S15458469x451S2fb04484x536S2eb4c469x493S2eb00515x516
Reindeer,Animal,369,M559x518S30001482x483S30007482x483S14c10462x469S14c18515x468S20500487x471S20500506x471S28807539x452S2881f443x451
Animal,,432,M546x526S36d00479x480S15a51454x501S15a59521x503S36f50454x475S36f54525x477S36f54465x476S36f50536x476
Animal,Rhino,433,M542x518S33100482x483S1fb10525x497S2d200516x465
Animal,Giraffe,434,M518x570S36a00482x477S16d32491x552S22b00492x518
Animal,Monkey,438,M542x581S35d04482x483S14e03515x553S20e00523x537S22f00516x521S14e0b460x553S22f10460x521S2fb00493x537S20e00467x537
Animal,"Chicken, Bird",439,M518x534S30004482x483S1f420471x519S22114455x509S20500505x520
Animal,Duck,440,M518x535S13f10476x520S30004482x483S22114455x510
Animal,Zebra,441,M540x531S14402503x469S1440a468x469S26606510x492S26606510x511S26612461x493S26612462x511S20e00495x504S2fb04494x525
Animal,Gorilla,442,M538x576S27104498x518S14e03509x458S20e00515x442S20e00476x442S14e0b469x459S2fb00493x425S22a00514x424S22a10475x424S20c00505x538S1f701509x554S20b00476x524S27118462x506S1f709472x539
Animal,Lion,435,M541x518S21800465x478S2ff00482x483S15002510x489S1500a459x490S21800516x478
animal-walking,,23,M525x563S15a20477x437S15a20510x452S15a20478x490S15a20511x510S22e04508x483S22e04508x540S22e14476x467S22e14476x519S2fd03485x544
Pets,"Animals, Mouse",329,M528x546S33200482x483S10011507x505S20e00491x523S26a02476x519
Animals,"Hare, Pets, Rabbit",330,M545x518S30001482x483S30007482x483S13208461x465S13200514x464S22114519x457S22114455x457
Animals,Bear,385,M535x528S15001466x483S21800466x473S37600489x505S21800514x472S15009507x483
Animals,Hippo,423,M529x523S19a50472x480S19a38472x498S20500504x495S23108503x478S23110503x506
cream,"anticeptic, rub",343,M522x527S15d51499x504S15a57495x472S37602477x475S21100484x491
Around the corner,,454,M516x545S10b47485x456S2df00495x508S22a00488x491S22a02484x532
arrive,,86,M528x533S20b00473x520S15a08516x468S15a09471x494S22a03500x490S15a21481x501
Arrive,arrived,544,M530x516S15a39471x488S20500499x484S18250480x501S28801510x493
Asda,,802,M559x535S36d10479x465S2fb02471x489S2fb06523x488S20c00531x515S15a24515x508
Asda,,836,M568x528S36d10479x473S20c00540x508S15a1c524x501
attack,,38,M527x535S10020505x482S10028476x494S2fb04491x529S26a00500x465S26a10472x476
August,,849,M518x551S14c09488x456S20500487x449S14c09482x487S20500508x501S20300493x536S20308493x518
aunt,,822,M520x516S14c09494x489S20600480x484
aunt,"uncle, nephew, niece",825,M518x546S30004482x483S11800496x519S20600475x517
Family,"Relative, Aunty",333,M531x529S15818505x472S10011505x491S20500493x481S26613468x507S20500484x491
Countries,Austria,239,M523x520S11811478x494S11819498x495S20600494x480
autumn,,154,AS14c11S14c18S22511S28a05M532x533S22511487x466S14c11498x477S28a05503x503S14c18467x482
B,,176,AS1ce10S1ce18M522x515S1ce10500x485S1ce18477x485
B,,374,M516x513S17610500x486S17614483x486S20500495x502
B,,672,M533x555S34800497x483S35000467x483S17618482x538S17610497x539
B,,673,M516x509S17610500x493S17614484x492
B,,831,M516x508S17618484x492S17610500x492
B,,832,M524x510S1eb18476x491S1eb10500x491
baby,,184,M517x532S15a36482x475S15a32490x469S27122493x493
Family,baby,562,M544x512S20500534x492S37906472x506S15a3a509x500S20500456x498S37906488x492S15a32466x488
Baby,Child,615,M523x535S15d32496x472S15d3a478x472S20500496x466S27122492x496
back,,39,AS15a24S26b00S36d10M551x531S36d10479x469S15a24506x504S26b00524x508
Back packing,"walker , Hiking, Walking",548,M536x525S36e00477x476S1f702516x487S1f70a467x487S20600514x510S20600463x510S2fb04493x519
Bacon,,549,M572x514S12d12504x491S12d1a471x491S26606542x498S26612429x498S22124537x495S22124443x496S2fb00493x486
fruit,banana,551,M540x532S10028460x469S18527477x468S20e00480x502S22a04480x517S10018509x469S18510515x470S20e00523x502S22a04523x517
Horse,"Riding a horse., Bareback riding",443,M531x528S15d0a469x491S26626501x497S20a00486x513S10e14483x473
Netball,Basket ball,624,M533x545S15040507x514S15048468x514S23000506x492S23010470x492S15018470x456S15010505x455
Sport,"basket ball, netball",555,M533x545S15040507x514S15048468x514S23000506x492S23010470x492S15018470x456S15010505x455
bath,,564,M549x540S36d00479x460S2fb00492x487S21100493x497S23600510x497S23610450x497S1f702511x520S1f70a473x520
Open eyes,"wake up, Be aware",508,M541x537S1f418459x513S2f710475x437S1ee10513x456S22100476x447S2f700511x437S1f410512x513S31600482x502S31400482x463S22100511x447S1ee18460x456
Hug,Bear,515,M535x570S15001466x525S21800466x515S37600489x547S21800514x514S15009507x525S30a00482x483S34000482x483
bed,,563,M538x526S2ff00482x483S15d10519x485S20600513x515
Bedroom,,550,M541x593S15a10516x494S2ff00482x483S20500514x480S15a40516x551S15a48475x552S22104529x552S22104461x556S18048481x578S18040489x541S2b700518x524
begin,,187,M549x528S30005482x482S10612516x509S2c300523x480S20500506x517
Clothes,"belt, fasten belt",561,M532x524S1150a468x503S11502501x503S2d600503x488S36d00479x520S36d00479x476S2d618469x488
bend-in-road,,69,M540x533S1153c491x467S11554461x487S2d604485x520S2d614511x495S2fb04484x505
Benefits.,,476,M548x522S36d00479x478S20e00504x494S1d452520x483S22f04498x508
Bicycle,,486,M522x527S20350505x474S20358478x474S2ea00507x495S2ea4c478x496S2fb04492x521
big-house,,136,M555x554S11511501x447S11519471x447S11558445x515S11550540x515S22b05520x471S22b13453x471S22a04535x499S22a04451x499S2fb04491x548
billiards,snooker,574,M529x525S17640472x475S17650513x509S26501492x494
billion,,797,M516x517S17618484x501S17610500x501S26520493x483
Bird,Parrot,444,M544x540S10620523x514S33200482x483S20e00520x496S2b800509x463
bird,,85,M534x542S22134501x535S1f021504x507S2ff00482x482
bird,theme:ANIMAL,199,M518x547S1f420488x532S22114476x522S22104505x522S30004482x482
bird-flying,,60,M552x523S1f419448x482S1f41f531x478S2d614488x510
bird-landing,,54,M579x573S32104482x482S1f411549x478S15a56489x561S10e04501x531S20500486x543S22c03524x505
birds-being-fed,,37,M556x538S17c3f479x491S18551496x472S2eb02484x523S2fb04511x500S23404519x462S22134444x495
birth,,11,AS15a41S15a49S26500S26510S36d00S36d00M523x534S36d00479x465S36d00478x530S15a41500x503S15a49473x503S26510482x482S26500500x482
birthday,theme: cards,428,M537x591S15d41514x564S15d49463x563S15d07509x523S15d0f469x522S36d00479x587S33e00485x482S22a00514x547S22a10474x545
birthday,,764,M521x520S36d00479x480S11511480x493S20600456x490
biscuit,,162,M517x517S15336483x502S20600495x482
biscuit,,805,M521x530S37602479x473S36d00479x470S15316468x515S20600453x500
black,Theme:COLOURS,231,M552x531S36d00479x481S11e02453x499S11e00529x470S22b07494x493S20500448x520
Nose bleed,bloody nose,512,M528x559S33100482x483S14402497x505S22b04493x529S22b04508x529
clothes,Blouse,458,M538x556S36d00479x444S20500513x468S20500486x468S20500487x544S20500510x545S18010508x484S18018471x484S18014470x522S1801c505x522S2fb00496x499S22a04504x512S22a14487x512
Blow drying hair,drying hair,525,M557x540S33500476x483S1dc01525x492S27100517x525
blue,,160,M514x526S14c00485x473S10b10498x497
blue,Theme:COLOURS,232,M530x522S15a37470x479S10041478x492S21100497x483S27101503x488
colour Blue,blue,361,M530x529S10021500x508S27111469x472S15a07496x483S21100483x507
blue,,637,M531x529S10021501x508S27111470x472S15a07497x483S21100484x507
Boat,,628,M540x526S15a40461x494S15a10474x481S20500464x483S15a49492x502S15a41517x503S20500511x492S22f20505x475
boat sailing forward,,488,M519x533S15c19481x503S15c11499x503S2c120483x468S20500495x522
born,theme: cards,430,M545x537S36d00479x463S36d00479x531S15d41522x514S15d49458x513S26501514x499S26517479x499
boy,"Theme: family details, son, theme: cards",274,M545x532S10012515x513S30004482x482S20e00508x519S26502489x518
Braid hair,"Plait hair, platts",524,M549x572S1ea07524x496S1ea08503x516S2ff00482x483S2fd04526x528S2df0a527x540S2df1e502x548
branch,,76,M539x532S28a07509x500S16d20480x512S14c18460x467
bread,"slice, theme: contact symbols",397,M529x531S15d39487x502S15d41506x508S27101470x469S21100490x488
