canonical_gloss,synonyms,sid,FSW
1,,3,M507x515S10000492x485
11,,30,M535x515S18506464x491S21100485x489S22916501x486S1f700515x500
14,,51,M512x535S18e00492x464S22f00487x500S17600492x519
2,,43,M507x515S10e00492x485
3,,16,M511x515S11e00488x485
4,,55,M510x515S18e00490x485
available,,14,M538x535S1c600474x505S1c600508x505S2e409462x465S2e421509x465
available,,21,M529x529S1c600507x499S1c608474x499S2ea06504x480S2ea12470x480S2fb00491x470
available,,28,M535x524S1c600509x494S1c608473x494S2eb06503x475S2eb12464x475
ball,,52,M519x517S16d10502x497S16d18480x497S20600489x482
birthday,,42,M514x520S1f739486x498S1f75f493x497S20c00485x479
blood,,39,M518x539S31400482x482S10000485x507S20e00459x509S22f04453x525
Christmas,,9,M518x596S30004482x482S17c3e487x518S20e00496x539S22a04495x555S1853e493x571
Christmas,,25,M518x597S30004482x482S17c3e487x518S20e00496x539S22a04495x555S1853e493x571S26502468x583S15a48430x570S20350446x582S20500445x566
Christmas,,46,M537x516S20500477x485S20350478x501S15a48462x489S26502500x502S20350522x501
Easter,,10,M534x598S20344463x573S20600459x560S20500495x500S31400482x482S11501509x516S11551480x545S22a03506x539S2f900465x593
Easter,,33,M534x598S20348463x573S20600459x560S20500495x500S31400482x482S11501509x516S11551480x545S22a03506x539S2f900465x593
eight,,35,M510x515S1cd00490x485
eight,,40,M510x515S1cd00490x485
eighteen,,44,M511x520S1cd00489x490S21d00493x480
eleven,,5,M535x515S18506464x491S21100485x489S22916501x486S1f700515x500
eleven,,41,M514x520S18506488x496S21200486x479
fifteen,,7,M511x520S14c00488x489S21d00491x480
five,,37,M511x515S14c00488x484
four,,36,M510x515S18e00490x485
fourteen,,29,M511x519S18e00491x489S21d00489x481
fourteen,,49,M512x535S18e00492x464S22f00487x500S17600492x519
happy,,18,M516x523S15d39484x496S15d5f492x500S20c00488x477
hat,,31,M518x517S2ff00482x482S15d12486x460S20600462x475
Hoegaarden,,4,M518x534S11e10463x504S30004482x482S20600489x519
house,,23,M519x520S18217502x495S1821f481x495S20600489x480
my,,20,M518x564S1f701493x542S31400482x482S20600485x530
my,,48,M519x563S1f701498x541S31400482x482S20500495x529
nine,,22,M506x513S15a00494x486
nineteen,,15,M513x516S14700492x494S22110487x484
Northern-Ireland,,17,M542x523S15d59503x500S15d39457x500S11812465x479S20500484x499S20500532x498S11812512x478
Northern-Ireland,,53,M521x552S15a37478x451S15a57480x510S11850497x465S20500506x449S11850498x525S20500507x507
Northern-Ireland,,54,M544x524S15d39455x501S15d59505x501S11852460x476S11852510x476S20500534x497S20500481x497
one,,47,M507x515S10000492x485
Pope,,8,M538x539S31400482x482S23a07463x459S23a1f511x459S20500493x448S11510523x509S11518457x508S35c04482x483
seven,,12,M510x513S1b000490x487
seventeen,,26,M511x518S1b000491x492S21d00489x481
sign,,34,M523x538S14c40499x461S14c48476x475S2ea00506x499S2ea4c482x512S2fb04501x532
six,,2,M510x509S19200489x490
sixteen,,32,M513x515S19200492x496S21d00486x485
ten,,11,M508x508S17600492x492
thirteen,,6,M511x520S11e00488x490S21d00493x480
three,,45,M511x515S11e00488x485
Tokyo,,13,M575x535S1dc20516x504S1dc28461x505S23603546x466S23611424x471
twelve,,1,M512x520S10000488x490S21d00494x479
twelve,,27,M511x519S1de00488x489S21d00493x480
two,,50,M507x515S10e00492x485
zero,,19,M508x508S17610492x492
