canonical_gloss,synonyms,sid,FSW
1,,61,M508x515S10000493x485
2,,62,M511x515S1de01490x485
3,,63,M513x515S11e01488x485
4,,64,M511x516S14400489x485
5,,65,M512x516S14c00489x485
6,,66,M524x520S14c09477x481S1f527502x498S20500491x503
7,,67,M524x520S14c09476x481S1dc27501x490S20500490x503
8,,68,M524x521S14c09476x480S20500488x501S11e27499x491
9,,69,M527x518S14c09473x483S20500491x505S14421498x490
A,,35,M508x512S1f540493x488
B,,36,M507x511S14720493x489
basic-signlanguage,,1,M526x540S15d48473x467S15d40507x513S1ce50495x463S1ce58481x505S20500490x459S20500498x507
C,,37,M509x510S16d10492x490
school,"college, pupil, university",25,AS20340S15d39S22c00S20310S2ff00M518x558S15d39476x535S22c00490x491S2ff00482x482S20340490x541S20310492x473
D,,38,M508x515S10110492x485
deaf,,11,M545x540S30a00482x482S20500496x517S20500518x491S10011524x510
Dee,,9,M561x518S30006482x482S15d52524x496S27200521x472S36b00482x482
Dog,,6,
Dog,,17,
Dog,,18,
Dublin,,4,M518x567S1eb10484x548S26500494x530S1dc01487x498S2ff00482x482
Dublin,,26,AS10111S23a0bS37606M515x544S37606485x476S10111489x455S23a0b493x489
E,,39,M508x508S14a20493x493
electrician,,7,M523x537S20357490x473S17600507x462S37607476x488S26a03478x488S21b00479x507
electrician,,19,M542x525S10002512x510S1000a458x510S21b00484x497S21b00484x483S21b00510x497S22900483x474S21b00510x483S22900509x474S37d00487x490S37d00513x491
F,,40,M515x514S1d210486x486
G,,41,M511x515S1ce10489x485
H,,42,M510x515S1a020490x486
I,,43,M511x510S19220490x491
Ireland,,5,M567x533S30007482x483S20500512x476S14711521x490S2e20f537x506
Ireland,,20,M570x536S30007482x483S20500512x476S15d11520x488S2e20f540x509
Irish Sign Language Alphabet,,31,
Irish Sign Language Numbers,,32,
J,,12,M517x521S19422498x478S2a20c482x493
J,,44,M519x518S19220498x499S2a20c482x483
K,,45,M511x514S1bb20490x486
L,,46,M510x514S15d20491x487
M,,47,M510x513S18d50490x488
me,,8,M513x524S10b43492x476S20500488x513
model,,3,M540x532S1d428459x472S1d420511x468S2e501511x498S2e519462x505S2fb04492x526
model,,15,M535x535S15d20513x465S15d28469x472S2e501512x497S2e519464x504S2fb03495x523
N,,48,M511x513S11950489x487
NISL--Northern-Ireland,,14,M554x535S15d29519x512S11912463x489S11812527x489S15d09457x511S22a04446x497S22a04512x497S2880a490x464
O,,49,M508x508S17610492x492
P,,50,M508x515S18c20493x485
Pat,,2,M510x530S18c20494x470S18d50490x505
Q,,51,M511x514S1a520490x486
question,,16,M520x522S1a520480x479S29f00501x489
R,,52,M508x515S11a20493x485
S,,53,M508x508S20320493x493
Sign,,21,M510x557S20320489x443S19220489x469S1cd20489x497S1fe20490x539
T,,54,M512x511S1ea20489x490
Trinity,,22,AS16d0eS13d0eS20a00S22a00S22a14S10000S13f3eM522x571S16d0e500x481S22a00504x461S10000503x429S20a00478x497S13d0e506x493S13f3e507x542S22a14507x525
Trinity,,23,AS16d02S13d0eS20a00S22a00S22a14S10000S13f3eM520x568S16d02497x484S22a00501x466S10000499x433S20a00502x507S13d0e481x490S13f3e482x539S22a14485x523
U,,55,M508x515S11520493x485
V,,56,M508x515S10e20493x485
W,,57,M509x515S18620491x485
X,,13,M515x512S10602485x497S26506500x487
X,,58,M508x522S10640493x496S26504494x479
Y,,59,M514x510S19a20486x490
Z,,10,M531x515S10021469x494S2450a500x484
Z,,60,M518x517S10050482x487S2450a487x483
