canonical_gloss,synonyms,sid,FSW
"""22 dicembre"" di L. Lamano",,998,M520x527S10e20480x478S23602503x474S2f710506x520
"""22 dicembre"" di L. Lamano",,999,M539x621S2ff00482x483S36d00479x527S19a30511x546S19a38458x542S23402516x571S23416464x569S2fb04489x615S34000481x483
"""22 dicembre"" di L. Lamano",,1000,M543x574S34000482x483S30a00482x483S15d5a482x555S15d52497x527S20500493x542S23100517x541
"""22 dicembre"" di L. Lamano",,1001,M539x538S34000482x483S30005482x483S14720525x516S20601512x505
"""22 dicembre"" di L. Lamano",,1002,M560x561S30d00481x483S36d00479x529S20500525x523S20500536x519S18507541x534
"""22 dicembre"" di L. Lamano",,1003,M533x556S34400483x483S36d00479x522S10b03503x535S20500494x535
"""22 dicembre"" di L. Lamano",,1004,M558x559S36100482x483S31500482x483S1e717523x508S1e71f458x510S1de10536x472S1de18442x473S2f804480x548
"""22 dicembre"" di L. Lamano",,1005,M571x555S34400481x483S32107481x483S36d00479x524S15d5a468x536S18537536x525S27107544x510
"""22 dicembre"" di L. Lamano",,1006,M529x592S32103480x483S36d01479x525S1de41476x545S23701494x556
"""22 dicembre"" di L. Lamano",,1007,M521x592S18041486x541S36d01479x524S32103480x483S2a20e490x563
"""22 dicembre"" di L. Lamano",,1008,M536x571S34000482x483S36d00479x525S1ed40510x538S1ed48467x547S20500495x560S20500496x540
"""22 dicembre"" di L. Lamano",,1009,M521x570S34400483x483S36d00479x523S10011500x531S20600486x559
"""22 dicembre"" di L. Lamano",,1010,M563x575S33b00482x483S36d00479x522S15d59467x539S2f700471x568S11851496x547S11857543x521S2a208516x526
"""22 dicembre"" di L. Lamano",,1011,M542x589S35800482x483S36d00479x525S14c41516x549S14c49455x546S20f00487x541S2fc04492x578
"""22 dicembre"" di L. Lamano",,1013,M540x592S20301519x527S20301462x528S23603508x544S23615463x544S2fc04492x581S34000482x483
"""22 dicembre"" di L. Lamano",,1014,M540x539S11830520x461S11838465x463S2a200517x494S2a218461x497S2fb04492x533
"""22 dicembre"" di L. Lamano",,1065,M537x603S1f701516x551S1f709466x551S36d00479x533S35800482x483S27120480x571S2fb04493x597
"""22 dicembre"" di L. Lamano",,1066,M542x585S34d00482x483S10b51512x538S22a04520x570
"""22 dicembre"" di L. Lamano",,1067,M554x555S34400482x483S11211505x518S22b06509x539S2f710542x543
"""22 dicembre"" di L. Lamano",,1068,M579x565S1f520424x451S14920452x446S1dc20473x436S10e20506x436S1f720530x451S10110471x488S10b20506x485S2a20a528x484S1f720421x549S1dc20444x535S1f240471x547S19220508x546S11950533x538S17610563x548
"""22 dicembre"" di L. Lamano",,1069,M549x594S35800482x483S10b59471x561S10b51519x553S2f900478x589S20500505x558S2c100523x513
"""22 dicembre"" di L. Lamano",,1070,M590x572S1f520414x442S26502411x459S16d10446x438S11540468x428S19220489x439S1f720515x443S10e20544x428S19220569x440S10110454x480S10b20484x475S2a20a502x484S1f720414x533S10b20504x523S10b20530x523S14710439x525S11a10460x518S11520481x518S2df04459x550S2450a499x554S2450a534x553S17610560x532
"""22 dicembre"" di L. Lamano",,1074,M531x536S11e40508x465S11e48469x482S2f400499x501S2fc05509x521
"""22 dicembre"" di L. Lamano",,1075,M526x563S2ff00482x483S1ed17496x501S2e50d503x536
"""22 dicembre"" di L. Lamano",,1076,M530x583S33500476x483S10b41501x537S22e04510x565
"""22 dicembre"" di L. Lamano",,1077,M543x539S15751512x498S15759458x500S18557519x463S1855f459x462S22a20491x480S2fb04491x533
"""22 dicembre"" di L. Lamano",,1078,M545x613S33b00482x483S14750502x555S36d00479x527S2c100505x583S2f806534x551
"""22 dicembre"" di L. Lamano",,1079,M541x619S14750504x559S36d00479x531S36100482x483S29900505x587S2f806530x570
"""22 dicembre"" di L. Lamano",,1080,M544x597S18017524x536S1801f451x530S34900482x483S2ea07506x558S2ea1f465x558S2fc04489x586
"""22 dicembre"" di L. Lamano",,1081,M542x617S36500482x483S36d00479x529S20340522x547S20348469x544S23402528x571S23416469x569S2fb04497x611
"""22 dicembre"" di L. Lamano",,1082,M545x548S1ce10522x454S1ce18455x452S29a04530x495S29a1c462x493S2fb04495x542
"""22 dicembre"" di L. Lamano",,1083,M555x591S36100481x483S36d00479x521S14c57529x530S14c5f446x531S26620496x539S2fb04496x585
"""22 dicembre"" di L. Lamano",,1084,M555x584S14c2f468x545S14c20501x534S36d00479x523S36100480x483S2f900480x579S2d608526x550
"""22 dicembre"" di L. Lamano",,1085,M550x588S34f00481x483S36d00479x525S1de27519x526S2a538531x555
"""22 dicembre"" di L. Lamano",,1086,M545x622S11e47515x559S11e49476x552S36d00480x527S35a04479x483S2ea27490x580S2fc04502x611
"""22 dicembre"" di L. Lamano",,1087,M535x539S15d50516x461S15d58466x461S22b24493x481S2f900496x534S2fb04494x518
"""22 dicembre"" di L. Lamano",,1088,M550x576S34400482x483S1ed10524x528S1ed18470x531S22f03515x550S2f710511x569S21800524x515
"""22 dicembre"" di L. Lamano",,1089,M542x589S34000482x483S36d00479x522S14c00519x534S14c08465x534S2c425486x548S2fb04496x583
"""22 dicembre"" di L. Lamano",,1090,M556x594S36500482x483S1d410511x522S2e00d503x556S2f806545x541
"""22 dicembre"" di L. Lamano",,1091,M518x524S18040487x477S2a20e482x495
"""22 dicembre"" di L. Lamano",,1092,M529x602S14750503x547S36d00479x525S35800482x483S2c100506x572
"""22 dicembre"" di L. Lamano",,1093,M524x528S14c20477x475S23602507x472S2f710510x521
"""22 dicembre"" di L. Lamano",,1094,M556x592S34400481x483S36d00479x528S37901480x530S3770a489x544S20500507x540S20500491x569S10021526x545S2c300524x569
"""22 dicembre"" di L. Lamano",,1095,M551x566S34000482x483S1d420522x523S1d428465x528S2c320498x543
(albero) indicare,,583,M521x575S34300482x488S30100482x477S10b20498x530S26a00494x561
(dentro bene) non,,710,M534x568S34700482x489S10020519x532S31930489x498S2e230497x536S30326482x476
(dentro non) bene,,709,M521x564S34700482x483S1ce31485x541S31930489x492S26506506x535
(deve) incontrare,,673,M527x585S30a00482x489S34000482x489S30153497x476S10e18474x533S10e10512x535S2880e504x568S28816476x568S20500496x551S2fb04492x579
(incontrare) fatto,,675,M545x588S2fb04493x559S20500494x544S33b00482x483S14c09466x529S14c01507x530S2d307511x558S2d312457x558
(incontrare) lo,,683,M530x567S30104482x477S32d00482x488S15d30511x541S26507489x549S34710493x511
(incontrare) non,,680,M527x573S10020512x531S30322482x476S34100482x489S2e230491x541
(lavatrice) indicare,,584,M534x595S30104482x477S10010511x548S26a00507x581
(non ancora) incontrare,,678,M529x573S28816479x561S30304482x477S20500497x544S2fb00494x534S10e10514x528S10e18476x527S2880e505x561
(passato) incontrare,,677,M528x573S2ff00482x488S30b00482x488S20500496x544S30103482x477S10e10513x528S10e18475x527S2880e504x561S28816478x561S2fb00493x534
(proprio) otto,,779,M530x565S30c00482x483S31a30489x497S34410496x506S14c28472x526S11e20507x527S26520494x550
(tocca) a te,,713,M522x564S10040488x534S26500508x536S2ff00482x483
(volere) incontrare,,630,M530x573S10e18473x528S10e10513x526S2fb00493x538S2880e508x560S28816472x561S20500496x545S36500482x483
0 (number),,969,M511x515S1ce10489x485
02_pelle d oca,,792,M526x586S17550505x549S14451445x529S37604477x530S36d00477x527S33500476x483S28a0f473x536S21100481x572
03_demoralizzarsi,,793,M538x590S36d00479x529S35d07481x488S30105481x477S15001510x538S15009466x540S22b24494x553S21100495x537S2fb04494x584
04_dolore,,794,M525x574S10051464x553S34400482x483S31930489x492S25107499x544S36d00479x527
05_strafelice,,795,M548x541S10e52518x515S10e5a454x513S33200482x483S34010492x509S22512502x519S22516487x519S22a06513x498S22a12472x498
06_riso,,796,M527x560S36804479x481S34010493x505S15401503x523S23603487x530
