canonical_gloss,synonyms,sid,FSW
1,,2,M507x515S10000492x485
1 (one),,52,M508x515S10000493x485
2,,11,M508x515S10e00493x485
2 (two),,53,M508x515S10e00493x485
3,,6,M509x515S18600491x485
3 (three),,54,M509x515S18600491x485
4,,14,M511x515S14400489x484
5,,12,M511x515S14c00488x484
6,,10,M507x512S1f506492x488
7,,3,M512x515S1dc00488x485
8,,9,M511x515S11e00488x485
9,,8,M510x515S18e00490x485
AAN licht (light on),,59,M510x532S20350490x468S15204490x501S22a04491x485
AANDOEN kleding (putting clothes on),,61,M538x528S36d00479x472S1ea0a462x472S1ea02517x472S22a04516x513S22a14472x513S21100472x497S21100516x497
AANGIFTE / AANGEVEN (),,68,M530x534S2ff00482x483S26500516x507S1ea10495x513
AANHEBBEN kleding (wearing clothes),,75,M540x531S36d00479x470S21100515x500S21100471x500S22a04515x516S22a14471x516S14c02509x475S14c0a461x475
AANHOUDEN / AANHOUDING verdachte,,79,M512x535S14c20489x504S20320493x466S26500493x486
AAP (monkey),,30,M550x517S18201525x495S18209448x493S36d00479x484S22f00504x489S20e00475x505S20e00510x504S22f10469x490
APPEL (apple),,49,M539x534S2ff00482x483S2c300513x511S16d12490x514
AU (ouch),,28,M554x561S34800482x483S14c04507x526S23706533x522
bedankt,,1,AS15d00S20500S26500S33e00M529x539S33e00482x482S20500481x517S26500515x508S15d00494x512
bedankt,"dankjewel, dank",69,M528x541S2ff00482x482S26600512x511S20500484x516S15a00496x507
Knuffelen,"Beer, Knuffelbeer",25,M568x556S15011466x527S15019509x527S35d00482x483S20500446x516S20500546x515S28705435x534S28703546x534
bruin,,4,AS11518S2eb18S30002M518x530S30002482x482S11518472x498S2eb18450x498
cursus,,73,M521x519S15a00507x491S36d00479x482S22f02486x494
dier,,15,M531x545S15450514x478S15458469x454S2eb04516x512S2eb48470x490S2fb04484x539
dier (animal),thema: DIER,40,M531x546S15450516x478S15458471x454S2eb00515x514S2eb4c469x494S2fb04486x539
drinken,,48,M544x541S1f510492x522S2ff00482x482S20500518x510S20500531x510S26a00517x527
ezel (donkey),thema: DIER,23,M550x518S2ff00482x483S16d10505x475S16d18478x475S22a07523x463S22a11465x463S20320535x443S20320451x443
