canonical_gloss,synonyms,sid,FSW
A,,36,M515x517S14c09489x490S20500486x483
B,,11,M522x522S1ce10500x477S1ce18478x478S20500495x511
born,,4,M531x549S15a48472x521S15a40517x522S15a10513x452S15a18475x452S2d200505x489S2d211468x489
C,,31,M512x510S1ec10489x491
D,,17,M520x519S1ec10497x480S10018492x489S20500479x483
E,,35,M513x520S14c09487x493S20500496x480
F,,29,M519x520S11557481x484S11551492x480S20500498x509
G,,20,M517x514S20300488x485S20300483x499S20500507x495
H,,5,M528x519S15a51474x496S15a37472x489S21100500x496S26507515x481
I,,33,M517x518S14c09484x491S20500507x482
J,,19,M521x529S10012491x471S14c08479x480S2890d490x504S20e00507x490
K,,34,M523x522S10613495x478S10018492x492S20500477x490
L,,14,M517x521S10031496x491S15a39488x479S20500484x503
language,,18,M574x537S1dc40511x464S1dc48465x464S20500495x482S28a05517x500S28a1d455x500S1dc50550x507S1dc58426x506
M,,10,M518x518S18c31492x492S15a39486x483S20500482x505
N,,9,M516x520S11531491x493S15a39487x481S20500484x506
new,,8,M529x519S15a36502x507S1823d500x489S20e00485x494S26501471x480
New-Zealand,,24,M529x543S15a36500x481S1823d498x463S18210506x514S15a18494x503S20500505x532S20e00484x471S26501470x457
number,,30,M535x535S30004482x482S20300492x520S20600513x521
NZSL,,1,M528x575S20351479x426S20339502x425S3780b478x439S37803492x441S20500492x459S21100491x496S2a218487x475S2a20c486x504S14c57502x522S14c3f472x523S37803495x545S3780b475x545S20500493x558
NZSL,,2,M526x550S3770b479x467S20500496x539S14c31474x505S37713495x467S20500493x480S37703496x527S3771b481x528S14c59499x506S20339496x451S20351481x452
NZSL,,26,M526x571S3770b486x444S20339502x429S14c31474x527S37713493x445S20351480x432S37703496x549S3771b482x549S14c59499x528S21100493x487S2a208490x465S2a21c488x496
O,,16,M520x513S14c09481x486S20500510x490
P,,15,M520x517S1eb10496x482S10018495x487S20500481x482
Q,,27,M522x525S10620493x499S1ce18478x474S20700504x489
R,,32,M517x519S10641494x491S15a39487x481S20500483x505
S,,28,M520x518S19821501x491S19839480x487S20800509x482
sign,,21,M531x549S14c48507x451S14c40469x476S2e834509x490S2e818474x513S2fd05499x530
T,,22,M517x524S10041496x494S20500485x501S15a39484x477
translate,,3,M571x529S1ce10507x486S1ce18476x486S20500498x518S2c500531x470S2c514430x471
U,,7,M518x513S14c09482x486S20500508x500
V,,6,M517x520S10e51487x491S20500485x509S15a39483x481
W,,13,M523x523S14c11497x496S14c19477x496S20700492x476
word,,37,M510x529S1ec16491x506S26500492x485S2f700490x471
X,,23,M518x521S10011497x479S10019483x479S20500495x510
Y,,25,M515x524S10020499x494S15d28485x477S20500505x489
Z,,12,M518x520S18210495x492S15a18483x480S20500493x509
