canonical_gloss,synonyms,sid,FSW
1,,80,M507x515S10020492x485
1,,698,M508x515S10010493x485
1-l,,397,M507x515S10028492x485
1st,,328,M521x526S26504491x474S10002491x498S20500478x489S1f548482x502
1st,,816,M529x519S1440a471x497S1d420500x483S20800494x482
1st-Shem,,2,M515x520S11e0a485x497S20500487x486S20310500x481
2,,675,M508x515S10e20493x485
2,,679,M515x508S10e0a485x493
2-person,,514,M527x523S10028474x493S10020510x493S26500513x477S26510472x477
2-weeks,,377,M522x525S15d39493x502S10e41479x494S20e00495x490S26507509x475
20,,451,
2nd,,308,M531x515S1440a468x492S1d420502x487S20800497x485
2nd-Japhet,,457,M533x522S11e0a468x494S19200500x503S20500495x487S2df00512x479
3,,174,M512x515S11e20489x485
3-days,,901,M546x533S15a26519x521S37a06471x526S28b03492x468S11e21457x492S20500455x516
3-floors,,215,M538x532S11e0a463x493S15d51488x509S20e00485x486S20e00507x506S20e00463x478S22b00522x469S26506523x505S26506500x485S26506477x469
3-floors,,332,M527x542S10002475x527S10e02474x497S11e02474x459S29400511x479
3-weeks,,417,M521x524S15d39494x501S11e41480x494S20e00492x484S26507508x477
3rd,,606,M528x517S1440a471x484S1d420499x489S20800491x506
3rd-Ham,,167,M528x519S11e0a472x481S20500491x508S11502498x499
4,,572,M516x511S1440a485x489
4,,825,M511x516S14420489x485
4th,,358,M525x519S1440a475x481S1d420496x491S20800484x505
5,,684,M511x515S14c20488x484
6,,597,M509x514S18720491x485
6-months,,231,M524x522S22a04476x507S10018497x490S20e00476x490S18702495x478
7,,103,M510x514S1a520489x486
8,,575,M511x514S1bb20490x486
9,,530,M511x515S1ce20489x485
A-a,,463,M510x507S1f720490x492
A-a-l,,548,M510x507S1f728490x492
A-B-person,,190,M530x523S1f728470x507S14720516x501S26500516x477S26510471x478
Aaron,,128,M523x539S36d00479x462S1f70a482x468S1f702503x468S23b04504x492S23b1c478x492S20e00479x517S20e00510x518S2fb04493x533
