canonical_gloss,synonyms,sid,FSW
bus,,14,M556x529S16f00532x471S16f08484x472S26502519x479S20b00503x483S2d902490x507S2d912444x509
daily,,19,M522x528S15d0a478x505S15d02495x471S2be00497x496
day,,8,M543x549S10010528x451S20312511x534S22c03485x486S26832469x541S26830535x483S20500458x525
finish,,21,M553x548S2ff00482x482S14c40529x482S14c48446x484S2df10446x527S2df08531x526
free,,17,M532x538S37600488x515S1d811469x497S1d819506x497S28111467x461S28109510x462
get-on,,15,M556x544S17128489x523S17120520x524S2ba00503x476S2ba10472x476S23004531x481S23004496x456S23014443x484S23014457x457
go,,5,M532x519S10050467x489S26806482x481
I,,1,M512x524S16f42487x476S20500488x512S20500502x513
long-ago,,18,M583x533S25a04567x503S36d00479x508S25a04524x503S25a04545x503S16f11519x466
one,,7,M507x515S10020492x485
people,,11,M537x543S14250507x458S14258462x513S2e800506x488S2e810487x489S2fc04496x527
school,,3,M516x525S15d39484x493S15d51493x502S20500484x474S20500499x474
see,,10,M541x530S31400482x482S10e00491x500S26700525x484
standing,,13,M528x549S15038471x517S10e04513x507S20500480x538S26700509x456S26600477x478S20500485x450
think,,16,M542x521S1f417521x491S21100511x472S30007482x483
waiting,,12,M522x547S20349478x524S15020497x496S20500485x536S20500487x453S26600500x460S26600478x479
walk,,20,M610x516S10040514x484S10048472x485S2a600545x493S2a602570x493S2a600593x493S2a613390x493S2a611414x491S2a613438x493
