canonical_gloss,synonyms,sid,FSW
一,"壹, 1",3,M508x515S10010493x485
1,一,91,M508x515S10020493x485
十,"拾, 10",12,M508x515S11a20493x485
10,十,102,M508x508S20300493x493
10,十,103,M515x519S10008491x489S10022485x481
二,"贰, 2",4,M508x515S10e20493x485
二十,20,13,M508x524S10e20493x494S21600497x477
三,"叁, 3",5,M510x515S1cd20490x485
3,三,93,M509x515S18620491x485
3,三,94,M511x515S1ce20489x485
三十,30,14,M510x522S1cd20490x492S21600501x478
四,"肆, 4",6,M511x516S14420489x485
四十,40,15,M511x526S14420489x495S21600493x474
五,"伍, 5",7,M512x516S14c20489x485
五十,50,16,M512x524S14c20489x493S21600496x477
六,"陆, 6",8,M514x510S19a00486x490
6,六,97,M514x510S19a20486x490
七,"柒, 7",9,M512x515S13f17489x485
7,,25,M512x515S13f27489x485
7,七,98,M515x508S13f20486x493
7,七,99,M512x515S1dc04488x485
八,"捌, 8",10,M512x515S1dc01489x485
九,"玖, 9",11,M508x513S10a10493x487
9,九,101,M508x513S10610493x487
a,,26,M510x508S1f740490x493
ai,,66,M512x515S12d20489x485
an,,77,M510x508S1f750490x493
ang,,83,M510x508S1f720490x493
ao,,70,M510x515S1d720491x486
b,,27,M507x511S14720493x489
c,,28,M509x510S16d10492x490
ch,,53,M512x508S17e10489x493
d,,29,M508x508S20320493x493
e,,30,M515x511S1ce02485x489
ei,,68,M514x515S19c20486x486
en,,80,M508x510S1fc50493x491
eng,,89,M510x511S19202491x490
er,,76,M515x512S1dc02485x488
f,,31,M515x508S11502485x493
g,,32,M515x508S10002485x493
h,,33,M508x515S11520493x485
您好,hello,24,M519x529S14c20482x471S27106504x489
I,,18,M534x549S15d02487x530S34c00498x483S34400467x483S20500487x522
I,,22,M524x551S15d02497x532S20500497x524S33e00482x483S31430488x496
i,,34,M508x515S10020493x485
ia,,63,M514x510S19a20486x490
ian,,78,M514x510S19a50486x490
iang,,84,M510x514S19a02490x486
iao,,71,M515x510S1d702486x491
ie,,74,M511x515S1ce20489x485
in,,82,M508x515S10050493x485
ing,,86,M515x508S10002485x493
iong,,88,M514x510S15d02487x491
iu,,73,M513x511S1b102487x490
j,,35,M508x513S10610493x487
k,,36,M515x515S14010486x485
l,,37,M512x515S1dc20488x485
love,,19,M533x545S34800497x482S34c00468x483S1f548432x468S21100415x531S37900439x491S36d00469x522S15d22442x465S2c704409x497S15d02450x509S37807440x524
love,,23,M594x575S2ff00406x483S37b1d419x519S3780e464x550S37803436x521S1f502491x527S15d48478x503S15d40444x499S2890e456x528S31440424x495S33e10424x507S37a00389x487S37a00389x527S37900387x487S37a00387x527S2f900495x555S34800558x482S34c00527x482
m,,38,M508x510S1fd20493x491
n,,39,M508x510S1fc20493x491
ng,,55,M510x511S19202491x490
o,,40,M508x508S17610492x492
ong,,87,M514x510S15d02487x491
ou,,72,M511x513S1b120490x487
p,,41,M508x515S1da1c492x486
q,,42,M515x508S1f410486x493
r,,43,M515x512S1dc02485x488
s,,44,M512x508S18210489x493
sh,,54,M512x513S13210488x488
t,,45,M511x515S1a120490x486
平声,tone1,59,M510x518S10050490x488S26506495x482
上声,tone2,60,M509x519S10050492x489S22a07496x481
去声,tone3,61,M514x518S10050486x488S23b09490x483
入声,tone4,62,M509x517S10050492x487S22a05496x483
u,,46,M510x514S15d20491x487
ua,,90,M509x515S18620491x485
uai,,67,M515x512S12d02485x489
uan,,79,M509x515S18650491x485
uang,,85,M515x509S18602485x491
ui,,69,M515x514S19c02486x486
un,,81,M510x514S15d50491x487
uo,,65,M508x508S17610492x492
v,,47,M508x515S10e20493x485
voir,,17,M511x514S10f2f489x486
w,,48,M509x515S18620491x485
x,,49,M508x515S11a20493x485
y,,50,M514x510S19a20486x490
you,,20,M542x567S35d00467x483S34800497x483S10040527x537S31430506x496S31430474x495S26500524x526
you,,21,M529x567S33e00482x483S10040514x537S26500511x526S31430489x494
z,,51,M515x510S1a002486x490
zh,,52,M515x510S1a402485x490
ê,,58,M525x517S1ce02475x495S2880a503x484
ü,,57,M512x517S15d20489x490S22214491x484
üe,,75,M511x515S1ce40489x485
零,,2,M508x508S17610492x492
