canonical_gloss,synonyms,sid,FSW
العاشر من رمضان,10th of Ramadan,93,M524x541S1a000504x459S15a12477x505S20300486x526S20500489x516S22a03495x484
6 أكتوبر,6th of October,94,M535x539S1dc04510x462S1dc02504x515S1dc0a465x515S2fb00492x516S21900493x528S22a04522x493
أمريكا,"امريكا, أمريكي, امريكي, America, American",71,M531x531S1dc40507x501S1dc48470x501S23020487x470S2fb00492x493
عربي,Arabic,70,M514x526S19a10486x506S2e000489x474
جيش,army,25,M527x535S15a11469x478S37903488x496S20500462x493S36d00479x465
عتبة,Ataba,62,M524x545S20312509x530S37806477x533S10020499x489S20500502x520S2a400494x455
اوتوبيس,"أوتوبيس, autobus, bus",82,M514x540S16d10494x510S16d18487x520S26700498x461
تحاشى,"اتجنب, avoid",106,M551x551S15a20532x524S15a20515x524S26627529x489S2fb00522x516S34200482x483
حمام,"تواليت, bathroom, restroom, toilet",69,M514x519S19a20486x499S22f00487x482
آمن,"يؤمن, اعتقد, يعتقد, believe",104,M521x556S17017485x465S1701f460x465S36d00479x445S20500500x470S20500451x470S2df00484x492S2df18457x492S15a01468x521S15a09467x521S20500473x545
ولد,"مذكر, مذكّر, boy, masculine marker",34,M518x545S30004482x483S11800500x518S20600473x518
بوظ,"بوّظ, كسر, break, mess up",103,M533x523S19a00505x503S19a08467x503S2df0e510x477S2df16469x477
رشوة,"بقشيش, bribe",112,M514x519S15a0c493x481S15a1a487x484S22100493x512
بريطانيا,"انجلترا, UK, Britain",19,M530x563S36100482x483S1ec1e490x513S20a00512x516S26506495x539S26502493x549
بنى,"يبني, build",105,M523x532S15a02496x499S15a0a478x510S20500495x521S28918479x478S28900504x469
دبح,"يدبح, دباحة, ذبح, يذبح, ذباحة, slaughter, sacrifice, butcher, massacre",10,M524x523S20358477x490S20e00510x478S15a40495x482S22b04508x493
الصين,"صيني, China, Chinese",14,M538x545S2ff00482x483S21100525x490S21b00497x507S2880b505x503S1f702513x525
الحد,"يوم الحد, الأحد, يوم الأحد, مسيحي, المسيحي, Sunday, Christian",2,M515x508S11a12485x493
ذكي,"زكي, clever, smart",32,M543x518S1e610520x484S30c00482x483S21e00518x472
أب,"بابا, father, dad",39,M520x536S20500495x508S18010490x521S2ff00482x483
يوم,"اليوم, day",16,M519x512S18210496x497S18218482x488
مظاهرة,"مظاهرات, protest, demonstration",68,M550x518S34900482x483S20310529x496S20318455x495S26a00523x474S26a10450x472
بواب,doorman,27,M529x593S31510482x483S11501504x502S15a59499x567S15a51501x570S20600476x570S22b04503x526
مصر,"مصري, Egypt, Egyptian",73,M548x524S15a11505x482S15a19472x482S20500495x476S22b13452x500S22b05524x500
مهندس,"مهندسين, المهندسين, engineer, Mohandiseen",88,M528x608S1ce40506x563S1ce48478x578S2da06506x529S2da1e481x543S2f800482x520S31500482x483
موجود,"present, existent",57,M520x518S15a50508x482S23004480x500
فيس,"فيسبوك, الفيس, فيس بوك, Facebook",37,M540x534S34400482x483S15a10505x507S15a18483x507S26c07520x514S26c01463x512
عيلة,"عائلة, أسرة, family",65,M528x522S14c0a473x478S14c02497x481S20700493x507
بنت,"مؤنث, مؤنّث, girl, feminine marker",38,M518x538S33b00482x483S10a10496x512S26a02466x507S21100481x517
الجمعة,"يوم الجمعة, Friday",9,M540x529S36a00482x477S1ec00517x510S20500495x515
صاحب,"صديق, friend",66,M515x523S16d09495x503S16f21486x498S20a00495x477
جنينة,"حديقة, garden",86,M540x535S10000507x491S10008479x505S23600501x465S23614460x482
ألمانيا,Germany,20,M521x528S36d00479x472S1ed10472x485S23204480x508S20500463x489S37a00477x472
غمرة,Ghamra,95,M549x518S2ff00482x483S1ef10520x486S2e002529x439
جد,"جدة, grandparent, grandfather, grandmother",41,M518x531S2ff00482x483S20300493x516S20500496x512
حلوان,Helwan,90,M541x519S14c02510x484S19c02460x481S20500528x508S26502493x488S20500476x508
هولاندا,Holland,18,M532x540S16d40508x460S16d48474x485S22b04510x485S22b14475x510S22102525x489S22106469x514
بيت,"home, house",74,M519x514S15a18482x487S20310504x498S20500494x498
عسل,honey,55,M558x565S15a07521x526S19210537x533S34400482x483S22b00493x521S22a03523x551S20e00536x552
جوز,"جوزة, زوج, زوجة, husband, wife",67,M526x527S1f502476x503S15d02499x474S26503487x494S22104499x500S20700474x480
فيه,"في , هناك, there is, in",24,M517x519S1ea10494x481S22e03483x500
يعني,"معنى, meaning, in other words",58,M554x526S11522519x469S2ef00532x488S10e02524x511S2ff00482x483S20500495x482
نت,"انترنت, الشبكة العنكبوتية, internet",36,M529x530S14c50505x499S14c58472x499S20500495x511S2fb00509x493S2fb00477x492S22130484x479S22130484x471
إيران,"ايران, اسد, أسد, Iran, lion",56,M527x541S15050501x471S15058474x496S26604509x511S26610479x459
يابان,"ياباني, Japanese, Japan",13,M557x518S26506542x475S10002513x496S21100527x476S31900482x483
ملك,"ملكوت, king, kingdom",12,M533x518S30000482x483S14c20510x454S20500495x466
قانون,law,48,M520x520S15a00493x481S10011499x490S20500481x483S20500481x499
اتعلم,"تعلم, learn",78,M548x533S34400482x483S15a20507x501S26a00521x506S20e00529x521
نور,"ضوء, light",45,M573x518S20311552x453S32107482x483S22100556x482S22a03547x470S14c13528x487
مطرية,Matareya,92,M521x545S15a1f479x519S19d10492x516S15a17498x465S19d18479x462S20500496x455S20500493x509
مترو,"قطر المترو, Metro, Metro train",83,M521x547S20341496x458S2eb00479x454S11030487x519S26600505x517
ميكروباص,"سرفيس, microbus",81,M520x545S1f502490x506S15a16483x478S15d02481x456S15a16485x533S20500510x467S20500507x518
أم,"ماما, mother, mom",40,M523x535S34400482x483S10010492x505S20500513x514
الاتنين,"يوم الاتنين, الاثنين, يوم الاثنين, Monday",3,M518x518S2ff00482x483S15a10494x486
شهر,month,43,M513x519S1ed10487x482S22a03488x505
مسلم,Muslim,11,M525x517S1ed10499x483S23003476x492
مدينة ناصر,Nasr City,102,M525x591S31200482x483S11510498x494S10e01500x531S10e18488x561S28904492x545S20700468x554
ناصر,"عبد الناصر, Nasser",97,M518x528S31400482x483S11800496x501
مصر الجديدة,"مصر جديدة, New Cairo",101,M532x527S1ed40506x508S1ed48469x508S26b20487x473S2fb00492x495
قديم,"عجوز, old",42,M518x588S32104482x483S11800496x500S2f800480x577S24904491x528
مصر قديمة,"مصر القديمة, Old Cairo",100,M522x554S36a00482x477S11502492x528S20500495x515S26c00479x539
الزيتون,"زيتون, olive, Zaytoun",85,M524x537S34600482x483S1ef10494x501S26c00497x522
أوبرا,"اوبرا, Opera",79,M518x561S34900482x483S20300495x526S2ea32490x546
عرابي,Orabi,89,M518x518S1dc10464x482S33100482x483S20500487x499S20500503x499
شخص,person,21,M510x532S1ed46491x469S22b04491x502
مكان,place,59,M527x526S1f522505x474S20312512x511S37906473x514S20500508x499
بوليس,"شرطة, police",26,M521x546S11501456x486S36d00479x483S37903477x507S26c02454x455S21100469x461
بوليس,"شرطة, police",52,M520x549S1a000464x520S31500482x483S26606490x531
قسيس,priest,28,M523x543S30004482x483S14c02481x520S20500513x514
قسيس,priest,29,M530x556S36a00482x477S1ef10501x515S1ef18470x515S26506505x534S26512481x534S2fb04493x550
قناطر,"تقديف, تجديف, Qanater, rowing",91,M521x531S20350504x470S20350480x470S2ec00506x490S2ec10483x491
رمضان,Ramadan,87,M514x521S20300494x506S15a12487x480S20600490x493
رمسيس,Ramses,98,M517x527S14412483x493S20500501x516S26a00490x473
سعد زغلول,Saad Zaghloul,99,M518x518S2ff00482x483S16d40492x459S22f00488x440
السادات,"سادات, Sadat",96,M523x521S31200482x483S10a00508x495
ملح,salt,53,M518x550S35904482x483S10000488x513S1eb10444x531S21100429x528S26502471x532
السبت,"سبت, يوم السبت, Saturday",1,M541x552S10011520x501S30006482x483S22a04508x537S21100508x521
سيدة زينب,Sayyeda Zeinab,84,M520x525S20300497x510S15a12493x495S2e706492x475S21100481x483
مدرسة,school,76,M524x529S15a39495x494S19200503x510S26a01476x471S21100490x485
شبرا,Shubra,80,M534x524S15a51511x501S26601488x477S22e04466x477
اشارة,"إشارة, لغة الإشارة, لغة الاشارة, sign, sign language",72,M524x541S14c40500x459S14c48476x472S2eb00507x496S2eb4c482x509
ذنب,"ذنوب, sin",35,M533x525S20e00493x500S11002506x490S26a01477x484S20302511x510S21e01468x476
بطيء,"بشويش, ببطء, slow, slowly",49,M521x531S15750503x470S15758480x470S22f24489x517S2f804482x503
صغير,small,51,M518x537S1eb1e495x513S2ff00482x483
الاتحاد السوفيتي,"سوفيتي, USSR, Soviet",17,M524x518S16d18484x483S10021494x497S20500477x507S20500491x507
شمس,sun,44,M567x533S1ed10541x463S1ed40522x514S32107482x483S22b03537x486
نظام,system,47,M520x515S15a00492x486S18210497x492S20500480x491S20500480x504
تحرير,"التحرير, Tahrir",60,M547x522S10027508x492S1002f474x492S20500497x507S22f07526x479S22f11453x481
دبابة,tank,63,M521x524S15a37490x477S1c651496x489S26601479x495S21100480x510
مدرس,"مدرّس, استاز, أستاذ, استاذ, teacher, teach, درّس",77,M530x523S10011471x477S10019509x478S37600488x500S20600489x481
طحينة,tehina,64,M554x576S34400482x483S15a07516x524S10011533x531S22a03520x556S20e00532x564S22b00492x522
امتحان,"اختبار, تجربة, test, temptation",111,M530x583S1f502510x535S2fd00487x577S34200482x483S23108504x562S23118470x547S1f502476x522
أرهب,terrorism,33,M536x523S15041464x477S15049508x477S20500494x477S37600488x500
الخميس,"يوم الخميس, Thursday",8,M549x518S33200482x483S1ed00523x493
بكره,"بكرة, غدا, الغد, tomorrow",109,M521x515S10030506x485S2a200479x487
حاول,try,108,M531x540S20301507x492S20301473x495S37801522x506S37809470x508S2ea32505x469S2ea46471x469S2fb00492x460
التلات,"يوم التلات, الثلاثاء, يوم الثلاثاء, Tuesday",4,M515x519S20500503x508S12432485x482
جامعة,university,75,M514x520S15a1a487x481S15516487x505S20500494x494
فيروس,virus,22,M532x542S15a37468x495S10051482x521S20500468x520S27308515x496S10e20517x458
مياه,"ميه, مية, ماء, water",54,M543x527S34400482x483S1e700517x506S21d00522x495
ضعيف,weak,50,M518x579S31b00482x483S10610490x512S24d04486x544
الاربع,"يوم الاربع, الأربعاء, يوم الأربعاء, Wednesday",5,M525x529S15a30481x502S15a30508x502S22120476x489S22120503x489S2f800482x471
اسبوع,week,46,M525x523S37a07475x496S10002488x508S26606495x478S21100480x480
مع,with,107,M521x513S18516479x488S1851e506x488S20500495x495
كلمة,word,31,M518x543S33b00482x483S10000486x513S20500506x517
دودة,worm,23,M508x519S10640493x493S21900493x482
سنة,"سنوات, سنين, عام, أعوام, year, years",15,M522x534S36100482x483S10a00507x508
امبارح,"أمس, yesterday",110,M542x527S1f510526x492S26504528x512S2ff00482x483
الزمالك,"زمالك, Zamalek",61,M518x523S30300482x477S32410491x496S16d10501x490
