canonical_gloss,synonyms,sid,FSW
g,"zz, xxk, jn, cdc, nnj, vcx, cc",2,M513x525S18205488x485S22104497x474S26514491x510
أحمر,,10,M532x553S2ff00482x482S21100494x502S10012502x522S26506492x527S26512487x539
اسلام,,16,M537x527S1f558463x475S1f550513x474S2eb00493x477S2fd00484x521
اسلام,,17,M538x530S14e21487x470S14e32462x504S2ef00520x476
اسلام,,18,M522x526S15a18478x474S15041494x481S26c00478x511
الأردرن,,19,M586x671S2ff00508x475S12910546x477S2ed00543x499S10001412x641S10007536x537S1000f556x538S20500557x552S33500415x457S33a50474x478S33600416x508S33950473x532S36e00413x563S36e03413x581S36f00532x575S36f00531x593
قبعة طاقية غطاء الراس,القبعة الطاغية  غطاء راس,4,M528x518S2ff00482x483S16d40510x462S16d48472x462S22b00512x427S22b10472x427S30a00482x483
اليابان,,26,M558x570S33100482x483S11501495x500S1ea51530x528S1ea48506x549S20600530x552
انتبه الي انظر إلي,,3,M581x560S2ff00482x482S10e31531x507S10e39441x507S26a01560x538S26a17420x539
بلسم,,9,M540x532S27107513x506S15a31460x468S10e51482x468
بلسم,,12,M540x527S15000511x496S15008469x496S21a01514x473S21a09461x472
ربى,,6,
ربى,,7,
ربى,,8,
زعلان,,15,M518x565S1f502493x522S22a04495x550S21100484x493S33100482x483
صدقة,مال يعطى للفقراء,65,M516x516S15a48484x489S17740496x498S20500498x485
ط,,5,M511x515S10510489x485
قبل هذا بداية,,1,M513x525S18205488x485S22104497x474S26504491x510
نادي الاردني للصم,,11,M541x588S1ec10518x467S1ec18467x468S33e00486x422S20500499x425S1c910477x412S26c02493x494S33b00478x543S11510524x558S20500491x573S2880c515x554
يوم الاثنين  الاثنين,,25,M544x534S33100482x483S18202523x489S21100531x500S22a04523x519
