canonical_gloss,synonyms,sid,FSW
один,1,7,M507x515S10000492x485
десять,10,40,M524x512S17618476x491S17610508x491S20602495x488
одиннадцать,11,81,M509x521S10000491x491S21b00501x479
два,2,8,M507x515S10e00492x485
два,2,23,M511x515S1dc01488x485
три,3,9,M511x515S11e00488x485
три,3,24,M512x515S11e01487x485
четыре,4,10,M511x515S14400489x484
пять,5,11,M511x515S14c00488x484
шесть,6,41,M533x518S14c28471x487S20500466x506S26503501x492S1f502518x482
семь,7,42,M534x517S20500465x506S14c28471x485S1de01513x484S26503500x494
8,"восемь, eight",236,M527x525S14c28479x494S20500473x513S11e01502x484S26503493x476
9,"девять, nine",237,M535x516S14c28473x485S14401507x487S20500466x503S26503495x485
автобус,a bas,244,M538x530S15418480x505S2fb06522x474S26702495x485S26712462x470S15440523x503
август,August,259,M512x525S20320493x510S2e500489x476
хлеб,bread,258,M533x520S15d39467x497S15d40514x483S20500470x486S20500491x509S2880b485x481
дела,business,254,M567x560S14c50508x460S14c58459x461S22520455x443S22520503x441S28b0e518x514S28b1e434x518S28b06523x494S28b06523x535S28b16439x499S28b16434x540S2fb04491x530
дела,business,255,M526x526S14c50481x495S26700510x476S22520474x475
февраль,February,256,M521x520S18210498x485S27102479x480
забыть,forget,245,M556x518S30000482x483S15d02489x456S1f502541x453S26606513x474
свобода,freedom,252,M572x525S1ce00501x491S1ce08475x493S2d608522x493S1ce28428x495S2d600448x491S1ce20550x494S2fb00490x475
дедушка,"дед, grand-father",240,M543x563S14404490x532S30004482x483S20500495x520S22624517x547
как,how,262,M515x515S11510500x485S21b00485x506
mama,,2,M522x537S2ff00482x482S15a10510x510S20500479x512S26502491x518
математика,Math,249,M564x540S14c51504x492S14c59468x492S26f01534x481S26f17436x479S2fb04490x534S22520453x460S22520513x461S20e00493x475
нужно,need,253,M565x542S1a530435x459S1a538544x458S22c03528x492S22c15455x496S2fb04495x536
октябрь,October,261,M521x515S1ce10499x485S21d00479x493
всегда,olvais,238,M526x538S30005482x483S10e00511x508S20500504x493S20500494x501
терпеть,"терпение, patience",250,M530x527S36d00479x474S14c10491x473S26704514x485S21100507x503
бесплатно,price free,239,M525x524S15a37476x491S15a51502x479S20e00480x476S26c07495x506
Ronald,Роланд,351,
russia,,113,M519x525S11541495x496S11549481x498S20600487x475
сентябрь,September,260,M512x528S16d10492x508S2e500489x473
спорт,sport,247,M593x527S36d00479x474S1f800512x481S1f808472x481S25b00534x484S25b10453x483S25704555x484S25714435x482S25b00577x483S25b10417x485
прятать,"спрятать, to hide",246,M522x534S18530478x496S18550491x519S2b700503x483S18530485x466S20500480x482
ждать,to wait,243,M562x521S14c10491x482S36d00479x480S26604528x491S21100519x494S26604546x491
хотеть,"хочу, to want",242,M521x518S36d00479x483S18211483x492S20500466x506S20500452x507
Работа,"работать, to work",241,M521x523S13f11477x486S20e00464x485S26a04494x509S36d00479x478
зачем?,why?,251,M550x519S36d00479x482S14c51523x483S2ad03494x496S21100510x501S2ad03468x496S2ad03481x496
Ё,,324,M516x522S17610485x506S2e230497x478
А,,318,M509x508S1f840491x493
Б,,319,M508x516S11710493x484
В,,320,M506x514S15a10494x487
Г,,321,M515x512S1dc03485x489
Д,,322,M510x525S11550495x495S2f100490x475
Е,,323,M508x508S17610492x492
Ж,,325,M513x508S18510488x493
З,,326,M512x517S10010488x487S22232507x483
И,,327,M511x513S1b110490x487
Й,,328,M519x518S1b100482x492S2a204496x482
К,,329,M508x526S11510492x496S26900492x475
Л,,330,M508x515S10e04493x485
М,,331,M509x515S18604491x485
директор,Минск,53,M540x525S36d10479x476S10e04525x492S20610487x514
Москва,,360,M562x522S30005482x483S20600518x508S1f810544x507
Н,,332,M511x514S1a520490x486
О,,333,M511x515S1ce10489x485
П,,334,M508x515S11504493x485
Программный язык,,263,M554x565S15d20387x502S18010421x505S20612408x506S22b04421x515S30004482x483S20500497x522S10b08500x539S10e10539x534S22a06523x550
Р,,335,M511x514S1bb10490x486
Россия,русский,31,M540x537S30004482x483S10012489x522S26506525x522
С,,336,M509x510S16d10492x490
Т,,337,M508x515S18c04493x485
У,,338,M514x510S19a20486x490
Ф,,339,M512x510S18310488x491
Х,,340,M508x513S10a10493x487
Ц,,341,M508x524S11500493x494S22a04494x476
Ч,,342,M515x508S13f10486x493
Ш,,343,M508x515S18c00493x485
Щ,,344,M508x524S18c00493x494S22a04494x476
Ъ,,345,M520x518S1dc40496x488S2a200480x482
Ы,,346,M510x515S1a020490x486
Ь,,347,M520x518S1dc50480x488S2a208497x482
Э,,349,M513x510S1ed10487x491
Ю,,348,M512x511S19610489x490
Я,,350,M514x513S11a51487x487
аборт,,352,M532x529S15d48469x489S14e52501x471S2390c493x499
авария,,353,M533x519S20300477x482S20300509x482S22b16468x503S22b02503x503S20500496x484
авиация,,357,M539x541S1a051487x460S14c50462x510S26a03477x481S2d808493x517
автомат,автоматический,410,M534x529S14e02503x471S14e0a466x471S28904515x500S2891c468x500
автомобиль,"вождение, за рулем, водить, на машине, машина, на автомобиле",3,M539x527S20301505x473S20303474x474S23607510x497S23615460x496
автомобиль,,369,M528x533S1ce50506x503S1ce58472x503S26600507x467S26610477x467
адвокат,,411,M527x516S26620492x485S1f828474x501S1f820509x501
администрация,,412,M565x519S10e04550x489S36d00479x482S36d00479x512S20600523x498
адрес,,413,M530x528S15d5a503x509S37806472x514S15d04474x473S26606499x483S20500470x496
батарея,аккумулятор,458,M518x550S30004482x483S1a000490x521S20500495x520
аккуратный,аккуратность,414,M541x544S1e102494x519S33b00482x483S20e00522x512S22a04528x529
алкоголь,алкогольный,415,M542x536S10600514x510S30005482x483S20600520x494
альбом,,374,M526x531S2a300500x495S15d30507x469S15d38474x469
аминь,,416,M526x523S15d39475x478S11551499x498S20500485x501
анализ,анализировать,417,M531x521S11052504x480S1105a469x480S23524483x503
ангел,,418,M531x527S11501470x476S37803489x497S3780b482x497S11509506x476S20600490x473
антенна,,419,M529x535S2e100506x496S15020504x465S15d0a472x509S20800500x525
апельсин,,420,M528x519S20300486x504S16f02473x481S23004503x486
апрель,,421,M509x527S1f820491x473S11504493x497
аптека,,422,M521x515S10002480x500S36d00479x485S22f04453x489
арбуз,,423,M531x515S15a18469x486S1bb02503x494S21d02493x493
аренда,арендовывать,429,M514x543S14c39488x516S20351487x458S22a04492x485S20500491x505
