canonical_gloss,synonyms,sid,FSW
coït,"مضاجعة, 	 	 جماع",2290,M528x558S10050510x442S10042485x526S22e00511x476S17658472x519S21300472x542S26502497x544
accabler,"assiéger, arrêter,  condamner,  condamner, opprimer",3575,M562x581S36a00482x477S1ec0e495x558S20500496x514S1ec06492x524S2d600511x533S2d618467x568S1ec26543x525S1ec2e445x556S20500500x548S30c30489x484
déconnecter,"avoir un trou,  ne plus se rappeler, perdre le fil de sa pensée",2054,M530x517S22e00513x497S17644471x483S10a50481x491
Biélorussie,,2162,M518x533S10041497x482S10049482x481S20500494x468S2e856484x517
devenir,"évoluer, évolution,  changement, changer, muter, transformer",2392,M522x538S36d00479x463S14c09476x481S14c21458x485S2df26492x514S26626492x498S21100475x512
dispute,"disputer, bagarre, révolution, عراك , ثورة, crise",676,M533x530S15039505x503S15051503x471S2eb02467x483S2eb46466x500
libérer,"délivrer, débarrasser, débloquer,  délier, détacher, relâcher,  émanciper",3576,M562x581S36a00482x477S1ec0e495x558S20500496x514S1ec06492x524S2d608511x533S2d610467x568S1ec26543x525S1ec2e445x556S20500500x548S30a30489x484
en cachette,,1631,M576x564S2ff33479x483S14720520x523S14708540x523S37c00574x479S37c00574x503S37c00574x525S37c00574x546S20600527x553
récemment,il n'y a pas longtemps,2728,M553x551S36d00479x531S18000523x524S20600509x540S30106484x477
militant,"militer, défense, défendre, se-battre-pour, plaidoyer",4341,M534x572S15d08479x536S20c00506x533S34800482x483S30c00482x483S2ea34510x547S20340491x553
mois (pluriel),,1872,M538x521S1ed10463x484S27000498x479S26606505x505
s'émanciper,"s'affirmer,  ne pas se laisser faire, relever la tête, s'indigner",3014,M530x518S30007482x483S30001482x483S11900511x464S22100472x452S20500520x491S20500471x494S22100510x452S11908466x465
contredire,rétorquer,2049,M555x535S1ec27521x509S2b700520x474S2b705541x473S33b00482x483
céder,"se laisser faire, se laisser convaincre",3601,M537x588S36d00479x522S35a04482x483S18050507x547S18058468x547S22b04507x558S22b14482x558
validation,"homologation, approuver, certification, موافقة, صادق على, سريان مفعول, وافق, أجاز, فاعلية",1409,M530x522S15d48471x481S11e40495x478S26502515x496S20500489x511
É,é,3078,M523x546S34700482x483S14a20508x531
habiller quelqu'un,"vêtir,  ألبس",1170,M537x528S1ea40514x472S1ea48463x472S22a04524x502S22a14464x503S2f900524x521S2f900465x523
ت,,4403,M508x515S11520493x485
تَوَّابًا,,949,M587x588S2ff00428x483S36d00427x529S17f10453x557S21100455x541S22f06475x535S2ff00538x482S15a38550x561S15d13564x555S21100553x538S26500562x523
ث,,4404,M508x515S18c20493x485
peau,"race,  عرق, عنصر, جلد, بشرة",502,M529x520S2ff00482x482S1ea10503x499S20800519x490
point d'exclamation,!,1658,S38812494x470
citation,"""",1657,M543x518S30a00482x483S35010495x508S11020524x465S11028457x465S21800522x452S21800460x452
(,"(parenthèses), (ponctuation)",1354,S38b00470x493
(avoir-son) visa,,1536,M524x516S15a06476x486S15a20480x485S26506509x502S21100508x485
heurter,(deux personnes qui se heurtent)),1359,M518x596S10018489x536S10010499x529S26600501x566S20b00494x527S34600482x483
:,"(deux points), (ponctuation)",1353,S38a00464x490
cinq minutes,"(indiquant l'heure), 5 minutes, 5 mn",1288,M535x522S22e06489x493S10020465x479S2f900518x517S10027514x481
dix minutes,"(indiquant l'heure), 10 minutes, 10 mn",1289,M536x521S10e20465x479S22e06487x493S2f900517x516S10e27511x480
et quart,"15 minutes, (indiquant l'heure), quinze minutes, 15 mn",1290,M533x516S11e20468x484S22e06498x499S2f900522x506
vingt minutes,"20 minutes, (indiquant l'heure), 20 mn",1291,M523x517S14420477x484S22e06505x500
vingt-cinq minutes,"25 minutes, 25 mn, (indiquant l'heure)",1292,M534x516S14c20467x485S22e06498x499S2f900523x505
demie,"30 minutes, et demie, trente minutes, (indiquant l'heure), 30 mn",1293,M508x544S10000492x456S10004493x514S22a04494x493
35 minutes,"(indiquant l'heure), trente cinq minutes, 35 mn",1294,M528x531S1dc20504x470S14c28473x469S2892e473x516
quarante minutes,"(indiquant l'heure), 40 mn, moins vingt",1295,M511x535S14400489x465S26504495x507S2f900496x530
moins le quart,"45 mn, 45 minutes, (indiquant l'heure), quarante cinq minutes",1296,M512x532S11e00489x468S26504490x504S2f900492x527
50 minutes,"moins dix, cinquante minutes, (indiquant l'heure), 50 mn",1297,M509x548S10e00494x452S11900492x512S2f900496x543S26504495x490
moins cinq,"55 mn, 55 minutes, (indiquant l'heure), cinquante cinq minutes",1298,M509x549S10000493x452S26504494x489S10c00492x513S2f900495x544
12h,"00h, midi, minuit, (indiquant l'heure)",1299,M508x521S11a20493x479S2f900495x516
midi,"12h, (indiquant l'heure)",1300,M536x553S11a20495x447S2f900497x484S15a02495x536S15a06485x541S20500496x522S28909509x506S28911465x505
00h,"minuit, l'heure zéro, (indiquant l'heure), 24h",1301,M533x554S11a20495x446S2f900497x483S15a02493x537S15a06480x542S28903508x505S2891b467x504S20500496x522
1h,"(indiquant l'heure), une heure, 1 heure, 13h, 13 heures, treize heures",1302,M508x539S10000492x461S27102493x499
2 heures,"deux heures, 2h, (indiquant l'heure), 14 heures, quatorze heures, 14h",1303,M508x538S10e00492x462S27102493x498
3h,"trois heures, 3 heures, (indiquant l'heure), 15h, quize heures, 15 heures",1304,M512x539S11e00489x462S27102490x499
4h,"4 heures, quatre heures, (indiquant l'heure), 16h, 16 heures, seize heures",1305,M511x539S14400489x462S27102496x499
5h,"cinq heures, (indiquant l'heure), 17h, 5 heures, dix-sept heures, 17 heures",1306,M512x540S14c00489x461S27102494x500
