canonical_gloss,synonyms,sid,FSW
dollar,$,782,M511x532S11020490x468S29904497x500
0 (number),,3588,M515x513S1eb20491x494S22214486x488
un,"1, liste: chiffres",136,M508x515S10000493x485
dix,"10, liste: chiffres",3184,M514x519S1ee20488x497S22104486x482
cent,"100, liste: chiffres",2015,M526x515S16d20474x485S26606496x488S2f700503x508
11,"onze, liste: chiffres",400,M518x589S30004482x483S20e00494x521S22e00492x536S10054492x559
11,onze,402,M509x528S10054493x498S22e00492x473
cent dix,"110, liste: chiffres",3185,M541x511S1ee20459x489S26506491x496S1f420512x496
douze,"12, liste: chiffres",741,M518x587S30004482x483S20e00494x521S22e00492x536S10e54492x557
douze,12,742,M509x527S10e54493x497S22e00492x473
cent vingt,"120, liste: chiffres",1045,M554x509S12b20447x493S26606484x493S13f20525x492
13,"treize, liste: chiffres",990,M518x572S30004482x483S11e54493x542S20e00494x523S22e00471x537
13,treize,991,M513x527S11e54490x497S22e00488x474
treize,"13, liste: chiffres",2457,M518x589S30004482x483S20e00494x521S22e00492x537S18654492x559
treize,"13, liste: chiffres",2458,M509x526S18654491x496S22e00491x474
cent trente,"130, liste: chiffres",2016,M538x510S16d20463x490S26606485x493S17620522x494
quatorze,"14, liste: chiffres",1156,M518x591S30004482x483S20e00493x521S22e00490x537S14454484x560
quatorze,14,1157,M512x527S14454489x496S22e00495x473
cent quarante,"140, liste: chiffres",2619,M537x516S1c020463x485S26606486x499S22104525x498
quart,"quinze, 15, liste: chiffres",2661,M515x527S1c520485x474S25504497x505
cent cinquante,"150, liste: chiffres",2747,M549x515S1d120452x487S1d420520x485S26606485x497
seize,"16, liste: chiffres",3227,M573x515S1f502524x488S14c09461x485S2d200547x491S2d210428x492
seize,"16, liste: chiffres",3341,M541x550S30004482x483S1f512492x531S21404493x520S14c19440x521S2c300515x527S2c311403x527S20e00513x514
seize,"16, liste: chiffres",3342,M569x513S2c311431x488S1f512520x492S2c300543x488S14c1a464x490
cent soixante,"160, liste: chiffres",2038,M545x517S16d40456x492S26606478x493S1f901511x496S22503533x484
dix-sept,"17, liste: chiffres",2929,M575x513S1dc12510x487S14c1a460x490S2c300549x489S2c311425x488
dix-sept,"17, liste: chiffres",2930,M563x552S1dc12498x526S14c1a448x529S2c300537x528S2c311413x527S30004482x483S20e00493x521
cent septante,170,3196,M550x514S1ef40451x499S1f430521x499S26606486x497S22114513x486
dix-huit,"18, liste: chiffres",946,M567x517S11e01511x484S14c09466x487S2d211434x494S2d200541x492
18,dix-huit,988,M548x562S30004482x483S11e12483x539S20e00494x523S14c1a437x538S2c300522x538S2c311403x536
18,dix-huit,989,M573x513S2c311428x487S11e12508x490S2c300547x489S14c1a462x489
cent quatre-vingts,180,1018,M540x521S12840460x496S26506494x507S12930516x498S22504516x479
dix-neuf,19,1129,M573x515S14c09462x488S14401509x486S2d200547x492S2d211428x492
dix-neuf,19,1154,M558x565S30004482x483S20e00494x520S14412493x534S14c19445x536S2c300532x532S2c311412x542
dix-neuf,"19, liste: chiffres",2461,M578x514S19001518x486S14c09458x486S2d200552x490S2d210423x491
dix-neuf,"19, liste: chiffres",2463,M564x562S30004482x483S19052499x534S20e00495x520S14c19447x532S2c300538x530S2c310413x539
dix-neuf,"19, liste: chiffres",2464,M572x514S14c5a462x490S19052507x491S2c300546x487S2c310429x490
cent nonante,190,2037,M542x515S16d40459x495S26606481x496S14b30519x496S22114507x485
deux,2,544,M508x515S10e00493x485
à dix heures,"à vingt-deux heures, quoi, vingt, à 10h, à 22h, 20",556,M515x522S1ee20489x500S22504486x479
vingt,20,1093,M516x514S13d20487x499S22104485x487
deux cents,200,754,M510x529S11000491x472S2df0e490x505
deux mille,2000,563,M542x515S15d18458x488S20500480x500S26902497x498S10e00527x485
trois,3,943,M512x515S11e00489x485
trois,3,944,M509x515S18600491x485
3,,3583,M509x515S18700491x486
trente,30,1034,M512x520S12820489x496S22104488x480
trente,30,1120,M514x519S13c20490x489S22504487x481
trente,30,2013,M523x510S16d20506x490S22114477x495
trois cents,300,992,M512x529S12100488x471S2df0e488x505
trois cents,300,993,M511x530S18b00489x471S2df0e491x506
trois mille,3000,564,M546x515S15d18454x487S20500476x499S26902493x497S11e00523x485
trois mille,3000,565,M544x515S15d18457x487S20500479x499S26902496x497S18600526x485
quatre,4,1121,M511x516S14400489x485
quarante,"40, liste: chiffres",2617,M516x516S1be20493x486S22504484x485
quatre cents,400,1158,M513x531S14500487x469S2df0e493x507
quatre mille,4000,566,M546x516S15d18455x489S20500477x501S26902494x499S14400524x484
cinq,5,1278,M512x516S14c00489x485
cinquante,"50, liste: chiffres",2806,M515x515S1d420486x487S22504485x485
cinq cents,500,1491,M513x530S14e00488x471S2df0e492x506
cinq mille,5000,567,M546x516S15d18454x489S20500476x501S26902493x499S14c00523x484
six,"6, liste: chiffres",3236,M554x519S1f501532x485S22a03522x504S22a15471x505S14c0f447x481
6,,3584,M519x519S1f501481x497S22f03498x481
Bic,"briquet, Corse (France), soixante, stylo, 60",3358,M508x521S1f902493x498S22504493x480
six cents,"600, liste: chiffres",3237,M539x532S1f501517x478S14e08462x469S26516469x511S2df0e519x508
six cents,"600, liste: chiffres",3238,M539x532S1f501517x478S14e08462x469S2df0e519x508S2df16463x507
7,,3585,M520x519S1dc01481x489S22f03499x481
sept cents,"700, liste: chiffres",2936,M538x531S14e08463x470S1e100514x475S26516469x509S2df0e513x507
sept cents,"700, liste: chiffres",2937,M538x531S14e08463x470S1e100514x475S2df0e513x507S2df16463x506
huit,8,945,M535x521S11e01510x479S14c09465x479S22a03503x507S22a15484x506
huit,8,1008,M512x522S12420489x492S22504500x479
8,,3586,M522x520S11e01479x490S22f03501x481
quatre-vingts,80,1039,M512x522S12830489x498S22504488x479
huit cents,800,994,M537x533S12100513x473S14e08465x468S2df0e512x509S2df16464x508
huit cents,800,995,M536x532S12100512x472S14e08464x468S26516472x510S2df0e510x508
neuf,9,1127,M540x521S14c09460x482S14401512x480S22a05484x507S22a13501x506
neuf,9,1128,M538x521S14c09463x482S14401510x480S22a03498x507S22a15481x507
neuf,"9, liste: chiffres",2460,M543x521S19001518x480S14c09458x480S22a03509x507S22a15482x506
9,,3587,M522x519S18e01479x493S22f03501x481
nonante,90,1267,M512x517S14b30489x502S22504490x483
neuf cents,"900, liste: chiffres",1159,M534x531S14500508x469S2df0e514x507S14e08466x469S26516474x509
neuf cents,900,1160,M534x531S14500508x469S2df0e514x507S14e08466x469S2df16467x507
neuf cents,900,1161,M535x531S2df16467x507S2df0e514x507S14e08466x469S19000512x470
neuf cents,900,1162,M534x531S26516474x509S2df0e514x507S14e08466x469S19000511x470
A,liste: dactylologie,3269,M512x508S1f520488x493
A,liste: dactylologie,3296,M508x512S1f540493x488
A,,3563,M510x508S1f720490x493
Aarschot (ville),,320,M509x535S10040491x480S26504491x520S21600501x465
abaisse-langue,,3076,M545x518S34400482x483S35a04482x483S1ea4c522x494
abandonner,,2124,M551x522S17620476x479S17620535x479S25503515x493S25513457x493S21b00450x514S21b00509x514
abandonner,démissionner,2157,M539x523S17650523x477S17658461x477S22a04524x496S22a14462x496S21b00526x515S21b00464x515
abattoir,"boucher, chandeleur",3407,M523x518S30000482x483S20310492x444S26504492x465S20b00510x471
abattoir,boucher,3408,M533x518S30000482x483S20310493x450S20e00494x468S2df04512x458
abcès (corps),,1641,M540x594S37a06461x577S14c5a509x566S15351491x547S21600488x565S20500486x583S30c00482x483S34200482x483
abcès (dent),,1633,M537x531S30005482x483S15310522x506S21600509x518S30c00482x483S34200482x483
abeille,miel,2690,M529x531S1c512477x470S15d1a472x512S20e00487x504S2e508506x484
abonnement,,1951,M529x524S36d00479x477S16d02477x491S20500483x513S26b00502x492
abonnement,licence (informatique),2043,M530x522S16d40509x481S15d48470x478S20e00492x486S22f04505x508
aboyer,,1504,M531x532S14e04470x469S14e08470x501S26b00504x475S26b10503x514
abricot,Roi Albert II,996,M600x518S12102573x486S11002520x494S30006482x483S26502552x495
abricot,,1011,M555x554S30006482x483S12720539x479S21100522x494S26504539x516S13f20526x539
abréger,"bref, court, résume, synthèse",864,M541x516S11540526x486S11548459x485S26502506x501S26516479x501
abréger,contraction,1582,M555x513S15410540x487S15448446x488S28432504x491S28416467x489
absent,manquer,1285,M523x542S15d0a478x499S14c00487x458S20e00492x492S18530483x527S22a04510x499
absorber,,1389,M551x576S32c00482x483S36d00479x522S14c20528x504S14c28450x502S26503520x544S26515467x544S20320502x561S20328483x561S20500505x547S20500486x547
abîmer,,3528,M520x524S20338486x502S20350493x495S20e00505x512S26f00480x476
abîmer,,3544,M526x548S20350502x488S20358484x488S20500496x475S2e856486x453S2a308503x512S2a310475x511
académie,,1994,M539x518S30000482x483S16d10505x468S16d18475x466S26500525x468S26514457x471S21600529x453S21600460x488
accent,voix,134,M527x551S36a00482x477S10000486x521S20600505x525
accent,"voie, voix",743,M537x539S36a00482x477S20e00494x523S10e54520x509S22e00520x488
accepter,,1307,M521x543S14c02480x467S26504496x492S20500497x512S20300495x528S36d00479x457
accepter,,1441,M537x551S36d00479x450S14c50508x460S14c58468x459S26504513x496S26514472x496S18551510x517S18559462x517S20500480x540S20500508x540
accessibilité,,2949,M531x567S36a00482x477S1e102501x515S1e10a473x515S2df08510x546S2df10468x546
accident,,1360,M552x517S14c10529x486S14c18448x486S23800508x483S20e00494x490S23818475x483
