canonical_gloss,synonyms,sid,FSW
TOUR EIFFEL,"liste: GEOGRAPHIE, liste: FRANCE, liste: MONUMENT, liste: PARIS, liste: DICO BILINGUE",9711,M544x526S10e11503x475S10e19474x476S25501525x505S25517456x507S20500496x474
tuer,"liste: POLICE, liste: JUSTICE, liste: DICO  BILINGUE, lexique SGBFSS",319,M521x530S36d00479x471S20311491x487S26603472x508
cerf,"liste: ANIMAUX, liste: FORET, EMM5, liste: ANIMAUX FORET, liste: DICO BILINGUE, liste: MAMMIFERES, JEU SIGNMATCH, lexique SGBFSS, JEU SignRadar 6",1659,M552x517S30001482x482S30007482x482S14c20515x469S14c28462x470S22a07539x470S20500485x472S20500507x471S22a11448x471
accélérer,"liste: VERBES, liste: VEHICULES, liste: DICO BILINGUE, lexique SGBFSS",6864,M567x531S22e04550x512S15d20524x504S37000480x470S37050468x470
perte du goût,"ageusie, COVID-19, liste: MEDICAL, liste: DICO  BILINGUE",9362,M561x635S17c30504x613S17c38481x613S18530536x580S18538445x581S20500514x512S10000486x508S33b00482x483S26607519x590S26611463x592
icone,liste: INFORMATIQUE,9695,M564x585S15d09522x559S2880c551x498S20500529x565S1f520540x570S21100526x502S21414502x575S15d09519x473S15d21532x478S21414512x497S10050462x443S10058444x443S24202460x415S2421a437x415
nom de famille,"liste: IDENTITE, liste: DICO BILINGUE, lexique SGBFSS, MEDSIGN-niv1-cours2, liste: MB1",8113,M530x580S14c51503x505S14c59475x505S18550503x562S18558476x562S20500496x569S2d612477x537S2d60a505x538S11541502x442S11549486x446S20600473x438S22f04471x420
locomotive,"liste: TRANSPORTS, PS à vérifier",5755,M540x527S10e41504x482S10e49474x482S20500497x472S20500497x498S26505527x514S26513461x512
environnement,"liste: NATURE, XXYZ",2883,M527x525S17648482x493S14c50503x494S21410474x479S2eb06493x474
costard,"liste: VETEMENTS, liste: HABITS, liste: DICO  BILINGUE, liste: FETE, lexique SGBFSS",9250,M536x584S36d00479x416S20342501x434S2034a482x434S26502521x435S26516457x435S36d00480x508S20500495x453S21100511x526S1e109483x554S20500502x573S22b00492x520S1e101487x544
cathéter,"liste: MEDICAL, PS à ajouter",4918,M531x565S1ed27497x434S15d59480x533S10c03503x513S26503483x517S21400479x560S21100469x529
nouveau,"nouvelle, neuf, neuve, liste: DICO  BILINGUE, lexique SGBFSS, CCSS",2632,M525x538S15d0a475x498S22b00499x491S20e00513x505S17630484x522S15200483x463
QUETTA,"VILLE DU PAKISTAN, code spectacle",6016,M528x510S1f050472x495S2f001507x490
progrès,"progressiste, liste: POLITIQUE, groupe: 21sep07",4085,M546x535S18240500x514S18248478x506S22b20494x465S2eb00531x503S2eb44454x502
rare,"rarement, liste MB quotidien",6456,M522x535S11a20507x465S27202479x476S37900511x495
suturer,"liste: MEDICAL, lexique SGBFSS, liste: DICO  BILINGUE",9435,M538x521S1da48463x492S1da41479x490S2e60d509x480
VALLORBE,"liste: GEOGRAPHIE, liste: SUISSE, liste: VAUD, liste: VILLE, liste: DICO  BILINGUE, lexique SGBFSS",8971,M515x542S15d21492x519S15d00489x459S24b08486x489
tard,"liste: TEMPS, EMM3",4605,M527x522S15a5a479x510S1c512473x478S26900511x488S20e00495x497
muqueuse,"liste: CORPS, PS à discuter",2987,M539x520S17f48461x490S17831480x480S21100481x506S27104499x495
comptoir,liste: EVENEMENTS,5612,M526x548S15d39487x517S15250506x452S20500502x537S18550500x526S25a04507x486S25a04491x485S25a04474x485
condition,"liste: DICO  BILINGUE, lexique SGBFSS, CCSS",9519,M522x529S15d28479x473S10012492x471S20612500x492
connaître,"connaitre, liste: VERBES, liste: DICO BILINGUE, lexique SGBFSS, liste MB VERBES",6698,M538x518S30007482x483S20600505x470S15d11515x482
EMMANUELLE LABORIT,"FMS30, liste: MONDE DES SOURDS, liste: PERSONNALITE, FMS81, liste: DICO BILINGUE, liste: FRANCE, liste: COMEDIEN/COMEDIENNE",5213,M512x551S20310493x520S14c20489x449S20500497x540S26600492x485
pommade,"liste: MEDECINE, liste: MEDICAL, liste: DICO  BILINGUE, lexique SGBFSS, liste: PEAU, memory BS Asso",624,M522x528S15d59478x493S21200483x472S15d51499x505
même chose qui se répète,,6572,M548x529S10050501x499S10058483x499S20600489x483S2e602515x474S2e61a452x472
saloperie,,5578,M518x604S35600482x483S14c50489x573S17720489x522S25604493x540
en ligne,"FMS43, liste: INFORMATIQUE, liste: FORMATION, liste: DICO BILINGUE",5853,M542x539S19243498x479S19249480x499S26607520x460S26613458x517S20500512x506
étranger,"FMS64, liste: PAYS, liste: POLITIQUE, liste: DICO BILINGUE, liste: VACANCES, liste: VOYAGE, lexique SGBFSS, liste: MBlivre",3646,M543x573S30000482x483S30004482x483S2e017465x539S18018465x519S2e00f523x500S18010512x480
STEPHANE BEYELER,,4305,M540x518S30007482x483S26507527x463S20321508x470S20500519x492
OLIVIER TROLLIET,"liste: COMMUNAUTE, liste: SPS ECES",1065,M521x539S36d00479x462S26a00477x475S18542480x513S22114494x521
coller,"liste: VERBES, liste: ECOLE, liste: DICO BILINGUE, lexique SGBFSS, liste: ACTIONS, ACTIVITES",7744,M546x538S15d38466x484S17f04489x509S21400455x506S21100533x490S27100490x491S15d50484x462
capsule de café,"liste: BOISSON, liste: ALIMENTATION, liste: DICO BILINGUE, lexique SGBFSS",7471,M532x565S20349470x457S19a41469x437S21100496x455S2eb3a500x436S1ce12482x521S22f04493x551
cantons romands,"liste: DICO BILINGUE, liste: GEOGRAPHIE, liste: CANTON, liste: SUISSE",6694,
juif,"israélite, liste: SOCIETE, liste: SPIRITUALITE, FMS67, FMS71, liste: RELIGION, liste: DICO BILINGUE, lexique SGBFSS",2085,M535x550S30004482x482S10e11467x503S11011507x511S28806490x538S21100493x520
fou,"folle, liste: MEDECINE, liste: PSYCHOLOGIE, liste: DICO BILINGUE, lexique SGBFSS, liste: ADJECTIFS, liste: MEDICAL",6150,M588x518S30007482x483S10012515x486S2c400548x483S20500508x473
toucher,"liste: VERBES, liste: DICO BILINGUE, lexique SGBFSS, MEDSIGN-niv1-cours4a, liste MB divers",1979,M517x530S15d59487x507S1c551492x480S20500485x504S22a04483x469
contrôler,"contrôle, liste: ECOLE, liste: VERBES, liste: DICO BILINGUE, lexique SGBFSS",7758,M552x531S1ec21509x490S1ec29458x489S2ec06512x471S2ec16449x470S2fc00487x520
définition,"liste: LANGUE, liste: ECOLE, liste: DICO  BILINGUE, lexique SGBFSS, liste MB divers",9527,M527x543S13d10478x471S13d18498x477S22c24492x501S20500499x458S22104513x502S22104514x515S22104514x528S22104474x503S22104473x517S22104473x529
tornade,"ouragan, liste: NATURE, liste: METEO, liste: DICO BILINGUE, lexique SGBFSS, liste: NATURE/ECOLOGIE/TERRE",4777,M523x553S12d21496x484S12d0b477x507S26620489x446S22235503x463S22231479x533
GENES,"liste: GEOGRAPHIE, liste: ITALIE, liste: VILLE, liste: DICO  BILINGUE, lexique SGBFSS",8872,M511x539S17f20490x510S26700491x462S22212506x487S22212506x466
tripartite,,5388,M520x538S15d0a481x466S11e00497x462S24b04495x497S22104499x531
chou,"liste: ALIMENTATION, liste: LEGUMES, liste: NOURRITURE, liste: DICO BILINGUE, JEU FAMILLES CONFIGURATION, JEU-COULEURS, lexique SGBFSS, CCSS",1411,AS15017S1501fS20600M526x522S15017499x477S1501f473x478S20600487x511
tu me dis,"me dire, liste: VERBES DIRECTIONNELS, EMM3, liste: VERBES",4557,AS1ce42S26604S20500M515x536S1ce42485x464S20500502x525S26604499x490
chagrin,à vérifier,5390,M540x539S36d00464x460S36d00460x535S20311466x473S22e04483x493S21100486x477S36d00498x460S36d00493x535
jouir,"liste: SEXUALITE, liste: DICO  BILINGUE, liste: PISOURD",3845,M558x518S31400482x482S1dc11518x488S1dc19458x488S26606528x482S26612439x482S22134514x480S22134450x481
souple,souplesse,5569,M579x519S1ea02513x491S1ea0a468x492S23700540x481S23714422x498
réseau,"liste: ECOLE, liste: DICO  BILINGUE, séance de réseau, réunion de réseau",9505,M533x549S2d61e468x493S2d606511x496S14451497x469S20500497x525S20500498x451S14459480x468S14450510x518S14458474x518
dum dum,"liste: INSTRUMENTS DE MUSIQUE, liste: MUSIQUE, liste: DICO  BILINGUE, lexique SGBFSS",8344,M586x526S1ea47567x498S1ea40510x486S1ea48467x487S1ea4f414x497S26602535x493S26616434x495S2f900517x476S2f900478x474S26602534x505S26616438x509
flèche gauche,,5938,M508x515S26610492x485
