canonical_gloss,synonyms,sid,FSW
$,,1466,M511x511S22b31490x490
0 (number),,1477,M512x516S14c00489x485
sequence 1,"0.00, 0.33",1354,
1,,99,M512x507S1f500488x492
1,,1468,M508x512S1f502493x488
10-1,,1055,M573x527S1ce20502x475S1ce28475x475S2df00526x485S2df18452x484S2fb04494x521S14c00550x477S14c08427x473
2,,1016,M511x519S1f522488x495S10020496x480
2,,1469,M512x515S1dc01489x485
3,,269,M511x515S11e20488x485
3,,1470,M513x515S11e01488x485
30-1,,598,M515x514S13f20486x499S22104484x487
4,,1256,M511x515S14420489x484
4,,1471,M514x515S14401486x486
48-1,,1009,M547x516S14c28498x484S26506480x502S11e20524x485S14420453x483
5,,1028,M511x515S14c20488x484
5,,1472,M513x514S14c01487x487
6,,903,M531x515S1f500507x492S14c28468x484
6,,1473,M520x516S14c08481x485S1f502505x492
7,,142,M529x521S10020514x482S1f522506x497S14c28471x479
7,,1474,M524x516S14c08477x485S1dc01501x486
8,,873,M528x516S11e20505x486S14c28471x483
8,,1475,M525x516S14c08476x485S11e01500x486
9,,792,M527x516S14c28472x484S14420505x485
9,,1476,M526x520S14c08474x489S14401498x480
A,,1162,M512x508S1f520488x493
A,,1448,M510x508S1f720490x493
a-cause-de,,433,M535x537S17e20512x463S17e31479x514S23004480x481S20500464x526
accepter,,790,M556x542S14c50522x460S14c58458x458S20500515x531S20500474x531S18551529x518S18559444x517S26504527x500S26514462x500S2fb00495x465S36d00479x524
accessibilite,,846,M549x530S37810469x498S21410452x506S15d28466x471S1ec02479x495S2d608493x482S1ec40526x492
accessibilite-1,,540,M520x537S15d28479x499S2df0e500x464S20500502x493S1ec02500x514
accessibilite-2,,1145,M582x574S36a00482x477S20700491x545S2fb04492x568S1ec2e415x517S2d608532x506S2d610438x508S1ec26563x517S1ec02510x519S1ec0a470x520
accessibilite-3,,15,M547x532S37810471x495S21410453x503S15d28468x468S1ec02481x492S2d608495x479S1ed26528x487S20700481x517
accident,,367,M543x575S28816469x550S20500495x541S2fb04493x569S2880e508x550S20301522x527S20301458x526S30a00482x482S34400482x482
action,,847,M529x533S20351503x468S20357476x476S26c03509x493S26c11472x501S2fc04495x522
activite,,612,M539x532S20330477x469S20330508x469S2e616461x492S2e60e506x491S2fb04493x526
adorer,,196,M557x537S30000482x482S30004482x482S18010507x475S18018465x522S20500498x521S20500493x469S26500543x478S26510445x521
Adresse,,1320,M531x597S2ff00480x482S36d00479x522S20e00512x556S22f04506x572S1f510509x535S22f14464x573S20e00469x557S1f518460x534S2fb04490x591
adresse,,473,M535x540S20e00517x499S36d00479x460S20e00470x498S2fb04492x534S22f04510x515S22f14463x515S1f512514x470S1f512468x470
adresse,,912,M531x597S2ff00480x482S36d00479x522S20e00512x556S22f04506x572S1f510509x535S22f14464x573S20e00469x557S1f518460x534S2fb04490x591
Afrique,,342,M544x550S2ff00482x482S15000519x479S28c04489x522
ah-bon,,938,M537x575S20348486x559S19a40485x529S20500518x564S34400482x482S30a00482x482S22f04512x546
aide-soignant,,850,M528x567S2fb04495x561S15d39479x455S22a20492x433S18528473x505S18520503x505S2eb1c478x524S2eb0c505x523S20341491x452
aider,,625,M533x523S20500467x506S2031c518x497S22a20483x477S15d32478x504
aimer,,373,M540x568S33e00481x482S15d01484x541S36d00479x523S20e00517x556S2c301514x527S30a00481x482
aimer,,962,M540x568S33e00481x482S30a00481x482S36d00479x523S20e00517x556S2c301514x527S14c01483x537
aimer,,1238,M538x565S33e00482x482S15d01492x542S2b800515x526S20e00483x525
