canonical_gloss,synonyms,sid,FSW
"""P""",,1709,M516x512S14011485x488
1,,312,M508x515S10020493x485
1,,1504,M501x506S37c00499x494
아니다4_1_2,"아니다4, 1",1187,M547x544S37605454x508S15d3a506x525S37609517x496S20500537x533S20320509x495S28802511x471S2880a511x456
1,,1829,M508x515S10000493x485
1 Corintios,,254,M528x543S10010476x458S2df00473x499S16d10510x486S2e230509x511
1 Corintios,,1573,M528x532S10010473x468S16d10509x478S2e230509x500
1 Crónicas,,340,M536x585S10010439x507S1f502494x535S2c631516x561S21100495x519S34100482x483S16d1c494x565S2df00436x541
1 Crónicas,,342,M542x545S30004482x483S2d506442x458S37b00453x461S10010446x422S16d1c525x499S1f502491x521S2c631508x517S21100475x519S2f900472x431
1 Crónicas,,1520,M562x594S30004482x483S21100494x519S1f502492x536S2c631511x555S16d10490x574S10020544x483S2df02543x517
1 Juan,,276,M521x535S10010441x465S2df00437x499S36d00479x503S20500479x509S1f701489x513
1 Juan,,1585,M521x529S10020424x471S36d00479x485S20500476x497S1f801482x501S26504506x506S2df02424x505
1 Pedro,,272,M544x549S10010461x452S2df00456x488S1f748487x507S1f740524x507S20e00509x508S22e30524x527S22e30491x527S26514492x534S26504525x532
1 Pedro,,1589,M551x529S10020451x471S2df02450x505S1f710531x490S1f718493x490S20e00516x491S22e14497x510S22e04530x510
1 Reyes,,336,M541x561S10010440x507S13311515x475S13319459x475S20500479x483S2ff00482x483S20500510x483S2df00436x540
1 Reyes,,1518,M594x536S2ff00482x483S20500515x482S20500473x483S13312529x473S1331a440x472S10020575x479S2df02575x512
1 Samuel,,331,M519x563S30004482x483S10010443x474S14c41493x533S2d506440x505S20500495x518S22511478x526S22a03480x549S22b30448x506
1 Samuel,,1516,M572x588S30004482x483S14c11503x533S22611493x524S26600495x558S10020554x483S2df02553x517
1 Tesalonicenses,,264,M523x529S10010433x474S2df00428x508S36d00479x471S20500477x478S20500513x478S1fb10474x491S26506495x493
1 Tesalonicenses,,1576,M524x529S10020434x472S2df02434x505S36d00479x484S20500474x493S20500514x493S1fb10470x508S26606488x512
1 Timoteo,,266,M532x542S10010473x459S2df00468x491S1fb10516x488S2e230513x510
1 Timoteo,,1580,M535x534S10020466x467S2df02466x500S1fb10518x480S2e230516x502
1.000.000,,1821,M531x526S10000469x495S1ea00504x505S2e500508x474
1.000.000,,1839,M526x530S10010475x471S1ea08503x481S2f004503x509
10,,1803,M520x516S10010481x485S17610504x500
10.000,,1852,M531x529S10010469x472S17610490x487S10000511x473S2df0e511x505
10.000.000,,1840,M539x529S10000462x471S17610486x485S2df0e475x505S1ea08516x480S2f004516x506
100,,1811,M529x515S17610513x499S17610491x498S10010471x485
100.000.000,,1841,M544x529S10010456x472S17610476x487S17610495x487S1ea08521x482S2f004520x508S22a06485x512
1000,,1812,M510x528S10000490x472S2df0e490x504
11,,1850,M523x523S10020477x478S10020508x478S2d504491x514
110,,1851,M530x515S10010471x485S10010493x485S17610514x498
12,,2208,M521x515S10020480x485S10e20506x485
아니다4_1_2,"아니다4, 2",1188,M529x599S31b00482x483S15d40510x555S15d48463x554S2fb04491x593S2dc26494x536
아니다4_1_2,"아니다4, 2",1190,M529x599S31b00482x483S15d40510x555S15d48463x554S2fb04491x593S2dc26494x536
2,,1626,M508x515S10e20493x485
2 Corintios,,1574,M528x533S10e28473x467S2e230509x501S16d10509x480
2 Crónicas,,346,M538x584S10e10439x499S30004482x483S21100493x520S2c731513x563S16d10494x564S1f502494x536S2df00435x533
2 Crónicas,,1521,M562x598S30004482x483S21100493x520S2df02543x515S1f502491x535S16d10490x578S10e20544x483S2c631506x555
2 Dos,,2344,M508x515S10e20493x485
2 Juan,,275,M521x527S10e10438x473S2df00435x506S36d00479x490S20500485x500S1f701495x502
2 Juan,,1586,M522x529S10e20429x472S2df02428x505S36d00479x486S20500478x495S1f801486x500S26504508x502
2 Pedro,,273,M529x539S10e10440x462S2df00436x497S1f740509x501S1f748471x501S20e00495x504S26904509x520S26914476x521S36d00479x486
2 Pedro,,1591,M548x529S10e20452x472S2df02452x505S1f710528x487S1f718487x487S20e00512x488S22e14490x506S22e04527x506
2 Reyes,,338,M545x562S20500477x482S10e10428x510S20500515x483S2ff00482x483S13311519x474S13319457x475S2df00423x541
2 Reyes,,1519,M591x518S2ff00482x483S20500514x479S20500477x479S1331a445x468S13312526x468S10e20573x459S2df02572x492
2 Samuel,,330,M518x573S10e10447x484S14c41491x535S22511476x528S30004482x483S20500495x519S2df00442x516S22a03487x559
2 Samuel,,1517,M571x581S30004482x483S14c11508x530S22611498x521S10e20552x486S2df02552x520S26600495x551
2 Tesalonicenses,,265,M523x528S10e10430x472S2df00425x506S36d00479x483S20500513x494S20500477x494S1fb10474x509S26506493x513
2 Tesalonicenses,,1579,M524x528S10e20433x473S2df02432x504S36d00479x482S1fb10473x506S20500476x490S20500514x490S26606490x509
2 Timoteo,,267,M535x533S10e10469x467S2df00465x498S1fb10519x479S2e230516x501
2 Timoteo,,1581,M531x533S10e20470x468S2df02470x500S1fb10514x479S2e230512x501
20,,1804,M518x515S10e20482x485S17610502x499
2000,,1813,M510x538S10e00490x462S2e00e490x495
2000000,,1853,M524x528S10e00476x472S2f004503x507S1ea08501x481
아니다4_1_2,"아니다4, 3",1191,M516x523S18046501x492S1804e484x478
3,,1832,M512x515S11e20489x485
3 Juan,,1587,M521x528S11e20437x472S2df02444x504S36d00479x486S20500477x493S1f801485x498S26504507x500
3 Juan,,277,M521x526S11e10436x474S2df00432x505S36d00479x485S20500482x494S1f701489x496
3.000.000,,1854,M528x528S11e00473x473S1ea08505x481S2f004507x507
30,,1805,M522x515S11e20479x485S17610506x499
3000,,1814,M512x538S11e00489x462S2e00e490x495
4,,314,M511x516S14420489x485
아니다4_1_2,"아니다4, 4",1193,M521x567S10050498x537S36d00479x525S36100482x483S33310495x489
4,,1613,M511x516S14408489x485
40,,1337,M522x516S14408478x485S17610506x499
40,,1806,M521x516S14420480x485S17610505x500
4000,,1815,M513x538S14400488x462S2e00e493x495
4000000,,1855,M528x529S14400473x472S2f004507x508S1ea08505x482
5,,315,M512x516S14c20489x485
아니다4_1_1,"아니다4, 5",1186,M559x560S33b00468x484S36100497x482S33310511x487S33310481x490S1e502484x504S1e440523x524S2f700547x553S25505503x520
50,,1807,M522x516S14c20478x485S17610506x500
5000,,1816,M512x539S14c00488x462S2e00e492x496
5000000,,1856,M528x528S14c00473x473S1ea08505x483S2f004505x507
6,,319,M511x509S17530490x492
6,,1833,M511x508S17410490x492
60,,1808,M521x508S17410479x492S17610505x492
6000,,1818,M513x531S17400488x470S2e00e493x488
6000000,,1857,M526x523S17410474x482S1ea08503x478S2f004505x502
7,,1834,M508x513S10a10493x487
70,,1809,M519x514S10a10482x487S17610503x498
7000,,1819,M510x537S2e00e490x494S10a00490x464
7000000,,1858,M525x526S10a10475x474S1ea08502x479S2f004503x505
8,,321,M511x514S1bb20490x486
8,,322,M511x514S1bb20490x486
80,,1810,M521x515S1bb20480x486S17610505x499
8000,,1820,M513x537S1bb00488x464S2e00e493x494
8000000,,1859,M528x526S1bb00472x474S1ea08505x480S2f004505x505
9,,324,M512x515S14312488x486
a,,298,M509x508S1f810491x493
A,,5192,M510x508S1f720490x493
A,,1797,M509x508S1f840491x493
A Parte,,1968,M547x530S15a40498x503S15a48454x503S28b2a503x471
Iniciar,"comenzar, A partir de",1208,M563x531S15a06438x518S15a0e462x505S22a04444x498S21410471x523S15a42535x504S15a4a512x518S15a52536x469S26500521x481
