canonical_gloss,synonyms,sid,FSW
..,,176,M551x527S31400482x483S33e10493x505S20500508x496S10e00518x497S26506536x511
..,,177,M543x525S31400482x483S21100519x487S28806498x499S10c10522x503
..,,180,M535x521S31420482x483S15d01498x482S21100522x492S22a05520x507S33e10493x505
..,,181,M535x532S31400482x483S33e10493x506S21100519x489S22a05509x500S1f802520x514
..,,182,M518x580S31400482x483S33e10492x506S15a50469x514S21300448x564S37a00474x529S1d052452x539S2e131480x555
..,,183,M532x568S31400482x483S33e00482x483S10000514x538S2980c519x487S20500510x478
..,,184,M543x531S31400482x483S33e10491x504S17f11516x487S2a602522x508
..,,185,M542x537S31400482x483S33e10493x505S10e20522x485S23004517x519
..,,186,M547x552S31400482x483S33e10492x504S1f43e532x490S22216524x486S22b04531x522
..,,187,M556x534S33200482x483S1f010507x498S2e131528x514S33e10492x507S31430490x492
..,,188,M543x545S31400482x483S33e10492x505S19200522x493S22b04527x515
..,,189,M543x519S31400482x483S33e10492x506S13d3e528x490S22a04494x475S22206520x491
..,,197,M540x541S30d00482x483S33110499x496S21000520x495S17e0e494x502S22f04489x527
..,,209,M518x577S31400482x483S34810488x505S20e00494x520S14c51490x534S26a00487x563
..,,210,M550x532S31400482x483S33e10492x505S21100519x491S17801531x494S22f03517x511
..,,219,M529x581S31400482x483S33e10493x505S15d39487x535S21100496x546S17750509x545S26c07502x563
..,,222,M524x558S31400482x483S34410495x503S15d18480x523S21100500x527S1f810506x543
1,,32,M508x515S10000493x485
1 LSM,,118,M518x580S1ec0e492x532S15d28458x514S20500479x548S20500479x565S20500478x532S22a04497x560S31400482x483S34700482x483S37900463x540
10,,41,M525x516S14c28476x485S14c20502x485
10,,228,M528x516S14c20505x485S14c28473x485
100,,240,M531x515S10020469x485S1ce10488x485S1ce10509x485
11,,229,M521x522S10020479x479S26506491x508S10020506x479
12,,42,M517x515S13820493x485S21e00483x488
12,,230,M519x516S10020482x486S10e20504x485
13,,231,M516x523S11e02484x500S23200490x477
14,,232,M517x524S14402484x502S23200491x476
15,,233,M511x519S1bb20490x491S21e02494x481
2,,33,M508x515S10e00493x485
2 LSM,,120,M536x575S14a2c511x534S20500495x535S15d18469x526S2880b516x555S31400482x483S33e00482x483
3,,34,M512x515S11e00489x485
30,,234,M517x516S13720494x485S20500483x501
4,,35,M511x516S14400489x485
5,,36,M512x516S14c00489x485
50,,235,M518x515S1d020495x485S20500482x502
6,,37,M527x516S14c28474x485S16728505x496
60,,236,M539x516S14c28462x484S1f502488x492S1ce10517x486
7,,38,M526x517S14c28475x484S1dc20502x487
7,,225,M530x517S1dc27507x487S14c28471x483
70,,237,M532x516S14c28469x485S1ec20509x496S20500497x500
8,,39,M525x516S14c28476x485S11e20502x486
8,,226,M531x518S11e27506x488S14c28469x483
80,,238,M532x516S20500497x502S14c28468x484S13620509x486
9,,40,M524x516S14c28476x485S14420502x484
9,,227,M529x516S14420507x484S14c28472x485
90,,239,M529x517S14c28471x486S14420507x485S22204501x483
A,,4,M508x510S1f702493x490
abierto,,84,M517x526S15a00484x474S15a20499x474S2df04496x505
abrigo,,85,M541x585S31500482x483S1f810523x522S1f818466x523S1e100498x544S22a03518x541S23a14473x543S22d00503x485
abril,,86,M555x519S2ff00482x483S20602519x495S16011532x495
Abril,,265,M548x522S31400482x483S34710492x505S20500514x510S14752526x508
abuela,,81,M550x538S34900496x502S34600470x502S35000494x464S34900468x464S18510522x523S21100534x496S16011527x467
Abuela,,157,M546x544S31400482x483S34710492x505S20e00516x505S15710528x500S22104526x490S22a04528x529
abuelo,,82,M557x544S34900443x481S35000467x483S34600494x483S34700521x484S20300478x513S20600475x533
aburrido,aburrida,87,M542x582S34900469x477S31b00496x489S31430476x486S15240522x551S2380f523x523S20310506x515S30250510x479
Accidente,,160,M552x561S30e00482x483S36110493x504S20b00494x537S23f07510x525S23f1f469x525S1f801532x539S1f809452x539
aceptar,,88,M545x542S20500509x531S15220514x461S15228468x459S18519455x509S18511518x512S20500483x531S26504473x497S26504515x498
adelante,,89,M542x518S26500512x463S30007482x483S20500519x500S15d00512x433S15d53519x470
adjustar,,198,M537x568S31400482x483S34810489x503S15d0a491x549S20800507x544S13d21507x519
Aeropuerto,,243,M541x561S31400482x483S33e10492x505S15d38475x535S20500493x542S22a03503x528S19a50513x510
Agosto,,269,M546x542S31400482x483S34410494x503S14c01520x495S2880d507x519S20320489x527
Alegría,,244,M539x557S31400482x483S33e10492x504S36d00479x520S21200486x527S15d01516x534S15d09461x534
Alemania,,63,M521x518S30000482x483S10010493x461S20500511x473
amar,,64,M533x559S30a00482x483S33e00482x483S3770b489x536S37713491x537S20500523x541S20500473x542S15d01473x519S15d09507x518
Amarillo,,251,M547x518S31400482x483S33110499x495S20e00510x498S1ee10521x493S34710493x507S22124515x484
amigo,amiga,80,M522x529S15d0a482x475S17d01496x471S20800496x496S23600479x512
Amigo,,167,M518x578S31400482x483S34810488x503S14703496x530S1470b480x530S20800495x554S26c20487x563
ananá,,75,M525x568S1555a479x533S15536479x553S21b00507x434S17752483x471S20500508x545S2d200499x454S22b00482x497S14c30476x432
ananá,,76,M514x574S1555a487x540S15536488x559S22a00492x459S17752491x480S22b00490x504S14c30487x426
