canonical_gloss,synonyms,sid,FSW
!!!bueno!!!,,1912,M551x570S14c37524x515S14c31457x523S22a04531x550S22a14470x555S30a00482x488S30200482x478S35100482x488
",",,1633,S38700463x496
",",,1700,M519x521S1eb20495x480S2880d495x501S2f700482x510
.,,1634,S38800464x496
0,,103,M508x508S17610492x492
0,cero,1304,M508x508S17610492x492
1,,1270,M508x515S10020493x485
1,"uno, una",1305,M507x515S10020492x485
10,,11,M512x524S1f820490x477S2e104489x496
10,diez,1314,M510x524S1f510492x475S2e230491x492
100,,101,M520x516S10020481x485S16d20503x496
100,cien,1344,M509x536S10028494x463S16d20492x516S26504494x496
1000,,102,M519x537S10010495x464S18210496x522S15a18482x510S20500496x506
mil,1000,1345,M548x515S15a18451x486S15a12476x495S20500465x494S20500465x494S26502510x493S10028533x485
11,,12,M518x521S20320483x506S21d00496x480S10020503x491
11,once,2747,AS10000S20328M516x515S10000501x485S20328483x500
118,,2602,M528x516S10020472x485S10020489x485S1bb20507x488
12,,13,M518x520S20320482x505S21d00500x480S10e20502x490
12,doce,2842,AS10e00S20328M517x515S20328483x500S10e00502x485
13,,1271,M521x520S20320480x505S21d00503x480S11e20497x490
13,trece,2921,AS11e00S20328M521x515S11e00498x485S20328479x500
130,,14,M531x515S10020469x485S11e20487x485S17620515x499
136,ciento treinta y seis,2551,M541x536S11e20483x465S26506505x469S18720523x467S10028461x463S16d20459x516S26504461x496
14,,15,M532x521S20110468x506S2e008485x480S14420510x490
14,catorce,2949,AS14400S20328M521x516S14400499x484S20328480x501
144,,17,M542x538S10028460x465S16d20458x518S26504460x498S26506502x479S14420483x463S14420520x463
144000,,18,M543x563S10028462x439S16d20460x492S26504462x472S26506504x453S14420485x437S14420521x437S15d18456x536S20500477x545S20500477x545S26502520x541S18d12490x540
146,ciento cuarenta y seis,2049,M539x538S10028463x465S16d20461x518S26504463x498S26506505x479S14420486x463S18720521x467
1473,,2323,M544x515S10020456x485S14420475x484S1a520500x486S11e20521x485
15,,16,M531x522S20310470x507S2e008485x479S14c20508x491
15,quince,2980,AS14c00S20328M520x515S20328481x500S14c00497x484
1513,,2230,M543x517S10020457x485S14c20475x484S10020502x486S11e20520x487
16,,1272,M521x520S18710479x491S2e008500x480
16,dieciseis,1315,M517x514S20300482x498S18720499x485
1600,,2533,M535x515S10020464x485S18720481x486S17620501x499S17620519x499
17,,1273,M523x521S1a510477x493S2e008502x480
17,diecisete,1316,M520x514S20300480x498S1a520499x486
18,,19,M524x520S1bb10477x492S2e008503x481
18,dieciocho,1317,M520x514S20300480x498S1bb20499x486
185,,2575,M532x515S10020468x485S1bb20485x486S14c20509x484
1890,,2559,M545x516S10020455x485S1bb20477x487S17620529x500S1ce20504x485
19,,20,M522x524S1ce10478x494S2e008501x477
19,diecinueve,1318,M521x515S20300479x500S1ce20499x485
1900,mil novecientos,1741,M540x515S20300461x500S1ce20479x485S17620504x499S17620524x499
1914,mil novecientos catorce,1665,M541x516S20300458x500S1ce20476x485S14400519x485S20320500x501
1918,,2268,M547x516S10020504x485S1ce20475x485S10020454x484S1bb20526x488
1919,,2200,M542x516S1ce20477x485S1ce20520x486S10020458x485S10020501x486
1920,,1226,M542x515S10020458x485S1ce20478x485S10e20506x485S17620526x499
1922,,2204,M542x516S20300459x498S1ce20479x483S10e20507x485S10e20527x486
1930,,1112,M545x515S10020456x484S1ce20477x484S11e20501x484S17620529x499
1931,,2205,M545x516S20300455x499S1ce20475x484S11e20500x485S10020530x486
1932,,2558,M543x515S10020456x485S1ce20477x485S11e20501x485S10e20528x485
1933,,1144,M551x515S10020450x485S1ce20471x485S11e20501x485S11e20528x485
1935,,2207,M546x516S20300453x499S1ce20473x484S11e20497x486S14c20523x485
1938,,1085,M547x515S10020452x485S1ce20473x485S11e20497x485S1bb20526x487
1938,,2502,M547x515S10020452x485S1ce20473x485S11e20497x485S1bb20526x487
1943,,1145,M549x515S10020450x485S1ce20471x485S14420499x484S11e20526x485
1955,,2416,M551x515S10020450x485S1ce20472x485S14c20501x484S14c20528x484
1971,,2497,M550x515S20300451x500S1ce20471x485S26506517x499S1a520498x486S10020535x485
1972,,1087,M544x515S10020456x485S1ce20477x485S1a520504x487S10e20529x485
1972,,2504,M544x515S10020456x485S1ce20477x485S1a520504x487S10e20529x485
1981,,2555,M543x515S10020457x485S1ce20478x485S1bb20504x487S10020528x485
1986,,1169,M546x515S10020454x485S1ce20475x485S1bb20501x487S18720528x486
1995,,1138,M551x516S10020450x486S1ce20472x486S14c20528x485S1ce20499x484
2,,3,M508x515S10e20493x485
2,dos,1306,M507x515S10e20492x485
2-hilos,,1021,M540x539S13f11510x461S21003476x492S21002490x517S22a06509x517S22a07494x485S10e09460x509
2-hilos,,2458,M540x539S13f11510x461S21003476x492S21002490x517S22a06509x517S22a07494x485S10e09460x509
20,,21,M530x513S1ee20471x491S22114500x488S1f420501x498
20,veinte,1319,M516x512S1f110487x497S22114484x488
200,doscientos,1923,M509x536S16d20492x516S26504493x498S10e20493x464
dos mil,2000,1976,M548x515S15a18451x488S15a12476x497S20500465x496S20500465x496S26502510x495S10e20533x484
2008,,2556,M540x516S10e20460x484S17620480x499S17620499x499S1bb20519x488
2013,,2311,M541x515S10e20460x484S17620480x499S11e00518x485S20328499x500
2014,,2354,M539x515S10e20462x484S17620482x499S20328501x500S14400517x484
2016,,2600,M537x515S10e20462x484S17620482x499S20308501x500S18720519x486
21,,22,M517x515S10e20483x485S10020502x485
21,veintiuno,1320,M527x515S10020512x485S10e20474x485S26506493x496
22,,23,M529x522S10e20472x479S26a00494x495S26606499x506
22,veintidos,1321,M524x515S10e20475x485S10e20475x485S10e20509x485S26506490x488
23,,24,M521x515S10e20479x485S11e20498x485
23,veintitres,1322,M525x515S10e20475x485S11e20502x485S26506490x487
24,,25,M521x516S10e20480x486S14420499x485
24,veinticuatro,1752,M528x516S10e20473x486S26506488x488S14420506x484
25,,26,M521x516S10e20479x486S14c20498x485
25,veinticinco,1993,M527x515S10e20473x485S26506488x487S14c20504x484
26,,27,M519x516S10e20482x485S18720501x487
26,veintiseis,2036,M526x516S10e20473x485S26506488x487S18720508x487
27,,28,M521x516S10e20480x485S1a520500x488
28,,29,M521x516S10e20480x485S1bb20500x488
28,,2399,M521x515S10e20479x485S1bb20500x487
288,,2593,M531x515S10e20469x485S1bb20487x486S1bb20510x486
29,,30,M521x516S10e20480x485S1ce20499x486
29,veintinueve,1949,M526x516S10e20475x485S26506490x487S1ce20504x486
3,,4,M512x515S11e20489x485
3,tres,1307,M511x515S11e20488x485
3-hilo,,2445,M537x551S11e09470x521S13f12469x449S21000462x504S21003486x501S21002500x526S22a00466x484S22a07504x494S26506522x528
3-hilos,,1020,M537x551S11e09470x521S13f12469x449S21000462x504S21003486x501S21002500x526S22a00466x484S22a07504x494S26506522x528
3-hilos,,2457,M537x551S11e09470x521S13f12469x449S21000462x504S21003486x501S21002500x526S22a00466x484S22a07504x494S26506522x528
3-veces,,2769,AS10002S20358S20500S22e00M540x536S11e02510x489S22e00519x465S20500499x504S20358492x489S37800499x504
30,,31,M525x515S11e20475x485S12920501x493
30,treinta,1323,M526x515S17620510x499S11e20474x485S26506496x489
300,trescientos,2567,M513x535S11e20488x465S16d20496x515S26504497x497
31,,32,M523x515S11e20477x485S10020508x485
31,treintiuno,1783,M528x516S11e20472x485S26506494x489S10020513x486
313,,2266,M535x515S11e20466x485S10020494x485S11e20512x485
32,,33,M522x515S11e20479x485S10e20507x485
32,treinta y dos,1324,M529x515S26506495x487S11e20472x485S10e20514x485
33,,34,M532x519S11e20469x481S26a00497x492S26606502x503
33,treinta y tres,2033,M530x515S26506493x487S11e20470x485S11e20507x485
35,,35,M524x516S11e20476x486S14420502x485
35,treinta y cinco,1325,M530x516S11e20470x486S26506492x489S14c20507x485
36,,36,M525x516S11e20476x485S14c20502x485
36,,37,M522x516S11e20478x485S18720504x487
36,treinta y seis,1893,M529x516S11e20471x485S26506493x489S18720511x487
37,,38,M525x516S11e20475x485S1a520504x488
37,treinta y siete,1948,M531x515S11e20469x485S26506491x489S1a520510x486
38,,39,M525x516S11e20475x485S1bb20504x488
380,,2267,M531x515S11e20469x485S1bb20495x487S17620515x499
39,,40,M525x516S11e20475x485S1ce20503x486
39,,2403,M526x515S11e20474x485S1ce20504x485
4,,5,M511x516S14420489x485
4,cuatro,1308,M511x515S14420489x484
40,,41,M519x516S14420481x484S17620503x500
40,cuarenta,1326,M527x515S14420474x484S17620511x499S26506493x500
400,cuatrocientos,1899,M511x535S14420489x464S16d20491x515S26504492x497
4000,,2591,M539x535S14420460x464S15d18460x508S20500481x517S20500481x517S26502524x513S18d12494x512
41,,42,M521x516S14420480x484S10020506x486
41,cuarenta y uno,2075,M527x516S14420474x484S26506493x500S10020512x486
42,,43,M521x516S14420480x485S10e20506x486
42,cuarenta y dos,1327,M526x515S14420474x484S10e20511x485S26506493x500
43,,44,M523x516S14420478x485S11e20500x486
43,cuarenta y tres,1328,M528x516S26506491x501S14420472x485S11e20505x485
44,,45,M529x522S14420471x478S26a00495x495S26606499x506
44,,2356,M528x516S26506491x497S14420506x485S14420472x484
45,,46,M523x516S14420478x485S14c20500x485
45,cuarenta y cinco,1632,M532x516S26506494x489S14c20509x485S14420469x485
46,,47,M521x516S14420479x484S18720503x487
46,cuarenta y seis,1952,M527x516S26506493x499S14420474x483S18720509x487
47,,48,M523x516S14420477x484S1a520502x488
48,,49,M523x516S14420478x484S1bb20502x488
48,cuarenta y ocho,1917,M529x516S14420471x484S26506490x500S1bb20508x488
49,,50,M523x516S14420478x484S1ce20501x486
5,,6,M512x516S14c20489x485
5,cinco,1309,M511x515S14c20488x484
50,,51,M519x516S14c20482x484S17620503x500
50,cincuenta,1329,M526x516S14c20474x485S17620510x500S26506492x501
51,,52,M520x516S14c20480x484S10020505x486
52,,53,M520x516S14c20480x485S10e20505x486
53,,54,M523x516S14c20478x485S11e20500x486
53,cincuenta y tres,1330,M529x516S14c20472x485S11e20506x486S26506491x502
538,,1071,M540x515S14c20460x484S11e20487x485S1bb20519x487
538,,2478,M540x515S14c20460x484S11e20487x485S1bb20519x487
539,,1924,M549x516S14c20450x483S11e20484x484S26506469x500S26506509x499S1ce20527x486
54,,55,M524x516S14c20476x485S14420502x485
55,,56,M530x523S14c20470x478S26a00496x496S26606500x507
55,cincuenta y cinco,1950,M529x516S14c20472x483S14c20506x485S26506490x499
56,,57,M523x516S14c20478x484S18720505x487
57,,58,M524x516S14c20477x484S1a520503x488
58,,59,M524x516S14c20477x484S1bb20503x488
58,cincuenta y ocho,1331,M529x515S26506490x499S14c20471x484S1bb20508x487
59,,60,M522x517S14c20478x484S1ce20500x487
6,,7,M509x515S18720491x486
6,seis,1310,M509x515S18720491x486
60,,61,M519x515S18720482x486S17620503x499
60,sesenta,1332,M527x515S18720473x486S17620511x498S26506493x499
600,seiscientos,1901,M509x535S16d20492x515S26504493x497S18720490x465
604,,1070,M532x515S18720468x486S17620490x499S14420510x484
604,,2477,M532x515S18720468x486S17620490x499S14420510x484
61,,62,M519x515S18720481x486S10020504x485
61,sesenta y uno,1333,M526x515S26506493x500S18720473x486S10020511x485
62,,63,M519x515S18720481x486S10e20504x485
63,,64,M521x516S18720479x487S11e20498x485
64,,65,M522x516S18720479x487S14420500x485
65,,66,M522x516S18720479x487S14c20499x485
66,,67,M529x522S18720472x479S26a00495x494S26606499x506
67,,68,M522x515S18720478x486S1a520501x487
670,,2317,M533x515S18720467x486S1a520492x487S17620517x499
68,,69,M522x515S18720479x486S1bb20501x487
69,,70,M521x515S18720479x486S1ce20499x485
69,sesenta y nueve,1334,M530x515S18720471x486S1ce20508x484S26506490x499
7,,8,M511x514S1a520490x486
7,siete,1311,M511x514S1a520490x486
70,,71,M519x515S1a520482x486S17620503x499
70,setenta,1335,M527x514S26506493x499S1a520474x486S17620511x497
700,setecientos,1918,M510x535S16d20490x515S26504491x497S1a520489x466
71,,72,M520x516S1a520481x488S10020505x485
71,setentiuno,1804,M526x515S26506493x499S1a520474x486S10020511x485
72,,73,M520x516S1a520480x488S10e20505x485
72,setentidos,1966,M527x515S26506493x500S1a520474x487S10e20512x485
73,,74,M523x515S1a520477x487S11e20500x485
732,,2576,M532x515S1a520468x486S11e20489x485S10e20517x485
74,,75,M522x516S1a520478x488S14420500x484
74,setenta y cuatro,1336,M529x516S1a520472x488S14420507x484S26506491x500
75,,76,M523x516S1a520478x488S14c20500x485
76,,77,M521x515S1a520480x487S18720503x486
76,setenta y seis,1337,M527x515S26506492x499S1a520473x486S18720509x486
77,,78,M529x520S1a520471x480S26a00496x493S26606499x504
78,,79,M523x514S1a520477x486S1bb20502x486
79,,80,M521x515S1a520479x487S1ce20499x485
79,,2346,M529x515S1a520471x486S1ce20507x485S26506490x497
8,,9,M511x514S1bb20490x486
8,ocho,1312,M511x514S1bb20490x486
80,,81,M519x514S1bb20482x486S17620503x498
80,ochenta,1338,M526x514S1bb20474x486S17620510x498S26506493x498
81,,82,M519x515S1bb20481x487S10020504x485
82,,83,M519x515S1bb20481x487S10e20504x485
83,,84,M523x515S1bb20477x487S11e20500x485
83,ochenta y tres,1878,M530x515S1bb20471x486S26506490x498S11e20507x485
84,,85,M522x516S1bb20478x488S14420500x485
85,,86,M523x516S1bb20478x488S14c20500x485
86,,87,M520x515S1bb20481x487S18720502x486
86,ochenta y seis,1339,M527x515S26506492x500S1bb20473x487S18720509x486
87,,88,M523x515S1bb20478x486S1a520502x487
88,,89,M528x520S1bb20473x481S26a00496x493S26606498x504
89,,90,M523x515S1bb20478x487S1ce20501x485
89,ochenta y nueve,1340,M529x515S1bb20470x487S1ce20507x485S26506489x500
9,,10,M511x515S1ce20489x485
9,nueve,1313,M511x515S1ce20489x485
90,,91,M519x516S1ce20482x485S17620503x500
90,noventa,1341,M526x515S26506492x499S1ce20473x485S17620510x499
900,novecientos,1242,M531x515S1ce20470x485S17620495x499S17620515x499
91,,92,M521x516S1ce20480x486S10020506x485
91,noventa y uno,1725,M526x515S26506492x499S1ce20473x485S10020511x485
92,,93,M520x515S1ce20480x485S10e20505x485
