canonical_gloss,synonyms,sid,FSW
comunidad,comunidadccps,1850,M516x526S14c50486x474S2eb02484x511
crear,crearccps,1799,M530x533S17634497x517S21000470x493S22b00514x480S16d48494x490S21b00517x467
seguro,"famoso,  importante,  seguroccps, famosoccps,  importanteccps",1814,M526x528S20300491x473S1d002475x492S37900497x486S20a00503x513S21410511x495
increíble,"increible,  increíbleccps",1813,M564x564S31400482x483S34410496x504S14c02520x518S14c0a460x523S23004539x539S23014446x546
pasado,pasadoccps,917,M560x556S31600480x483S37104476x521S15a01526x504S22114519x492S2ba04535x520
temprano,.LSBA,791,M527x541S14c50503x510S14c58472x510S22b20492x479S21600496x468S22104494x459
opinión,.LSBA,1365,M571x550S31500482x482S10011519x492S20500515x478S1ce10549x491S2e508546x523
historia,".LSBA, .LSS",1370,M540x530S1f540501x484S1f548483x484S23600501x513S23614460x511S21100493x469
ejemplo,"lápiz, broma, .LSC",9,M530x546S30004482x482S1eb07494x519S20600508x516
necesitar,.LSC,14,M528x531S10038474x481S10030510x481S26514474x516S26504511x516S21600520x469S21600471x469
total,"conclusión, .LSC",15,M557x510S18558442x490S18550469x490S20500463x499S18530532x490S18538505x490S20500526x497
a-veces,.LSC,17,M539x531S10020516x469S22b10461x501S2fb04494x525S22b04523x501S22b00509x501S22b14475x501S10028468x469
deletrear,"abecedario, .LSC",18,M515x544S14c50486x475S26606485x510S22500486x456S22500498x456S26606485x528
escribir,"escribanía, escribano, abogacía, abogado, oficina, administrativo, .LSC",19,M521x529S15a36478x479S18557483x492S21100507x471S27106506x489
abuelo,.LSC,21,M562x525S22510521x493S22b00546x484S11512515x510S2ff00482x482S20f00519x478
aburrimiento,"aburrir, aburrido, .LSC",22,M560x558S31b00482x482S22b12439x536S36d00479x519S15a16472x538S15a1e500x538S20e00494x525S36d00479x554S22b06530x537S32a00482x482S33500476x482
menos,"menor, .LSC",23,M508x525S15a50493x474S22e04491x507
más,.LSC,24,M513x530S15a30487x503S18552491x470S20500502x512S22a04500x495
caminar,"caminando, a-pie, .LSC",25,M511x541S11504493x492S22514489x528S26600492x458
ácido,"amargo, .LSC",26,M526x570S34300482x477S36a00482x477S20310511x511S27102511x530S2f900496x549S30c00482x477
acompañar,.LSC,27,M516x533S1f548483x496S1f540501x496S20500495x522S26620491x466
acostumbrado,.LSC,28,M524x536S10002477x516S36d00479x464S20e00477x496S37800473x489S37709473x466S20322467x521S22b00508x492
actriz,.LSC,29,M519x532S20312480x488S22f02497x507S14c20496x467S20f02482x506
adelante,.LSC,30,M513x530S15a42486x499S15a4a486x518S2b700487x470
adoptivo,"adoptar, adoptado, .LSC, cosecha, cosechar",31,M526x527S14c41500x472S26603491x496S21600483x519S22105474x510
agua,.LSC,32,M532x545S30004482x482S1f502492x521S20600510x515
ahijado,.LSC,33,M518x559S2d500490x547S2d508490x535S10e10472x529S20500488x518S20500501x518S30004482x482
presente,"hoy, .LSC",34,M508x531S10004492x470S22b04492x501
ajedrez,.LSC,35,M532x538S18550502x481S18558471x462S26600502x501S26614481x484S26610467x482S26604516x501S2fb04491x532
al lado,.LSC,36,M522x524S15a48478x497S15a40491x497S28c0a494x475
alegrar,"alegría, .LSC",37,M538x524S14c31503x477S14c39471x478S2fb04493x518S2eb02506x506S2eb16463x507
alfajor,.LSC,39,M518x547S1ed0e490x521S33b00482x482
almanaque,.LSC,40,M540x516S15a4a473x484S15a4e472x500S20500459x492S2c400500x493
almanaque,.LSC,41,M521x532S15a4a481x469S1ea20479x487S2df04485x511S22a06506x494
