canonical_gloss,synonyms,sid,FSW
*canvi 3,cambio,2925,M522x515S10e50478x485S2a208499x487
*cotó 2,algodón,904,M517x521S10019482x491S17641501x478S20800487x479
*dos-2,dos,993,M511x520S1dc01488x479S2f900492x515
*un 3,"uno, 1",3304,M507x517S1f502492x482S2f900494x512
un 2,"uno, 1",3303,M507x521S10000492x479S2f900494x516
deu 1,"diez, 10",636,M524x522S20600489x511S14c28476x477S14c20501x477
cent,"cien, 100",2629,M544x523S26506506x509S1ce10487x476S1ce10522x476S26506472x509S10010455x476
desè 1,"décimo, 10è",640,M536x525S14c28475x475S14c20504x475S20500496x507S2880e514x513S28816465x513
desè 3,"décimo, 10è",3027,M547x541S14c0a464x471S14c02503x459S2ad00534x483S2ad11453x497S14c22503x504S14c2a466x518
setze,"dieciséis, 16",2610,M534x515S10000467x485S1f501512x493S26506490x499
disset,"diecisiete, 17",2608,M536x516S10000463x484S1dc20512x484S2df0e486x492
divuit,"dieciocho, 18",2613,M536x518S10000464x482S11e20513x482S2df0e487x494
dinou,"diecinueve, 19",2609,M536x519S10000464x483S14420514x482S2df0e488x495
primer 3,"primero, 1r",2727,M522x532S10002477x467S10022477x517S2ad00509x490
dos-1,"dos, 2",986,M507x521S10e00492x478S2f900495x516
vint-2,"veinte, 20",2628,M537x515S10e00464x485S26506489x500S1ce10515x485
dos-cents,"doscientos, 200",987,M549x523S10e00450x476S26506513x509S1ce00527x476S26506473x509S1ce00486x476
dos-cents,"doscientos, 200",2671,M545x523S26506507x509S1ce10488x476S1ce10523x476S26506473x509S10e00455x476
dos-cents-2,"doscientos, 200",2996,M553x515S10e01446x485S26606523x498S1ce01492x491S26506475x499
vint-i-un,"veintiuno, 21",2632,M533x515S10e00467x485S26506491x500S10000518x485
vint-i-dos,"veintidós, 22",2624,M532x515S10e00467x485S10e00517x485S26506491x501
vint-i-tres,"veintitrés, 23",2626,M537x515S11e00514x485S26506487x499S10e00463x485
vint-i-quatre,"veinticuatro, 24",2627,M535x516S14400513x485S26506491x502S10e00466x486
vint-i-cinc,"veinticinco, 25",2633,M535x516S10e00466x486S26506490x501S14c00512x485
vint-i-sis,"veintiséis, 26",3315,M534x515S10e00467x485S1f501512x493S26506490x499
vint-i-set,"veintisiete, 27",3305,M536x516S10e00463x484S1dc20512x484S2df0e486x492
vint-i-vuit,"veintiocho, 28",3306,M536x518S10e00464x482S11e20513x482S2df0e487x494
vint-i-nou,"veintinueve, 29",3307,M536x519S10e00464x483S14420514x482S2df0e488x495
tres-1,"tres, 3",3301,M512x520S11e00489x480S2f900491x515
tres-2,"tres, 3",3302,M509x520S18600491x479S2f900495x515
trenta,"treinta, 30",2663,M539x515S11e00461x485S26506491x500S1ce10517x485
tres-cents,"trescientos, 300",2672,M546x523S26506508x509S1ce10489x476S1ce10524x476S26506474x509S11e00454x476
tres-cents-2,"trescientos, 300",3297,M553x515S11e01446x485S26606523x498S1ce01492x491S26506475x499
trenta-un,"treinta y uno, 31",2661,M534x515S11e00465x485S26506494x500S10000519x485
trenta-dos,"treinta y dos, 32",2662,M535x515S11e00465x485S10e00520x485S26506494x501
trenta-tres,"treinta y tres, 33",2664,M540x515S11e00517x485S26506490x499S11e00461x485
trenta-quatre,"treinta y cuatro, 34",2665,M537x516S14400515x485S26506493x502S11e00464x486
trenta-cinc,"treinta y cinco, 35",2666,M538x516S11e00462x486S26506493x501S14c00515x485
trenta-sis,"treinta y seis, 36",3316,M536x515S11e00465x484S1f501514x493S26506492x499
trenta-set,"treinta y siete, 37",3308,M538x517S11e00462x482S1dc20514x482S2df0e489x493
trenta-vuit,"treinta y ocho, 38",2669,M526x535S11e20503x505S14c28473x504S11e00492x465
trenta-vuit,"treinta y ocho, 38",3309,M536x518S10e00464x482S11e20513x482S2df0e487x494
trenta-nou,"treinta y nueve, 39",3310,M536x519S11e00463x483S14420514x482S2df0e490x495
quatre,"cuatro, 4",2545,M511x520S14400489x479S2f900497x515
quatre-cents-1,"cuatrocientos, 400",2673,M548x524S26506510x510S1ce10491x477S1ce10526x477S26506476x510S14400451x476
quatre-cents-2,"cuatrocientos, 400",3298,M555x514S14401445x485S26606525x497S1ce01494x490S26506477x498
cinc,"cinco, 5",862,M512x526S14c00489x474S26500494x511
cinc-cents-1,"quinientos, 500",2674,M548x524S26506510x510S1ce10491x477S1ce10526x477S26506476x510S14c00452x476
cinc-cents-2,"quinientos, 500",3299,M554x513S14c01446x486S26606524x496S1ce01493x489S26506476x497
quinto 2,5º,2271,M512x530S14c20489x470S2df06488x506
cinquè 1,"quinto, 5è",864,M511x531S14c20488x469S2df06489x507
cinquè 3,"quinto, 5è",865,M518x528S14c22482x505S24e08497x471
sis,"seis, 6",3300,M522x515S1f502507x491S14c08478x484
sis-cents,"seiscientos, 600",2631,M559x523S26506525x509S1ce10504x478S1ce10537x478S26506489x508S14c28440x477S1f527468x486
set 2,"siete, 7",1331,M527x515S14c28473x484S1dc20503x485
set-cents,"setecientos, 700",1202,M562x525S26506528x511S1ce10507x475S1ce10540x475S26506494x511S14c28438x474S1dc20465x475
setè 3,"séptimo, 7è",1330,M542x549S14c0a468x479S14c2a469x526S2ad00529x483S2ad11457x503S1dc02500x452S1dc22500x509
vuit,"ocho, 8",1129,M527x515S14c28474x484S11e20504x485
vuit-cents,"ochocientos, 800",2634,M561x526S26506527x512S1ce10506x475S1ce10539x475S26506493x511S14c28438x474S11e20466x475
vuitè 3,"octavo, 8è",1128,M544x550S14c2a468x527S14c0a468x478S11e22501x507S2ad00531x479S2ad11457x503S11e02500x451
nou 2,"nueve, 9",2178,M526x515S14c28473x484S14420504x484
nou-cents,"novecientos, 900",2179,M558x525S14c28441x475S14420471x475S1ce10505x476S1ce10536x476S26506524x511S26506490x511
novè 3,"noveno, 9è",2182,M546x544S14c2a465x521S14422503x503S14402503x456S14c0a465x474S2ad11454x499S2ad00533x480
a 1,"a, A",14,AS1f902M507x517S1f902492x483S2f900494x512
silenci! 3,"¡silencio!, a callar!, moixoni!",3471,M533x535S33b00482x482S10010487x505S20600511x518S30c30489x488
diari 3,"diario, cada dia, a diari",2901,M547x580S2ff00482x482S1ed10521x490S20500515x473S10002515x565S2b900499x537
protegir 1,"proteger, recomanar, a favor",131,M543x522S15d57493x497S15d59458x499S2b707518x478S2b717482x479
obligació,"obligación, a la força, caldre",719,M526x526S1ce01499x474S22b03474x491S22b03485x502
tarda,"tarde, a la tarda",1270,M525x542S30003482x482S30005482x482S20500474x510S20500515x511S1820e487x518S26506507x528
a mitjan,a mediados,1570,M556x514S14c4a444x490S15d30537x486S20710480x495S26502518x495
manual 1,"manual, a mà",2037,M532x525S18010502x504S18018469x500S20e00494x513S23208506x478S23218469x474
apartar,"a part, apartar, aparte",399,M533x520S20e00488x502S15d3a467x480S26606503x500S15a48473x493
vertical,"vertical, a plom",507,M508x531S22b04492x501S15a40494x469
a poc a poc,poco a poco,2189,M534x525S15a50514x476S15a50471x476S22f04509x511S22f14465x511S15d50507x475S15d58471x475
a reveure!,¡hasta la vista!,2844,M541x592S31410482x482S10001508x498S20500523x492S26616460x576S10e11514x543S10e19464x542S20500497x541S26602511x576S15a06389x514S15a01396x520S2b700421x540S15a43396x556
sobre 2,"encima, a sobre, damunt",649,M536x524S15d59468x491S20500464x486S15d51478x501S28802498x494S15d31513x475
sota,"debajo, a sota",1471,M523x521S15a1a477x478S15d30485x495S2c601504x481
termini 2,"plazo, a terminis",3521,M513x529S2b900487x471S1ea3f491x501
de vegades,a veces,3609,M547x521S15d38479x495S20600453x506S2a300524x478S18551492x495
