canonical_gloss,synonyms,sid,FSW
Online,,970,M554x547S30d00482x483S26600534x517S14c10531x481S21416522x493S34410496x505
Online,,973,M554x514S14c11528x487S14c19447x487S20d10479x494
Caja Abrir,,661,M569x537S14746431x504S14752537x513S1475a506x514S28b08549x463S28b10496x465S16d40456x517S20500438x521
cine,,223,M535x533S20352493x508S37814503x515S14c20490x475S23702465x467
Muchas Gracias,,678,M526x536S14c39474x500S1a751503x511S1a737478x464S2d607499x483S20500478x512
nacer,,395,M550x562S30a00481x482S36d00479x517S33e00481x483S37813520x517S3781b450x518S37716525x545S37716451x543S16037469x531S16032501x540S20e00488x550
Tenango de doria,,393,M563x613S1d410502x531S1d418468x530S30a00483x483S14c00476x559S14c08504x559S36d00479x519S37600489x590S37813521x520S3781b450x520S37716525x547S37716451x546S33e00483x482S2a002537x562S2a01a443x562
yo,,394,M541x558S36d00479x517S30a00481x483S34000481x483S10011498x527S37912519x517S37715514x548S20500487x530
número,#,665,M521x519S2035a492x504S17811502x482S22110479x481
baño,(bathroom),1426,M540x550S14702487x509S21100494x491S36d00479x465S2f700496x451S2360c460x532S23608501x533
traer,(bring),1307,M564x545S1f502478x456S1f500540x464S22b13459x487S22b03523x487S14c30437x513S14c30501x514
llamar por teléfono,(call by phone),1547,M539x518S19a02519x485S33010479x483S26500524x468
calma,"calmado, calmar, (calm)",1384,M530x592S15d50511x547S15d58469x546S30721479x470S31900481x495S2f800480x457S2fb00491x562S23404482x578
no poder,(can't),1421,M518x546S22104478x534S30126482x476S1f510493x531S30004482x489S35010495x510
poder,"(can, be able to)",1418,M547x527S1d812466x510S36d00479x478S25607496x489S1d821522x473
carro,"auto, automóvil, coche, (car)",1534,M515x531S20356494x516S1f550485x492S20f00489x469
cobrar,(charge money),1537,M529x527S15a37506x474S1e131481x489S20e00471x479S26507475x514
curso,"clase, (class, learning course)",1434,M543x515S17f38458x486S18540472x499S20700525x498S20700504x498
sucio,"(dirty), ensuciar",1528,M518x544S30004482x483S35010494x504S14c32482x519S22512467x522S30c30488x489
