canonical_gloss,synonyms,sid,FSW
1,,1711,M508x515S10020493x485
un mil,1000,1230,M548x515S10020452x485S15a31511x490S15a13525x486
2,,1712,M508x515S10e20493x485
3,,1713,M509x515S18720491x486
4,,1714,M511x516S14420489x485
5,,1715,M512x516S14c20489x485
6,,1716,M508x512S1f502493x488
7,,1717,M515x512S1dc02485x488
7-UP,,977,M549x533S1dc01451x475S2df04479x486S11520509x468S14002494x504S37706523x511S22e03530x483
8,,1718,M515x512S11e02485x489
9,,1719,M515x510S18e02485x490
?Cual es el problema?,,1472,
?Cual es el problema?1,,1377,M560x524S30004482x483S31100483x483S20500515x476S20500518x513S29f0c528x485S11502530x466
?Cual es el problema?2,,1378,S38700463x496
?Cual es el problema?3,,1379,M569x617S33300482x483S20e00498x561S11002516x568S1100a462x554S2fc04496x596S37706544x574S37706436x561S22a00529x590S22a04529x602S22a10463x577S22a14463x588
?Cual es el problema?4,,1380,M535x588S33300482x483S14c40510x522S14c48470x521S2a210470x560S2a208512x559
?Cual es el problema?5,,1381,S38900464x493
?Donde esta el bano?,,1192,M618x581S33300443x483S10120464x523S26502453x567S26506462x567S26532461x561S30007521x482S20500555x474S1dc20571x457S22e04601x474
`,,1705,M518x519S11a10483x489S2a204495x481
a,,786,M512x528S10020488x498S2b700493x473
A,,1678,M510x508S1f720490x493
a-traves,,436,M520x536S15d40484x509S15d0a479x480S2b700501x463
a-veces,,882,M557x536S15a50473x486S15a10506x464S22a00536x494S22a14447x521S22a10448x517S22a04535x502S23204531x470S23214442x496
abajo,,254,M519x524S10004504x477S22b04480x494
abanico,,190,M569x517S15310520x487S32a00482x482S2e100546x484
abeja,,587,M632x518S30006418x483S20500443x483S2990d468x481S1eb10500x478S32a10546x481S15310578x484S26606602x484
abeja,,1011,M632x519S30006418x484S20500456x496S2990d468x482S26606602x485S32a10546x482S15310578x485S1d410500x470
abeja,,1424,M657x519S30006401x482S20500441x493S2990d454x483S15310604x486S1da10487x470S32a10564x484S26606627x496
abierto,,111,M556x523S15a00471x496S15a00501x496S20500483x477S26606526x497S26612443x497
abogado,,14,M573x549S33b00482x482S17710415x533S17718379x534S14710507x508S26b00440x523S26b10346x523S26f00533x491
abonada,,871,M515x534S15a10485x466S2330a489x504
aborto,,448,M586x539S15a36408x489S15a32433x479S14c50562x493S17600494x500S20500411x467S2fb00411x460S2f700539x507S26c22424x512S26600527x504S22100535x484S20500476x502S36d00479x520S36d00479x528
abrigo,,755,M559x552S36e00477x449S1f70a439x467S1f702482x508S1f702513x465S1f70a482x532S22b00475x476S22b03503x499S22b15444x520S20500463x520S2e31c415x468S2e304536x469
abril,,486,M542x529S11e52512x499S11e5a465x500S20500457x518S20500507x517S22520485x471
abrir,,230,M554x522S15a00473x495S15a00499x495S20500484x478S26606524x494S26612445x493
abuelo,,392,M518x545S30004482x482S20600483x509S20300487x530
aburrido,,153,M559x536S36d00479x465S18011504x473S18037507x511S20500488x488S2c300533x489
aburrido,,231,M525x548S30003481x483S30005482x483S20301504x506S20305464x505S22a00499x522S22a04498x533S22a10474x522S22a14473x531
aburrido,,929,M548x579S30003482x483S30005482x483S20500514x515S20500476x514S20303521x522S20303460x521S22a00513x543S22a10479x543S22a04513x553S22a14479x553S2fc04495x568S37702535x537S3770a454x535
accidente,,189,M555x518S15d18445x491S20300486x496S37605498x482
accidente,,1447,M549x514S15d48452x487S20b00476x496S20304509x498S37706524x506
aceite,,186,M527x519S1f524476x480S15a36473x507S2e73a502x487
aceite,,964,M526x521S15a36474x509S1f522479x480S2e736501x489
aceptar,,824,M555x539S14c58478x461S14c50517x462S17718466x519S17710533x519S26604528x492S26614466x490S20500515x527S20500475x528S22104444x497S22104543x498
aceptar,,1590,M578x533S36d00479x499S17d20514x467S17d28461x467S20500510x521S20500480x521S17700524x518S17708456x517S26604539x468S26614441x467S22104526x492S22104456x494S2df04557x474S2df1c421x474
acido,,147,M589x565S31500482x482S32c00482x482S11500483x521S20500466x504S17730533x528S1f732574x525S22a04566x550
acompanar,,117,M529x519S2b720486x480S20500486x501S1f740509x504S1f748470x502
acuerdo,,262,M558x514S2a200535x485S2a218441x486S1f740507x493S1f748467x490
adios,,44,M525x516S14c20474x483S26502497x502S26506510x502
adjetivo,,322,M526x518S1150a488x503S1f720473x482S26506511x483
aduana,,763,M548x553S15a18497x477S15a10526x477S28812494x448S28802526x447S26610451x523S26600528x523S1f750503x516S1f758472x514
adulto,,340,M563x517S30006482x482S20500510x469S20500510x490S22a00527x482S1f720543x498
adverbio,,745,M536x531S1150a465x516S22b03491x484S15d01513x468S2fb06466x493S2fb02463x493
aeropuerto,,721,M569x532S15a56504x520S36d00479x523S2890d527x498S1e442539x470S20324548x468
aeropuerto,,1573,M539x530S37716461x522S15a56485x518S20e00484x501S2880d499x494S19a52519x471
Afganistan,,432,M555x549S2ff00482x482S1f720516x457S2880c539x488S1d220526x521
Afganistan,,1270,M599x536S2ff00482x483S1f720539x470S2880b566x486S1d220570x508
Africa,,752,M539x520S2ff00482x483S22b03471x496S15d01516x481S1f720409x496
afuera-de-la-casa,,701,M560x534S15a19439x489S15a11468x490S20600448x466S15a06508x504S15a02533x522S2b700533x492
agarrar,,479,M525x522S15340510x478S15348475x479S26514476x506S26504510x507
agosto,,683,M537x534S30002481x482S30006482x482S15a18458x484S15a10514x485S22f14451x520S22f04512x519
agua,,7,M522x530S2c305478x506S1f540507x496S20500503x470
aguacate,,357,M544x521S15a30456x488S15a40487x494S2b700508x478S2b700525x478
aguacate,,965,M542x522S15a30458x489S15a40492x495S21100477x498S2b700507x479S2b700523x479
aguila,,693,M610x533S15a52419x511S15a56502x507S22804481x469S22800468x467S22800493x467S22e04523x510S22e00525x495S22e10390x500S22e14390x515S12250588x500S2b700588x470S2b711562x471S12258557x501
aguja,,309,M528x567S32c00482x482S1000a474x530S1ef10499x525S26506503x553S22104514x545
ahora,,477,M557x540S20356498x481S36d00479x481S10050479x490S20500470x460S10004542x510S22b04518x508
ahora,,1077,M534x542S2a200510x486S2a218468x486S10a20506x516S10a28468x516S16f30508x459S16f38467x459
aire,,695,M527x543S33100482x482S22b07503x503S15d01473x520
ajedrez,,330,M531x558S15a30367x531S16d48457x474S16d40513x473S20500379x535S30007482x482S20500378x516S30001482x482S20500391x526S22a14457x493S22a04515x495S12951410x511
ajo,,26,M554x519S1f728446x504S1f903472x496S23000518x480S2f700542x485
ala,,336,M525x516S15a56475x496S22e00508x483S22e04506x498
alacran,,510,M562x577S10e58404x547S10e50445x546S22120402x521S22124400x499S22124440x499S22120442x520S20600442x510S20600403x510S10a20523x491S26900546x488S2ff00482x482
alambra-electrico,,799,M581x526S26612418x510S26606474x510S20600540x474S1181f527x491S11817556x492S1f128424x490S1f120466x490
alas,,801,M609x540S15a52420x505S15a56503x501S22804482x463S22800469x461S22800494x461S22e04524x504S22e00526x489S22e10391x494S22e14391x509S2b700590x517
Alaska,,829,M546x531S1f720454x474S14021515x475S22b06480x470S22b04511x501
albanil,,648,M608x541S16d18403x502S16d18476x500S16d10437x502S16d18549x499S15a41561x480S15a30505x514S15a51487x480S28901427x471S28911392x472S2a206514x489S2a400583x459S26606519x466
alberto,,914,M534x518S20500496x483S15a02507x482S15a06467x483S26930515x498S26930469x498S26500516x503S26510470x503
alcadia,,425,M526x533S20500474x499S2fb00475x492S22130494x467S20357496x512S17630495x485
alcaldia,,1112,M523x535S17630480x477S22120478x465S37e42486x498S20500487x506S20359502x504S3771b490x513
alce,,838,M555x534S30001482x483S30007482x483S14c28449x479S20500462x468S14c20519x478S20500502x467S28905528x509S2891d439x509
alce,,1012,M600x518S30001482x482S30007483x483S20500516x475S20500476x476S14c10526x458S14c18455x458S26612427x485S26606548x484S2df04551x460S2df1c433x463S14c20577x458S14c28405x457
alcohol-antispetico,,78,M558x533S2a208467x488S17732524x468S17710468x518S22a04544x505S22a00545x492S1f758442x507
alegre,,452,M528x548S36d00479x453S14c01502x493S14c09460x492S2ea00500x522S2ea18462x523
alegre,,916,M535x546S36d00479x455S20e00509x475S20e00481x475S14c01509x493S14c09468x492S2ea18475x521S2ea00512x521
Alemania,,204,M527x515S20600473x486S1dc10503x485
Alemania,,1271,M542x518S31100482x483S20600491x466S1dc10518x458
alfabeto-manual,,51,M543x527S1f721457x483S14720491x473S16d17523x481S26500491x494S2d608490x515S26507504x501S26501477x499
alfil,,201,M570x523S15a18430x482S15a10453x482S15a30491x496S20500438x478S20500500x484S20500510x496S26501518x483S12951542x480
alfombra,,506,M586x542S10051457x479S10059413x477S20500432x457S20500431x504S2d60a458x503S2d612413x504S17d20550x503S17d28517x503S26612513x526S26606556x526S22134510x478S22134547x478
alfombrilla,,1158,M602x528S20500435x473S10051448x478S10059399x479S2d612405x508S2d60a457x507S20500437x517S20500558x484S15a50570x474S15a50542x474S26612522x500S26606572x499
algodon,,535,M523x529S15738505x502S22120501x479S22124500x470S36d00479x515
alicates,,177,M546x520S1000a453x480S10e40474x490S2c405507x482
alli,,758,M511x527S10057490x497S26607488x473
alli-2,,12,M522x525S10051492x504S26601478x474
alma,,1520,M538x533S17111484x493S22a07502x482S15d39473x510S21100463x498S22104464x489S1f720518x468
almeja,,1013,M537x522S20600472x478S17150485x494S17138463x495S20500477x511S23000512x489
almohada,,414,M539x552S32a00482x482S22134507x509S22134455x508S16d20512x531S16d28460x532
almohada,,1166,M580x572S32a00420x483S22120450x536S22124450x525S22120408x536S22124407x525S15d21456x548S15d29402x549S31600542x482S15a11529x505S15a1f519x515S20500530x487S36d23538x547
almuerzo,,655,M535x524S17d10433x504S17d18314x504S26512337x506S26506408x505S16d10385x503S16d18355x504S33b00482x482S18207518x495S22124510x472
alquilar-una-casa,,85,M610x546S15a19389x521S15a11415x522S20600399x499S20500553x489S22b07566x470S10052516x497S10018560x516S10048500x509S26a00452x504S2f700587x454S2fb00474x499S1ea21582x490
altercar,,597,M519x530S11550488x500S22520480x470S2f700507x470
alto-alta,,652,M530x534S2ff00482x483S22c00514x462S15a50518x507
alumnos,,583,M539x533S36d00476x499S36d00497x499S20356517x499S20500475x479S20500454x479S20500498x480S2fb06500x480S2fb02493x480S2fb06476x479S2fb02472x479S2fb06456x478S2fb02451x478S36d00461x499S26602475x466S1f710507x518
amanecer,,1096,M562x572S37816505x543S15a56535x540S17700529x557S22c00517x511S37e40513x558S37e44504x558S2ff00482x483S22100534x508S15701521x476
amar,,45,M521x524S36d01479x513S36d01479x513S20301496x501S2030b461x500S20500492x476S20500458x476
amar,,1593,M526x531S36d00479x469S20500479x478S20500510x479S20301473x494S20301505x493S37703488x509S3770b490x509
amarillo,,474,M529x512S2e50e502x489S1f720471x488
ambos,,732,M535x550S16d0a465x479S10e00508x451S11500507x520S22b04505x481S22104523x493
ambulancia,,9,M523x524S15738478x497S2e104500x475
ambulancia,,1449,M568x519S2ff00482x483S15700522x460S15708461x461S37800534x486S37800467x487S2e104545x463S2e11c432x467
America,,289,M517x527S15d22490x474S15d0a484x508S20500483x488
America,,1262,M549x529S20500494x494S15d0a481x510S15d22490x472S37806517x478S37806451x523
America del Norte,,1263,M540x533S20500496x491S1f502492x509S15d22483x468S37806508x474S37806461x525
America del Sur,,1264,M539x534S1f522494x467S20500498x497S15d0a492x515S37806507x473S37806461x527
America-del-Norte,,817,M516x526S15d22489x474S1f500487x511S20500483x487
America-del-Sur,,848,M514x528S15d0a486x509S20500487x491S1f524490x473
amigo,,489,M519x527S1712e482x489S1710a483x474S27120480x512
amor,,313,M525x546S33100475x482S31600475x482S33e00475x482S37600479x523S20301453x524S20307503x525S36e00479x511S20500501x503S20500450x502
anaranjado,,481,M557x514S15051442x486S20357536x492S2d608492x496
anciano,,205,M520x545S30004482x482S20310487x530S26904504x512
andar,,356,M543x516S15a50479x489S15a50505x484S2ea00528x485S2ea4c457x491
andar,,545,M523x520S10e04479x480S22520476x507S26600507x479
angel,,447,M587x535S15a18478x507S15a10503x508S20500487x505S2891f454x500S28907527x500S23014412x465S23004562x465S15d57536x470S15d5f445x470
anguila,,462,M525x576S33b00482x482S15a40488x544S2dd06509x536
anguila,,1014,M524x576S15a40434x538S2dd06450x525S36100482x483S20350509x537S20358486x547S2f920499x565
angustiada,,136,M539x531S15a10508x504S15a18478x504S22a04525x511S22a10462x501S22a14461x509S22a00526x500S2fb04517x468S2fb00518x469
animales,,1,M556x518S2751c444x494S27504532x492S20500485x482S1f728471x485S1f720506x487
ano,,816,M537x537S37601499x463S20300499x491S20300500x512S20500476x484S20500476x500S2e700522x487S2e74c462x512
ano,,900,M564x530S20302491x476S20302491x498S37806505x483S2e744435x493S37806456x505S20500476x472S2fc04492x519S2e700549x471
ano,,1090,M538x522S20300492x478S20300492x499S20500478x490S37806506x484S37806463x508S2e700514x497
ANSNIC,,581,M533x524S1f728472x507S1f720508x509S20500487x507S20500487x475S2df1e467x484S2df06513x484
Antartida,,1258,M562x558S20500463x465S20500463x497S16f51471x443S16f59445x443S2a202439x481S2a21a478x481S16f38536x473S20500545x499S37e46546x513S10000538x528
anteojos,,627,M557x517S31400482x482S20500509x477S20500455x478S1ed10531x480S1ed18438x480
antes,,110,M536x534S2b905516x503S36d00479x489S15a00507x466
antes,,140,M537x534S15a48485x465S15a02510x485S26604463x504S20500474x517S20500473x483
antes,,318,M521x532S26604504x502S36d00479x492S15a00504x468
antes,,1078,M551x532S36d00479x504S15a00528x469S2b905531x501
antes,,1079,M536x530S37800502x497S37b0b502x518S15a48496x470S15a02509x497S26604465x498S20500487x499S20500487x519
antiseptico,,1469,M523x541S17648312x525S1775c332x515S20700320x495S2a428348x460S2a428378x460S21100454x481S22f04449x498S36d00479x472S37b10498x466S37800477x477S37706498x494S17702486x493
apagar,,660,M523x528S15d20477x472S17750476x513S22b04494x479S22104511x492
aparato-del-oido,,517,M519x516S26900503x484S10a20480x490
apellido,,59,M573x530S20500426x477S26606543x510S11549432x503S11541458x493S2fb00427x470S1ef20510x510
aplauso,,270,M538x519S2ff00482x482S14c20515x447S14c28455x448S2e230454x485S2e230517x487
apoyar,,622,M535x541S20301464x490S20301487x520S20600478x499S20500496x499S22a21481x458S22a21501x481S22a21522x503
aprender,,855,M528x553S20500472x448S17710508x465S22b00498x490S22104513x512S15a36473x518S15d51486x530
aprender,,1594,M550x580S31100482x483S20500496x470S17700519x480S22b00524x499S20e00526x532S22104538x530S15a36485x550S15d51498x557
apunalar-por-la-espalda,,811,M559x526S33b00482x482S22130446x496S22134443x473S30004482x482S20500434x485S20600451x485S2fb06515x508S16f10535x506
aqui,,523,M521x515S22b04480x485S10004506x485
Arabia Sautidita,,1272,M621x566S2ff00401x486S1f751451x471S22b03412x528S20b00388x547S15a30374x539S2ff00553x479S14c20598x472S14c28522x474S37100550x543S37108543x543S36d00551x559
Arabia-Saudi,,60,M588x556S2ff00414x481S1f751465x468S14c20565x463S14c28512x465S2ff00534x483S15a30401x529S22b03443x497S37401542x515
arana,,159,M533x537S15758473x493S1d25a505x463S20500497x484S20500515x484S22b04496x507S22b04515x507S22510467x466
