canonical_gloss,synonyms,sid,FSW
uno,1,49,M547x565S10020516x535S34600454x483S34400511x483S35d00483x483
diez,10,53,M565x611S1f550524x534S2a408528x554S2a208530x583S34800467x483S34a00498x483S36100529x483S35d00436x483
cien,100,104,M565x559S36100436x483S16d10541x539S34800467x483S34700498x483S10020493x529S26506517x544S35d00529x483
dos,2,50,M548x560S10e20518x530S35d00452x483S36100512x483S34400482x483
doscientos,200,108,M624x567S34400402x483S34800456x483S34700485x483S34400561x483S35d00376x483S36100428x483S35d04511x483S35d00536x483S36100588x483S10e20506x535S26506533x551S16d10563x547
tres,3,27,M563x562S11e20524x532S35d00437x483S34700497x483S36100527x483S35d04467x483
cuatro,4,51,M608x567S14420558x536S35d00512x483S35d04542x483S34c00482x483S34400572x483S34600452x483S35700422x483S35d04392x483
Cuatro,"cuatro, CUATRO, 4",133,M511x516S14420489x485
cinco,5,44,M580x567S14c20537x536S36100420x483S35d04513x483S35d00482x483S34400544x483S34800451x483
seis,6,38,M564x562S18720531x533S34a00466x483S34800497x483S36100436x483S36100528x483
Seis,"seis, SEIS, 6",134,M509x515S18720491x486
siete,7,23,M580x560S1a520544x532S36100420x483S34800451x483S34700544x483S35d00513x483S34a00482x483
Siete,"siete, SIETE, 7",135,M511x514S1a520490x486
ocho,8,40,M565x564S1bb20531x536S35d00467x483S34500498x483S34900436x483S34400529x483
nueve,9,41,M576x566S1ce20492x536S34600454x483S34a00482x483S34700540x483S36500511x483S35d00425x483
a,A,92,M528x545S1f540513x521S34c00482x483
respeto,A_Ich_brauche_Hilfe_Woe?_Die_Haende_und_Pfeile_Keine_Ahnung..,86,M621x596S35000482x483S34700511x483S34400569x483S34700424x483S35d04396x483S36100453x483S35d00540x483S11a10605x496S11a18380x494S11a40605x566S11a48381x564S26600605x530S26610379x529
Abuela,"Abuelo, granfather, granmother",3,M530x543S1d10e482x520S36a00482x477S20800508x511S20800520x511
agua,,64,M592x518S34c00440x483S34600496x483S34c00524x483S35d04468x483S1f510571x502S26a04565x484
ahora,,58,M563x607S34c00437x483S34400467x483S34c00527x483S35d04497x483S19a00505x542S19a08466x542S22a04512x567S22a14474x568S2f900475x589S2f900512x588S2fb04492x601
amarillo,,11,M609x539S34c00392x483S34c00448x483S33b00420x483S35d04478x483S34400573x483S34800509x483S35700541x483S1dc01400x509S20600381x517
aprender,"Aprender, APRENDER",150,M533x596S30000482x483S15d3a473x577S15753486x553S20500501x576S22b00510x521S18500509x479
ayudar,"Ayudar, AYUDAR",151,M519x531S15d39494x508S1f502489x484S20500481x511S26520505x469
ayudar,,76,M596x612S15d39491x589S22b20494x529S20500514x578S34c00405x483S35700436x483S34c00529x483S35d00498x483S35d04560x483S34600467x483S1f540495x564
azul,,153,M513x536S1f540492x512S2a400488x464
azúcar,,91,M593x561S34c00527x483S34600467x483S34c00407x483S35d04557x483S35d04497x483S36100437x483S22114561x554S11500566x520S20e00555x519
año,,112,M564x572S34c00437x483S35700497x483S35d00467x483S34400528x483S20342496x535S2034a492x557S2ea00519x534S2ea14468x546
b,B,101,M547x545S35000467x483S34700497x483S14720533x523
Bajar,"bajar, BAJAR",132,M516x514S26504502x492S15a54485x487
baño,,120,M578x607S14720540x585S35000422x483S34c00452x483S34400542x483S35d00482x483S35700512x483S2e100536x533S2df00536x555
Bebé,"bebe, bebé",129,M533x600S15a32460x530S15a36506x556S20500467x544S37906486x536S37906466x561S20500512x542S26c22495x573S33e00482x483
Bebé,bebé,128,M547x605S15d3a484x540S15d32499x540S26632525x553S26632463x552S26522500x573S26526503x591S33e00482x483
bicicleta,,119,M624x604S20350495x576S2ea4c472x557S20358470x589S2ea00496x544S34c00588x483S36100432x483S35c00513x483S35d04488x483S35d00564x483S35000376x483S34800404x483S34800460x483S34700539x483
blanco,,155,M533x548S22a04520x533S21100520x515S35000482x483S32b10482x483S15a10520x486
Hermano,"Hermana, brother, sister",4,M522x525S1f738477x475S1f750494x489S37700489x490S21200494x511
buscar,,99,M631x518S35000395x483S34600424x483S34c00511x483S35d04482x483S35d04540x483S36100453x483S2e500608x489S16d10579x491S2ff00569x483
cama,,1,M524x517S1a318475x482S1a310501x482S20500496x506
