canonical_gloss,synonyms,sid,FSW
a,,9,M510x508S1f720490x493
A,,137,M510x508S1f720490x493
abril (april),,54,M571x523S15a10559x477S15a18430x479S1c510460x478S1c518513x477S20500548x487S20500443x487S22a06494x510
abuela (grandmother),,95,M547x576S30004478x437S20330489x490S21100490x474S22e30488x508S2d500512x494S2d504514x505S33010480x529S20800512x556S1d417522x551
abuelo (grandfather),,94,M539x567S30004482x483S20330493x537S21100494x520S22e30492x555S2d500516x546S2d504518x558
"adiós, chao (bye)",,118,M512x539S14c20489x461S22e30492x494S27106492x499
agosto (august),,58,M528x557S10610508x482S10618477x492S20500487x482S22e30507x512S22e30476x520S2d500506x466S2d510472x538S2d500506x444S2d508506x456S2d518474x527S2d518473x548S20500499x482
agua (water),,126,M529x544S33b00482x483S1f718491x529S2b700510x517
amarillo (yellow),,107,M546x532S30005482x483S20e00520x500S1d410517x504S26506522x475S26506522x459
amigo (friend),,100,M528x529S16f48473x490S16f10504x498S20a00495x471S22a24496x514
Anaranjado (orange color),,104,M528x532S1f720508x516S20300473x469S37a00479x484S20e00483x517S22a00483x498S22a00496x498
azul (blue),,102,M567x519S30005482x483S1bb10519x491S21b00528x481S14c18544x487S21b00537x481
b,,10,M507x511S14710493x489
bautismo (Baptism),,89,M529x582S36d00479x419S36d00479x483S36d00480x547S1f710474x446S1f718506x446S1f728473x504S1f700509x505S1f710473x567S1f718506x567
baño (bathroom),,124,M538x518S30007482x483S20500514x478S16020526x482S22104526x471
baño (bathroom),,125,M564x518S30007482x483S20500509x475S1dc20523x475S28900549x477
bebé (baby),,82,M545x531S15a32456x512S15a36518x512S37a05483x518S37a07472x518S20500496x507S26622482x483S26626486x469
Biblia (Bible),,88,M572x549S1c510462x452S1c518512x452S15a10560x453S15a18428x454S20500547x462S20500442x462S22a06493x485S15d31513x526S15d39466x525
blanco (white),,101,M533x528S36d00479x473S17630470x500S14c32502x504S21b00473x488S26506491x488
buenas noches (good night),,115,M545x617S34600479x445S21b00495x482S17600489x492S2ff00481x521S36d00479x561S16d10528x578S16d18455x575S21600532x568S21600459x566S17613506x583S1761b479x583S3790c467x596S37904491x596S20500495x604S22a03529x599S22a15462x596
buenas tardes (good afternoon),,114,M530x583S34600483x442S17600492x490S21b00501x481S33b00482x523S1ce12487x561S2ea30515x545
buenos días (good morning),,113,M541x585S34600482x442S17600492x490S26502519x571S30007482x524S20500514x519S16c10521x530S26502519x557S21b00502x481
buscar (to seek),,73,M555x518S29806511x466S10610524x491S31400482x483
c,,11,M509x510S16d10492x490
casa (house),,119,M528x519S15a11505x496S15a19472x496S20500489x481S20500501x481
colores (colors),,74,M547x539S33b00482x483S14c01513x512S14c09463x512S20e00519x497S20e00468x497S22504535x503S22504453x502
cristiano (christian),,90,M531x529S36d00480x335S36d00480x423S16d10471x358S16d10514x394S15a20447x353S16c02488x440S36d00479x525S2ff00481x483S22b04511x458S28a0b496x359S20500460x362S20500502x411
d,,12,M508x515S10110492x485
diciembre (december),,62,M530x547S30004482x483S20500505x516S20500485x516S16d36490x529S22b04514x513
Dios (God),,64,M551x523S28807531x481S16d10521x503S10110523x456S31400482x483
dolor (pain),,132,M543x521S1bb20522x492S1bb28457x493S21d00521x480S21d00461x479
domingo (sunday),,50,M551x518S30000482x483S20e00494x467S1f510516x466S26e04520x487
día (day),,41,M544x518S30007482x483S20500517x478S16c10524x492S26502516x457S26502516x441
e,,13,M508x509S16610492x491
edificio (building),,120,M550x550S15a10517x451S15a40517x523S15a18470x452S15a48470x522S22b00534x487S22b10450x484S22e30515x481S22e30469x483
enero (january),,51,M547x526S16c10527x505S36d00479x474S20500479x485S20500492x485S20500505x485S28802497x503
esposa (wife),,99,M546x530S10639475x414S10611498x422S20a00489x391S22a24490x448S33010479x483S20800512x510S1d417521x505
esposo (husband),,98,M525x540S10639476x488S10611502x492S20a00492x461S22a24495x525
f,,14,M512x514S1c310489x486
Familia (Family),,91,M562x536S1ce20511x464S1ce28467x464S1ce00510x504S1ce08473x506S20500495x480S20500498x521S2d606540x470S2d61e439x473
febrero (february),,52,M546x554S30000482x483S20500495x480S14c00522x471S22e30526x505S28802524x527S2880a524x512S2880a524x542
feliz (happy),,84,M558x527S19210513x473S19218464x473S2460a519x503S24612443x503
For,,5,M565x575S11a10550x545S10012527x493S2ff00482x482S20500517x480
g,,15,M522x527S16c56479x499S26a01501x474S22e30479x525
g,,16,M512x508S17e50489x493
gracias (thank you),,117,M534x560S30004482x483S20500506x515S20500485x515S15d09471x529S15d01511x529S26504503x545S26514486x545
gris (grey),,109,M523x514S1c310500x486S20500488x501S20500478x501
H,,134,M514x513S11547487x488
h,,17,M508x515S11540493x485
"habitación, cuarto (bedroom)",,123,M548x559S10020508x363S10028477x363S10020511x432S10028477x431S20500494x354S20500496x423S24302521x403S2431a454x404S30902482x478S31630489x497S15a11473x521S15a1f460x536S20500475x510S20500475x535
hermana (sister),,71,M551x533S20330384x476S37900390x490S20e00394x506S10012404x497S26a04412x519S33010479x483S1d410522x492S20800513x509
hermano (brother),,70,M531x530S20330470x471S37900476x486S20e00481x499S10012501x495S26a04491x516
hija (daughter),,67,M591x561S19a10405x503S19a18460x503S36d00428x489S36d00428x535S33010530x483S28a05475x530S28a1d395x531S20800564x509S18910572x490
hijo (son),,66,M555x538S36d00479x463S36d00479x512S19a10448x480S19a18521x479S28a05526x507S28a2d445x508
hipócrita (hipocrite),,77,M526x547S30000481x454S2ff02478x512S20500494x443S20500490x516S15a01503x466S15a21501x522
hola (hello),,111,M544x518S30007482x483S20500509x476S15a11521x486S22a07522x469
hombre (man),,76,M558x522S33b00482x483S1dc20534x449S1ea10524x501S21600531x448S20500516x509S22a04534x485
"hora, tiempo (hour, time)",,80,M526x530S20353500x470S10051496x509S3780b475x486S20500475x489S20500485x481
hotel (hotel),,122,M533x525S10e0a468x486S20500497x496S10020514x495S26a02519x475
i,,18,M511x510S19220490x491
I-don-,,3,
I-don-'t-know,,1,M533x517S30000482x482S20500501x468S20500487x468S1da10517x472
idea (idea),,86,M542x518S2ff00482x483S1bb10521x476S21b00529x464
"igual (equal, same)",,78,M523x523S10050508x493S10058477x493S20500504x478S20500487x478
importante (important),,79,M517x533S15a31492x468S22b04483x503S22b04501x503
j,,19,M522x522S19220480x478S22e30479x502S28a0c505x486
Jesús (Jesus),,87,M570x524S15a10558x479S15a18430x478S1c510457x477S1c518512x478S20500547x488S20500443x486S22a06491x511
jueves (thursday),,46,M535x523S15a50465x496S15a22467x477S20e00479x504S23404498x484
jueves (thursday),,47,M562x525S15d50508x475S15d58474x491S2fc04496x514S2361f439x493S2360d532x490
julio (july),,57,M535x528S19220467x481S1dc20511x473S22e30466x503S28c0d474x504
junio (june),,56,M527x525S11504512x479S19220474x475S22e30473x497S28c0d477x501
k,,20,M515x515S14010486x485
L,,136,M512x515S1dc20488x485
l,,21,M512x515S1dc20488x485
leer  (to read),,83,M542x539S15a07459x462S10e21475x478S24a05504x501
ley (law),,127,M527x518S15d28474x486S1dc20503x483S20500487x507S26504486x482
ll,,22,M512x533S1dc20488x503S26c02494x467
lunes (monday),,43,M521x517S1a050479x488S26500507x483
m,,23,M508x515S18c04493x485
mamá (mom),,68,M533x549S33b00482x483S20500507x502S20500484x503S10010518x505S26502504x535
martes (tuesday),,44,M540x530S15d51501x470S15d59461x480S20500481x491S20500493x491S22f25471x509S22f03519x492
marzo (march),,53,M533x538S2881a469x463S15a40514x510S28812468x479S28802511x479S2880a511x463S2880a511x495S2881a469x495S15a48474x511
mayo (may),,55,M526x532S16d44475x512S17630499x515S14c00494x468S21c00503x504S22a00513x498
mesa (table),,128,M556x524S15a50481x481S15a50509x481S20500495x477S23d04529x490S23d1c444x489
Mil,,133,M524x540S10020493x461S15a48476x507S18240497x525S20500487x521S22b04508x480
miércoles (wednesday),,45,M588x537S14e02512x486S14e06466x502S20e00504x478S20e00487x525S23628420x504S23608549x490S2fc04503x521S36d00479x463
morado (purple),,105,M543x531S31400482x483S10011522x499S20e00495x498S2d504501x522
mujer (woman),,75,M547x528S33010479x483S20800521x485S1d417522x503
n,,24,M508x515S11504493x485
nada (nothing),,81,M536x538S1ce10514x462S1ce18464x463S23602515x499S23626468x499
"necesitar, faltar (to need, to miss an object))",,85,M514x524S10030486x494S21600494x477S21600506x477
negro (black),,106,M518x522S11557482x494S1155f493x495S20500491x479S20500502x479
no (no),,131,M519x515S13d10481x500S21600487x489S22a06504x485
noviembre (november),,61,M526x519S11504475x482S23404489x505
nuevo (new),,65,M534x523S10e20519x493S10e28467x492S21900518x478S21900470x478
o,,26,M508x508S17610492x492
O,,135,M508x508S17610492x492
octubre (october),,60,M540x571S30004482x483S20e00494x521S10002510x520S23402509x534
p,,27,M515x510S12c40485x491
p,,28,M508x515S18c40493x485
papá (dad),,69,M541x524S2ff00482x483S20500495x508S20500494x482S10052511x509S22a00528x487
pensar (to think),,72,M584x518S30007482x483S18510520x487S22e30533x506S2e602551x482
perdón (sorry),,116,M528x527S15d51505x504S15d59480x492S21100482x473S21401472x490
q,,29,M515x521S18510485x480S22e30498x499S2d604486x508
q,,30,M515x508S1ef50486x493
r,,31,M508x515S11a20493x485
rancho (poor people's house),,121,M560x533S22e33459x500S15711507x488S20a00488x467S22b20491x503S15719465x487S22e31530x500S2a505535x503S2a513441x505
rojo (red),,108,M537x539S33b00482x483S20e00494x512S10a00518x513S21800519x502
rosado (pink),,110,M545x532S30006482x483S21100521x499S10610530x506
rr,,32,M509x542S11a20491x512S26506494x475S26502493x491S26502492x459
s,,34,M508x508S20320493x493
Seek,,2,M511x529S10810490x503S2e500488x470
semana (week),,42,M521x519S1f520483x504S22c06479x481
septiembre (september),,59,M531x527S1ce10509x489S1ce18470x497S20500494x508S27104478x474
si (yes),,130,M513x519S20320493x482S23004488x501
Sign--also-sign-language-,,6,M530x518S15a18469x482S15a10518x481S2ea00495x493
sobrina (niece),,97,M547x530S36d00478x405S15032482x420S20500489x411S26500487x453S26500505x453S33010480x483S20800512x510S1d417522x505
sobrino (nephew),,96,M521x531S36d00479x469S15032484x482S20500491x475S26500486x516S26500504x516
sábado (saturday),,49,M548x534S30005482x483S20e00518x503S1f510533x493S22f03526x513
t,,33,M512x511S1ea10489x490
Te quiero (I love you),,63,M514x515S19c20486x486
tía (aunt),,93,M548x530S10011500x439S10017469x442S20500492x427S20500502x427S26503516x425S33010479x483S20800513x511S1d417523x505
tío (uncle),,92,M526x527S26503513x474S10019475x497S20500487x478S20500498x479S10011499x494
u,,35,M508x515S11520493x485
v,,36,M508x515S10e20493x485
Venezuela,,4,M519x518S10e20482x482S26c02504x491
verdad (truth),,129,M570x604S33b00481x483S10001515x516S20500494x508S36d00479x561S1ce12491x580S22e32524x586S23604531x587
verde (green),,103,M559x543S36100482x483S1ce42489x521S20500483x516S20500474x516S27100519x509
viernes (friday),,48,M536x546S1005a464x530S10e10518x467S21800518x455S20500509x532S26516484x516S37a00524x498
w,,37,M509x515S18620491x485
x,,38,M508x513S10810493x487
y,,39,M514x510S19a20486x490
z,,40,M533x517S19220468x498S2460a494x483
ñ,,25,M512x542S11504494x465S2d500489x519S2d508489x504S2d508490x533S22e30493x458
