canonical_gloss,synonyms,sid,FSW
braten,,14744,M588x580S35000412x483S35d04440x483S34c00468x483S35d00496x483S26a10467x531S26a00506x533S15a30512x553S15a30474x552S34700524x483S35d00552x483S22104493x553
erledigt,pleite,13944,M562x613S30f00477x484S35630483x505S33900522x481S33706508x500S33702467x501S10001490x538S20301481x530S22b05510x562S10001541x583S21000515x542S3780b457x544S20a00460x530S2f700523x589
Generator,,24085,M615x589S35d04387x482S34700415x482S35d00446x482S34700476x483S35d04519x482S34c00549x482S35d00577x483S16d18419x544S10002440x553S2f000435x569S16d18536x546S15740554x542S17740595x552S26a06577x547
gebrochen,,995,M518x580S17640493x562S17648493x532S26602454x561S2f700467x573S2f900434x565S2f900495x551S30e00482x482S34400482x482
honorieren,,17685,M629x566S35d04538x482S20e00487x542S26606487x550S35d00452x482S35d04480x482S1f705474x523S15d3a455x543S34700565x483S34400426x482S34400371x482S35d00399x482S34800509x482S35d00593x482
rwth200267,,19229,M553x543S14411501x463S22b04523x491S14452501x521S22b00537x487S14428476x458S22b14447x487S22b10461x485S14458476x511S2fb04498x498
Server,,15657,M579x561S36100439x483S35d04497x482S34400468x483S36500526x482S15d37556x518S2ea0a543x546
Knoblauch,,13966,M600x527S35c00540x482S35d04424x482S35d00453x482S34400482x482S35000510x482S1ce10578x497
Sonderangebot,,6900,M553x606S34400481x482S36100454x482S35d00510x482S1dc20529x524S1f420524x591S22b04537x557
paar,,11851,M596x590S34800433x483S34c00404x483S35d00463x483S10000484x526S35000503x482S34c00531x482S35d04560x482S1f700533x539S14c00526x559S22322519x525
Herr_Weber,,14346,M570x598S26500485x447S11550553x558S30007449x482S11e11475x463S37a06449x596S37a06502x596S31400515x482S33f10522x502S22510548x542S26500549x522S31430457x493S33e10460x504
zart,,18205,M563x621S2f804480x610S35d04496x483S36100438x483S35d00526x483S34c00467x483S18540514x556S18548460x556S28806541x573S2881e439x578S22800517x569S22800475x569S21100515x583S21100474x584
Nest,,592,M563x591S17158476x536S17150497x535S2a20a504x562S2a212465x562S20500489x579S36100498x483S34700467x482S35d00438x482S35d00527x482
Sievershausen,,5756,M561x587S36100452x482S36500512x482S34800481x482S10e40544x547S2ea00546x520S37706460x585S37706492x585S37706523x585
test Val,,8759,M599x569S2ff00414x483S14412405x511S22522393x507S36520427x505S34c00446x483S36100475x483S36100522x482S34600550x483S18217582x533S18211516x552S28a02544x530S2f533538x544S2f533541x540
gib,,20623,M567x557S34800482x483S35d04453x482S15d31518x534S35000511x482S26607545x515
rwth200763,,20882,M544x545S14c20476x456S2e400480x493S14c51456x519S14c57518x497S14c20503x455
kopieren,,3407,M564x650S15d59484x534S16030485x560S22f04480x605S1853f482x623S20e00486x590S35d04435x482S34400465x482S34800528x482S35000496x482
operieren,,24267,M577x585S34400423x483S35000453x483S34700482x483S34800541x483S35d04511x483S1f52a462x539S26506497x549S15a1a461x565S21100482x549S2f900467x580
seven,7,21942,M564x562S34a00466x483S36100436x483S35d00528x484S36500497x482S1dc02510x538
Gesicht-mit-Nase,,18,M518x517S33100482x482
J,BSL_J,21968,M563x589S35d00438x483S34500468x483S34a00498x483S34800527x483S14c08470x539S10021475x557S21100522x535S22a01501x573S20500477x527S2fc04509x578S22a35503x575S22a33519x576S22a30524x568S22a30524x560S22a30524x552S37d0a526x574
Lehrkräfte,,22776,M644x594S35c00431x482S1ce20462x523S1ce28414x522S2fb04441x585S26a00458x562S26a10412x561S35d04478x482S22b04603x564S36500533x483S34a00505x482S20300569x519S36d00516x524S37809568x533S37901557x524S26504576x545S1ed26602x527S22b04621x564S26606614x550
Verbrecher,,12986,M610x597S20350488x561S20350468x561S20500481x582S2a208507x534S2a210443x535S35000482x482S35d04510x482S35800566x483S34700537x483S36500397x482S35d04453x482S34700425x482S1ed26591x533S22b04590x567
Liebe,,12623,M563x573S15d01482x549S36d00478x524S20500486x534S15d09472x550S31630536x495S35c00438x482S35000497x483S34700527x483S31630506x495S31630445x494S34800469x482S31630476x494
Brille,,7922,M544x517S1d010521x473S31400482x482S20500501x493S35010495x506
rwth10141,,18984,M518x558S2ff00482x483S1de10488x510S21100495x495S22a04492x543
Ort,,5821,M548x588S22a04512x552S15052481x531S15d39487x562S34400452x482S20500506x577S35d04483x482S35d00512x482
verbieten,,6468,M617x572S30c00382x482S36520395x505S34800412x483S27106504x532S35000469x483S34800498x482S34700554x482S35d00527x482S35d00581x483S10020478x539S35d04443x483
umschlagen,,17283,M617x592S33b00414x483S34600384x483S34500464x483S34c00522x483S35c00493x483S35d04552x483S14c08394x531S14c20427x531S2df04429x571S2df10392x570S34700581x483S14c01502x528S14c29540x532S37803524x549S3780b519x549S3780b519x550
your,,13658,M533x552S26500519x507S15d20510x525S31430489x494S33f00482x482
Gedicht,,22583,M591x600S35d04410x483S34700439x483S34800496x483S35800526x483S35d00469x483S35d00555x482S14c18454x527S14e11474x538S21100477x566S22a04477x585
rwth200517,,20578,M545x515S10e21515x487S2df00491x488S10e01455x485
Porto,,15213,M576x578S35000423x482S34400540x482S34400452x482S35d00511x482S35d04481x482S11539465x551S11551484x549S20610480x537
rwth10253,,19325,M544x538S10002492x465S1000b457x517S2e708529x462S2b711469x491S1000b467x466
wiedergutmachen,Wiedergutmachung,7926,M614x574S2df00415x525S36500385x483S34800414x483S11020440x518S11030393x520S26504393x550S34600477x482S1ce10510x519S26500516x500S33b00550x482S34c00578x482S20300564x552S20300576x536S20e00561x538S2e50e584x551
mutig,,6619,M521x550S36d00479x521S33b00482x482S1f702501x530S20b00483x531
notwendig,Notwendigkeit,21903,M593x577S26a00515x529S26a10448x529S10e00521x547S10e08453x545S35d00408x482S35d00468x482S34400437x483S36500498x483S34700527x483S35d00557x482S30c30414x489S30c30444x490S30c30475x490S30c30505x491S30c30534x490S30c30565x490S2f700546x532S2f700433x534
erhalten,,16918,M603x608S14c31470x534S2fb04450x585S18537427x580S1853f471x581S22a04466x568S22a14436x570S14c39429x532S34700397x482S35d00510x483S35d04425x483S34c00454x483S35c00482x484S34700539x484S35d00567x484
Kohlenmonoxid,,11443,M591x562S35d04409x483S34400441x483S35c00474x482S16d10498x532S2f900501x557S33b00526x482S34400555x483S17610572x535S26606526x536
Erdbeere,,8349,M589x568S34700415x483S35d04443x483S35d00473x482S35000518x483S34700548x482S1ef10560x537S15a51465x545S15a57438x544S26606495x546S26612403x546
Körperteil,,22739,M624x618S35d04376x480S35d04436x482S34400407x481S35000463x483S14c02441x529S14c0a388x530S22b04456x579S22b14389x577S21100459x553S21100390x555S35d00501x484S35c00588x486S34c00529x485S34800556x486S21100534x575S15d41550x544S2b704532x594S15d3a527x551
abstellen,,10228,M617x598S20350437x556S2ea4c404x541S20358400x573S2ea00434x524S35d00496x482S34c00393x481S35000422x481S34500467x482S34700523x482S20358557x582S20338517x582S2880a595x565S2881a565x563S14c31473x543S26505500x568S20338588x583S35c00571x484
ausbrechen,verbreiten,13796,M566x574S30e00482x482S35010495x505S20351503x553S20359475x553S14c50542x503S14c58437x502S27307523x529S2731f464x528
rwth200129,,19100,M577x556S2ff00482x483S19a00549x535S24e38520x526S1de10491x499S22a04494x534
Lasse,Lasse_S,23203,M576x606S33e00517x483S37806499x604S37806464x604S2f900524x565S1ce40554x523S34c00447x483S31630525x494S1ce28517x531S37806534x604S11811478x482S31430454x495
Auslegung,,5598,M589x571S34c00412x482S34600440x482S36100469x482S35c00497x482S34700524x482S35d04553x482S36f00474x521S36f50461x521S36f54528x525S36f54451x525S16f16470x546S16f1e501x547S2880a527x545S28812444x546
100000000000,,19535,M620x593S14c50561x558S33b00443x482S34800474x482S35c00504x482S22520558x544S26500565x524S34800531x483S34c00557x483S35d04584x483S26510497x523S22520490x544S14c58493x561S34600381x483S10010414x513S10040419x563S22a04414x553
analog,,14727,M586x599S10050488x569S10058461x569S34c00414x483S34c00468x483S34400522x483S35d00440x483S35c00495x483S35d04550x483S26600486x532S26610462x532
deinem,,2025,M614x562S35c00408x483S34800469x482S34c00439x482S35c00499x482S34700529x482S15d20587x535S26a00587x517S33b00557x482
rwth10963,,20298,M557x515S20300523x492S26500543x486S20309464x488S26510443x490S2fb04493x509
Georg,,2211,M539x560S30007482x482S20321518x477S20600502x469S31400482x482S34400482x482S37906481x558
Belgien,,11587,M568x574S35000453x482S34700483x482S37a06508x572S23404531x534S20e00539x519S37a06456x572S35c00511x482S14710537x494
Patricia,,24263,M546x556S33e00482x483S31430490x494S15010514x504S20600524x489S37906485x554
abdanken,,5716,M527x523S34c00482x488S30104482x477S16d40509x472S16d48472x473S2b727497x454
ausfallen,Ausfall,55,M593x578S36500497x483S2f900438x552S34c00407x483S2f900535x551S14c01499x549S14c09462x549S14c57550x547S14c5f412x551S2df08519x533S2df10445x533S36100467x483S34c00527x483S35c00557x483S34600437x483
dasselbe-wie,dasselbe,331,M605x588S34c00425x481S10e30518x540S27106543x548S35d00395x481S36100454x481S35c00513x482S34700484x482S35000541x482S34700569x483
Edelstahl,,13395,M623x586S34700377x482S34700436x482S35c00465x482S35d00406x482S36d00415x524S11e10435x533S20e00457x554S22f00460x533S35c00587x483S35d00533x482S34500505x482S34c00559x483S11541556x559S1154a531x565S20500552x543S20500565x543
VW-Variant,,11623,M593x645S36500407x481S35d00476x482S34c00446x482S34800502x483S34c00530x483S35d00557x483S15a52426x548S15a50524x547S15a40527x618S22d06466x546S22b04525x583
rwth201491,,21721,M558x557S2ff00482x483S20310543x493S26503528x516S14c01496x530
rechtfertigen,,10226,M605x583S34700423x482S35d04394x482S35800452x482S35d00482x482S36500511x482S34700539x482S35d04569x482S15d39467x560S15d02479x558S20e00496x545S26f00488x529S30c30489x488
schlau,"schlaue, schlaues, schlauen, schlauer",13623,M581x517S30007527x482S11810566x488S20600556x472S34500437x482S35c00468x482S34c00497x482S34600527x482
Sozialisation,,10986,M595x610S34400431x482S28803440x551S36d00440x525S21100440x573S36100405x482S36100460x482S11e01423x526S11e02407x550S35c00505x482S36100559x482S34800533x482S10002544x549S1000a523x555S2ea00554x579S2ea4c537x585S26520544x566
Artenschutzabkommen,,14026,M630x583S35d04418x482S20500613x541S20500565x542S26510471x526S34c00389x482S15d10426x551S15d18389x552S26500503x527S15d31607x558S34c00546x482S35000575x482S15d39543x554S26500426x531S34500477x482S20320503x549S20320471x549S15d59590x554S15d51556x560S26510397x529
groß,,12848,M570x575S14c48470x532S14c40507x531S30e30457x491S2fb04492x569S30e30517x491S35d04452x482S34400482x483S36100511x483S30e30488x491S26606540x544S26612432x545
Mineralwasser,,7126,M625x574S33b00399x482S34800428x482S35d00457x482S22a00489x511S14c00481x543S22520477x529S36500512x482S36100565x482S34c00538x482S18210584x511S20600603x498
Angabe,,15714,M589x576S34700553x483S35d04469x482S15d26530x557S35000524x482S34c00497x482S34c00411x482S35d00440x482S36d00480x524S26600540x527
Genauigkeit,,7799,M578x614S35d04421x481S34700452x482S35d00482x483S34c00513x482S34600542x482S1ce40494x538S1ce48458x538S25e04494x574S25e14463x575S36e00461x522S2f900497x607S2f900465x609
steigen,steigt,23520,M563x599S22b10468x533S14c58465x566S22b00521x532S14c50516x568S35d00468x482S34500438x482S34c00498x483S34800527x484
fragte,,11437,M563x534S30004482x483S20500496x519S1ce02511x512S26607541x480
Sabrina,,17365,M543x590S31400482x482S33e00482x482S14c02457x540S21100492x543S29a06508x541S36d00479x525S37906452x588S37906502x588
Auffassung,,15843,M625x518S34c00422x483S34600453x482S36500483x482S36100541x482S34c00512x482S14c10602x480S20310578x488S2d500587x471S2f900580x507
Korrosion,,950,M548x620S15050522x589S15058472x588S26600529x549S26610475x550S35d04452x482S35d04512x482S34400482x483
Artikulation_vor_Spiegel,AvS_mit_Symbolen,23157,M595x569S37a05442x449S36a10492x556S36a10503x509S33000489x475S33000521x506S36b00454x488S36b00484x522S36a10462x522S36a10534x540S37b05518x542S37a10441x480S37a10441x450S37705521x469S37a05441x526S37a05486x460S37810540x475S2fb02550x509S2fb02547x516S2fb02544x510S2fb02552x518S37800507x524S37800511x527S37900500x525S37900503x525S37800490x529S37800493x522S37800497x525S2fb00515x475S2fb00545x503S2fb00496x479S2fb00500x478S2fb00502x476S2fb02531x514S2fb02534x509S2fb02536x516S2fb02539x509S2fb02542x517S31430462x502S31630502x491S34c10412x431S35010432x433S35830456x433S35d10487x431S34710509x434S36520533x434S35d14554x432S34810571x434S35730573x454S35c10578x471S33b10577x494S34410580x506S36110577x522S34610577x552S30c30406x479S30a30405x457S30e30406x503S31430408x521S31630410x544S31e30409x554S31f30445x558S33e10465x511S34510574x536S34110506x498S31530409x532S34010555x559S34310530x559
Band,,8068,M560x577S35000453x482S34c00482x482S35d00511x482S1ed26541x514S22b04541x547
sorgfältig,,7821,M536x578S36500468x482S36d00480x520S1ce0a467x528S1ce02506x528S2ea00518x553S2ea4c478x552S34a00496x482
rwth10249,,19321,M535x556S16e03508x530S26500509x513S15d48465x444S15d49491x475S26514485x456S16e42504x493S20500503x486S22a24522x480
Eier,,20540,M590x560S2a502557x537S34c00440x483S34800469x483S2f900540x555S1ed10526x531S34700497x483S35d04525x483
komm,,2183,M549x536S30a00482x488S30300482x477S34e00482x488S10a30526x510S21800531x496S36e00477x520
Gemüsemesser,,14055,M623x592S35d04377x483S34700404x482S33b00431x483S34600457x482S34700557x482S36100487x482S1533f454x556S15337415x557S2e509452x523S2e511421x524S33b00528x482S36100587x482S10049535x547S10041546x544S2f900532x579S21100560x535S27101562x566
beträufeln,beträufelt,23936,M593x570S35000408x483S34700438x483S35d00467x483S34800527x483S34400497x483S36500557x483S18550472x554S22114464x539S22104449x539S26606502x554
Demonstrativpronomen,,5164,M636x594S35d00388x482S34700418x483S33b00446x483S22114610x491S35d00522x482S20e00610x477S35000484x482S34400547x482S10057433x527S1005f397x542S27107457x531S27115406x568S33b00575x483S30006575x483S11511607x499S1ce20512x531S26500502x522
vier,,3506,M548x583S34700512x483S36500452x483S34800482x483S14520506x534S22a04512x568
Kopfbewegung nach links,,14387,M518x523S30102482x477S32402482x488
abstrakt,,16552,M639x518S35d00469x483S14c11606x466S2ea06614x497S34c00525x483S35d04495x483S35000417x483S34c00391x482S36100442x483S35d04548x483S35d00574x482
rwth201305,,21552,M523x571S1c512479x488S22a10486x530S15d1a480x552S1c511480x429S15d0a478x505S22a04488x465S20500513x507
