dic_gloss,synonyms,sid,FSW
1,,24,M514x509S15d02487x490
2,,32,M510x514S19a02490x486
3,,31,M507x511S1ca10492x488
3,,474,M508x512S1ca20493x489
4,,33,M514x514S1d210485x486
4,,475,M508x515S1da20492x486
5,,34,M507x512S1f902492x489
5,,476,M508x509S1f802493x491
6,,23,M508x515S10110492x485
6,,477,M508x515S10120492x485
7,,35,M513x510S15f02486x490
8,,36,M510x515S1d510489x486
8,,478,M511x515S1d520490x486
9,,37,M508x515S1011c492x485
9,,479,M508x515S10104492x485
1997,,373,M570x512S15d02431x491S10003468x489S10003501x491S15f02543x490
",",,99,S38700463x496
.,,104,S38800464x496
0 (number),,480,M508x508S17610492x492
A,a,29,M514x512S14310485x488
aberta,"abrir, Abrir",246,M543x521S15d02502x502S15d0a474x502S2df0e523x480S2df16458x480
abrir,"ABRIR, Abrir",400,M541x529S20352505x514S2035a484x514S37900539x487S37900461x487S20310526x471S20318460x472S28812473x498S2880a508x497
Acabar,acabar,262,M526x535S15a51475x500S15a57503x501S26606479x482S26612487x466S26631493x519S26633494x517
acordo,,182,M536x520S20310520x481S20318465x481S26904520x501S26914465x502
ADORAR,,453,M536x568S34000465x483S36500494x483S33500488x483S36d00478x536S15d01465x545S20500490x550
ADQUIRIR,,465,M544x561S14c39518x460S2d700479x455S22604495x440S1f831456x462S16d4a487x530S20500492x550S2f700516x552S15652486x509S20700515x533
advogado,,195,M533x569S18540478x450S18508479x432S37800482x447S21000501x468S22a05520x484S18500495x504S37800514x519S18548495x523S21000480x540S22a13467x555
agora,,169,M534x523S15a31508x478S15a39469x478S22f04509x509S22f14466x509
agua,,146,M518x546S33b00482x483S1f510493x513S26a04488x532
Ainda,"AINDA, ainda",379,M547x533S30005482x483S1f514518x514S20e00501x521S22f00522x495
ainda-não,AINDA-NÃO,380,M547x539S30005482x489S1f514518x520S20e00501x527S22f00522x501S30122482x476
Ajudar,ajudar,263,M531x532S15a31508x503S15a37469x501S26a01504x471S26a17478x469S2fb04491x526
alfabeto,,alfabeto,
alfabeto A,,214,M515x511S14110486x490
alfabeto B,,215,M508x512S1f502493x488
alfabeto C,,216,M509x510S16d10492x490
alfabeto D,,251,M514x517S20500497x506S15d32487x483
alfabeto E,,252,M512x511S1ea10489x490
alfabeto F,,284,M509x515S1d810492x486
alfabeto G,,304,M508x508S20310493x493
alfabeto H,,305,M507x515S1d610493x486
alfabeto I,,306,M511x510S19210490x491
