dic_gloss,synonyms,sid,FSW
3%,,30904,M532x527S1ce10510x473S23103497x499S18600468x497
97%,,30903,M548x530S17552452x509S1f240471x507S1ce10526x471S23103513x497
1,,20321,M508x515S10020493x485
1,,28849,M517x513S17610483x497S1f502502x488
1,,33013,M546x583S30122482x476S36d10479x537S20335459x562S20333521x560S3770a533x541S37705521x536S37707455x536S37702454x542
1,,34572,M515x552S1f420486x482S15a56487x540S37900507x496S26c02499x448
1,,36779,M555x529S20320446x480S10020490x492S2890a475x472S11850532x482S22a04539x514
1,,36895,M538x544S30140483x477S37400479x532S14c10515x506S14c18463x508S34410497x511S20500522x494S20500470x494
1,,44014,M521x515S36d00479x485S15301479x492S20600456x488
1,,44050,M527x540S18d10506x515S33b00482x483S20500517x505S20500473x506S2d500487x524
1,,44054,M529x553S33b00482x483S18d10508x514S18d00475x514S2d500490x544S20500519x503S20500471x502
1,,9885,
1,1,33327,M518x524S2ff01482x489S30350496x476S32410491x503S30a30489x494
1,"UM, UMA, um, uma",38783,M508x512S1f502493x488
1,"Um, um, primeiro, 1º, enumeração, enumerar",62647,M527x523S1000a474x491S10011506x493S20600499x478
1,"primeiro, um, primeiro de três, 3",62479,M527x518S10002497x500S18606474x500S20600487x483
1,"um, numeral 1",14967,M508x512S1f502493x488
1,"um, número",3266,M508x515S10000493x485
1,"um, uma, número",5529,M508x512S1f502493x488
1,,12059,
1,,12069,
1,,13142,
1,,14075,M508x515S10000493x485
1,,16961,M508x512S1f502493x488
1,,17647,M508x515S10000493x485
1,,17648,M508x515S10000493x485
1,,19166,M508x512S1f502493x488
1,,21584,M508x515S10008493x485
1,,25154,M561x583S31400482x483S14c20538x520S14c27437x526S26c02533x556S22a15462x551
1,,25642,M521x523S36d00479x477S10000490x493S20500483x485
1,,26199,M509x515S1df00491x485
1,,28506,M508x515S10020493x485
1,,41965,M513x518S1f502493x488S37800511x484S37800488x484S37706488x482S37706488x516
1,,4476,M530x567S32a00482x483S15310512x523S26506515x549S2fb04492x561
1,,450,AS10000M507x515S10000492x485
1,,451,AS1f540M507x512S1f540492x488
1,,45106,
1,,51475,
1,,57139,
1,,5974,M508x515S10000493x485
1,,6176,M517x515S1dc10483x485S20500507x501
1,,63710,
1,um,2865,M508x512S1f502493x488
100%,,44176,M561x529S10000440x475S17610459x490S17610478x489S26606452x510S1ce20516x472S23603532x499
2,,20323,M508x515S10e20493x485
2,,28850,M526x512S17610475x494S1dc02496x488
2,,36893,M574x521S36e00477x497S37703522x499S3770b457x498S37708543x495S37708457x493S14c32428x480S14c3a543x481
2,,36894,M564x520S36e00477x494S14c36533x481S37702522x495S37700533x493S37700465x495S3770a465x496S14c3e436x483
2,,44015,M550x576S36b00482x482S15d00521x499S15d08460x497S2c600523x527S2c611460x525S15d52523x557S15d5a450x555
2,,44053,M524x549S30004482x483S10a00509x519S22f02491x524
2,"Dois, dois, segundo, 2º, 2ª, enumerar, enumeração",62648,M524x525S10011503x495S10e09476x484S20600500x475
2,"dois, duas, número",5530,M515x512S1dc02485x488
2,"dois, número",493,M508x515S10e00493x485
2,"dois, segundo",62481,M529x520S10002499x501S10e09472x490S20600496x481
2,,14076,M508x515S10010493x485
2,,16962,M515x512S1dc02485x488
2,,17650,M508x515S10e00493x485
2,,21404,
2,,25558,M506x514S15a50494x487
