dic_gloss,synonyms,sid,FSW
1,,328,M508x512S1f502493x488
2,,331,M511x515S1de01490x485
3,,334,M512x515S11e00489x485
4,,338,M511x516S14400489x485
5,,2946,M512x516S14c00489x485
6,,2269,M523x516S14c00500x485S1f502478x492
7,,432,M528x517S14c00505x484S1de09473x487
8,,433,M528x516S14c00505x485S11e09472x486
9,,434,M526x516S14c00503x484S14408475x485
10,,322,M536x520S1d420507x492S1d428465x492S22214507x480S22214475x481
11,,1151,M513x527S1f502493x503S2d200487x473
12,,1106,M513x530S1de00488x500S2d200487x470
12,,2249,M515x515S1de20493x485S21c00486x486
13,,1107,M512x524S11e20489x494S21b00494x477
13,,2293,M514x531S11e00487x501S2d200488x470
14,,1108,M511x522S14420489x491S21b00494x478
14,,3558,M513x531S14400489x500S2d200487x469
15,,1109,M512x522S14c20489x491S21b00496x478
15,,3557,M513x531S14c00490x500S2d200487x470
16,,3553,M527x530S14c00504x499S1f50a476x506S2d200501x470S2d211473x470
17,,3554,M529x532S14c00506x499S1de09474x502S2d200503x468S2d211471x468
18,,3555,M529x532S14c00506x501S11e09473x502S2d200502x469S2d211472x469
19,,3556,M528x531S14c00505x499S14408477x500S2d200501x469S2d211472x469
20,,1260,M513x532S2c301487x468S1de01489x502
21,,1271,M524x531S1f502477x506S2c301498x470S1de01501x501
22,,1270,M525x531S2c301499x470S1de01475x501S1de01502x499
22,,2268,M526x515S1dc01475x485S1dc01503x485
23,,1272,M529x531S11e01472x501S1de01505x500S2c301503x469
24,,1273,M530x530S14400470x499S2c301504x471S1de01506x500
25,,1274,M529x531S14c00471x500S2c301503x469S1de01506x501
26,,1275,M539x531S14c00476x499S1f502461x507S2c301513x470S1de01516x500
27,,1276,M545x531S14c00478x498S2c301519x469S1de09455x501S1de01522x499
28,,1277,M546x530S14c00481x499S2c301520x470S11e09454x500S1de01523x499
29,,1278,M544x530S14c00481x499S2c301518x470S14408457x499S1de01522x499
30,,1261,M513x531S11e01488x501S2c301487x470
40,,1262,M514x530S14400487x499S2c301488x470
50,,1263,M513x531S14c00488x500S2c301487x470
60,,431,M527x530S14c00501x499S1f502479x506S2c301501x470S2c310473x470
70,,1264,M528x532S14c00503x499S2c301502x468S1de09478x502S2c310472x468
80,,1265,M529x531S14c00504x499S11e09475x501S2c301503x470S2c310471x470
90,,1266,M528x530S14c00502x499S14400474x499S2c301502x470S2c310472x470
100,,1267,M508x517S1f502493x493S21900494x483
200,,1268,M511x525S21900496x475S1de01490x495
300,,1269,M513x523S11e01488x493S21900493x478
800,,3356,M528x527S15000503x485S12208472x489S21900506x474S21900479x474S2fb04493x521
900,,3357,M526x526S15000501x485S14508474x486S21900503x474S21900477x474S2fb04493x520
2013,,2292,M562x533S15a37481x510S18251482x482S20500470x509S1de01438x471S11e20532x468S2d200536x504
2014,,2585,M547x533S1dc03486x479S15a37454x503S20500469x522S14420523x468S2d200521x504
-,,2920,M506x502S37c16494x498
",",,2914,S38702496x463
", vejica",,750,S38702496x463
;,,2916,S38902493x464
:,,2917,S38a02490x464
: dvopičje,,1546,S38a02490x464
!,,2915,S38812494x470
! vzklikaj,,1704,S38812494x470
?,,2921,M510x516S29f3c491x485S21600496x508
? vprašaj,,751,S38902493x464
.,,2913,S38802496x464
. pika,,749,S38802496x464
(,,2919,S38b02493x476
),,2918,S38b06493x476
1 000,,1695,M528x517S18050498x502S20500506x484S15a39473x488
1 000,,1701,M520x528S15a37484x505S18251496x472S20500481x499
1 000 000 000 bilijon,,1702,M532x518S15a48469x491S14722486x501S20500483x483S2ef02514x498
1 000 000 000 milijarda 1,,1699,M523x519S18010493x504S15a48477x486S26500507x482S21100493x483
1 000 000 000 milijarda 2,,1698,M522x533S18251498x484S15a37478x510S26507494x467S21100479x478
1 000 000 milijon 1,,1700,M535x522S20500476x479S2ef02517x497S10052481x500S15a48465x495
1 000 000 milijon 2,,1696,M515x541S20500485x516S15a37492x518S10014498x485S2ef04494x459
1/3,,3909,M524x531S1f502477x507S11e00501x501S2d200492x470
2/7,,3910,M540x530S1de01461x500S1de09493x500S14c00517x498S2d220503x470
A,A,1886,M509x508S1f820491x493
abstrakten,,228,M563x518S2ff00482x483S10011516x487S14c20540x469S20500511x474S2e409534x438
administrator,,229,M563x537S22b04544x498S1c550491x469S1c558452x463S2fc04479x498S23600489x520S1ed26544x466S23614438x511
adrenalin,,3603,M544x533S14c52513x508S14c5a457x509S22622503x506S22626489x507S22a00525x484S22a10466x485S2f800484x467S21100509x486S21100481x486
advent,,3489,M528x592S16c0c503x534S16c04476x534S20500494x523S2d60a505x572S2d612473x572S26932503x563S26932496x563S34c00482x483
adventni čas,,3488,M552x537S16c0c478x479S16c04451x479S20500470x464S2d60a480x517S2d612448x517S26932478x508S26932471x508S15d39518x483S10051504x464S21100539x467
Afrika,,231,M540x524S21410523x457S2ff00482x483S22b04523x494S16c02519x469
agresivnost,,232,M534x545S2f900477x508S15021506x456S10008466x515S25603484x480
aids,,233,M525x538S1a000489x509S2ff00482x483S20500515x515
ajda,,526,M546x538S22f12499x513S1f820454x493S22214490x481S20500510x463S22f06519x513S22214521x481S1f410517x492S1f418484x492
ajvar,,1301,M554x577S10012484x521S27102499x537S1d450523x518S22f04529x550S21100481x545S30004482x483
akademija,,521,M567x536S2e501439x509S22b12489x474S38612433x464S20311440x487S1ed28494x494S1ed20535x494S22b06537x474
akrobacija,,234,M529x548S10002499x533S1000a472x518S2fc00496x453S2ec00514x482S2ec4c475x468
aktivnost,,236,M537x533S20330514x467S20330472x468S2e60b503x504S2e613463x504S2fb04492x491
aktualno,,237,M538x526S10e00516x474S10e08469x474S26c10463x510S2fb04492x505S26c00511x511
alarm,,239,M571x543S33010479x483S10011522x502S20500517x483S10010553x475S25100553x510
alba,,3490,M632x576S15a10463x533S15a18448x533S22b20454x496S2ff00482x483S18001512x501S23600512x526S21100498x528S14c01597x514S14c09565x515S22b04600x545S22b14576x545S21100619x562S21100560x561
Albanija,,529,M535x522S14c01472x495S22620465x479S20800496x490S22620509x478S14c09504x494
album,,241,M591x571S31500482x483S2df1c550x550S22204480x521S13f00508x528S13f08462x529S26500521x503S26510467x503S15a10571x514S15a18556x514S2df04570x549S22204512x521
aleluja,,3006,M537x599S15d02433x539S32110491x493S15d01507x518S15d09470x518S20e00416x533S15d0a400x539S2ad01441x562S2ad10407x563S2ad01456x566S2ad10396x568S20e00432x533S30004482x483S25e00521x481S25e10464x482S2fb04421x593S2fb04486x542
ali,,242,M525x539S2a206504x497S2fb04493x533S10030508x461S10038477x461S2a21e476x498
alkohol,,243,M518x573S34400482x483S1f540493x520S2b704484x549S2b704501x549
alkohol,,349,M518x552S34400482x483S1f510494x537S26a00487x520
Alpe,,1302,M548x518S24609498x453S11811523x476S11819449x477S24611460x454S2ff00482x483
altruizem 1,altruism,1920,M521x533S2c310466x482S36d00479x468S17600481x517S21c00466x508S21c00486x508S17600461x517
altruizem 2,,530,M521x541S14c30474x473S36d00479x460S14c38446x473S17600477x524S26500479x507S17600450x525S26510451x507
amater,,531,M575x531S1dc01455x499S20e00477x519S2b801459x471S36d00479x469S20302533x485S20304533x502S20600553x498
ambasada,,244,M561x518S16020521x467S28907536x460S20322546x442S20324437x441S16028466x468S2891f437x458S30001482x483S30007482x482
ambulanta,,507,M521x553S11500468x491S21410461x465S22b06463x528S37601479x448S36d00479x448S21100446x529S22b04468x523
ambulanta,,773,M589x553S11500467x490S22b06463x527S36d00479x447S22b04467x523S22b06559x498S37601478x448S1ed20558x469S1ed28528x470S22b12525x498S21100445x528S21410460x465
Amen,,117,M513x521S15a10501x494S15a18487x494S20500496x480
Amerika,,1303,M549x533S20600491x521S2ff00482x483S15a10518x506S26a03528x488
Amerika,,246,M532x539S14c02501x494S14c0a469x498S2e428486x461S20700494x524
ampak,,248,M541x524S10010520x494S2f900528x466S26500527x473S31a00482x483
Andora,,1304,M516x525S1d440485x475S2e832484x509
Andrejev križ,,3381,M562x540S2034f439x500S20341469x498S2ea01489x518S11521535x476S11529514x475S20500534x461
angel,,249,M551x517S18220448x492S18228528x493S2fb04493x511S36d00479x488S22220449x483S22220530x484
angel,,61,M560x516S18010442x501S18018529x500S36d00479x504S22120440x485S22120538x487
angeli,,3269,M591x524S18020442x509S18028529x509S36d00479x513S22120440x494S22120538x496S1ed26571x477S22f04566x510
angleščina,,4196,M527x585S30004482x483S1e101486x519S2e200489x553S2f900516x516
angleški jezik,,1305,M552x543S11554493x489S36a00448x477S20600478x524S10a00528x517S30004516x480
Anglija 1,,510,M541x536S11554526x488S20600511x525S36a00482x477
Anglija 2,,1056,M520x539S1001a490x468S10010498x462S27102501x499S21100480x513
Ankaran,,1055,M537x518S10b20519x478S30007482x483S26a00510x461
anketa,,250,M534x585S1d452438x540S15a36440x573S2ee01413x547S2b700515x521S1d402485x521S30004482x483
anketa,,290,M547x518S1d452444x456S15a37449x494S2ee00437x481S2ff00482x483S1d402519x490S2b700523x465S20500496x503
antika,,511,M529x518S14410491x451S2ff00482x483S2b705515x460
ap,,2840,M565x535S15715471x484S2fb04494x529S20500494x465S26606504x509S26612470x509S18514435x487S1851c540x486S1571d502x483S2f900540x514S2f900453x515
aparat,,512,M532x534S14c01499x488S14c09474x485S20700491x467S2891a469x519S28902503x518
apartma,,514,M551x531S15a11477x482S15a19449x482S20500469x469S22a13459x514S22a05480x514S26912507x515S15a39512x473S26906533x514S15a31527x477
apetit,,532,M538x559S1ea01509x514S1ea09466x526S2b804519x474S2b815466x489S34000482x483S2fc04495x548
apostol,,3311,M545x537S1c518459x508S1c510483x471S26520530x463S1c517493x512S1c51f456x475S1f548530x485S1f540530x513
apostol,,515,M552x537S15a40523x474S15a48466x474S36d00479x464S21100450x523S22b14464x505S22b04521x505S21100539x521
apostol,,516,M560x533S1f541538x498S1c510468x467S26521510x475S1f54f523x486S1c51f441x471S1c518444x504S1c517478x508
apostol Pavel,,3930,M588x533S1f541510x498S1c510440x467S26521482x475S1f54f495x486S1c51f413x471S1c518416x504S1c517450x508S10350542x483S1dc20564x483
apostol Peter,,3931,M597x533S1f541500x498S1c510430x467S26521472x475S1f54f485x486S1c51f403x471S1c518406x504S1c517440x508S15d48530x494S1ea22552x493S2ef01579x496
april,,509,M549x575S33110500x493S10b00523x513S22234523x502S2ff00482x483S25e04523x545
arbitraža,,1542,M566x590S11540416x535S11548388x546S23604408x513S23610368x524S2fb04407x584S30000482x483S14c52535x470S14c5a439x480S22622521x471S22626471x477S26602491x443S26616479x459
aretacija,,533,M572x537S1ed40477x501S1ed48428x502S26602468x484S26616433x485S20500460x526S37600534x498S26520540x463S20321521x483S20327551x484
Argentina 1,,997,M537x524S1f838464x491S1d401511x500S23404500x477
Argentina 2,,1052,M543x530S14e01505x485S36d00479x471S23404506x516S21100489x516
arhitekt,,1053,M548x538S15a56490x526S37806459x531S1d420452x463S23d0a466x497S1ed26529x478S22b04529x508
arhiv,,3832,M535x552S17d4a478x466S15a10478x495S26f00466x529S26806472x536S26616475x449S20710501x486
arhivirati,,3833,M535x552S17d4a478x466S15a10478x495S26f00466x529S26806472x536S26616475x449S20710501x486
asfalt,,534,M524x533S1f838480x518S1f850480x500S21200476x482S26600508x468S1f850506x500S1f838506x518
astma,,535,M542x535S1de51512x489S1de59459x491S21400514x513S21400469x515S22f04515x465S22f04462x466S2f900495x530
ateist,,536,M586x562S15d02486x519S22f04561x491S22106473x525S22b06487x546S1d440557x509S1d448525x517S30004482x483
