dic_gloss,synonyms,sid,FSW
Afghanistan,,15,M521x514S1f520497x493S26a02479x487
family,"fAmIl, فاميل",3,M533x526S18530467x476S16d40515x474S26502518x512S20700479x510
father,"padar, پدر",4,M518x559S30004482x482S14c52478x523S20500490x548
God,"khudA, خدا",5,M508x535S10010492x505S22b00492x464
healthy,sEhatmand,7,M557x542S15701528x523S15709451x523S36d00479x514S20500513x520S20500476x520S26600525x483S20307456x457S26610459x484S20307523x457
help,"kOmak, كمك",10,M512x530S18248487x497S1f540497x506S22a20497x469
mother,"mAdar, مادر",2,M560x517S2ff00482x482S20500518x484S20500518x503S15a12533x483
Muslim,"muselmAn, مسلمان",11,M554x617S2ff33479x482S15d10535x485S20500516x504S15a40515x553S15a48466x553S22a04514x591S22a14465x591S2fb04488x611
permission,"ejAza, اجازه",12,M516x529S14050484x470S23200490x509
sad,,9,M518x574S18530484x559S30c00482x482S22a04493x536S15700494x501
sister,"khwar, خواهر",6,M554x646S30007481x482S15a12527x481S36d00479x530S20500516x480S20500512x517S10058464x590S10050520x589S20500494x592S26502516x631S26516465x632
woman,"zan, زن",1,M556x537S30007481x482S36d00479x533S20500513x476S20500512x519S15a12529x478S22b04531x499
work,"kAr, كار",13,M525x526S20348474x511S20340474x474S22a04496x477S22a04512x477S20500476x499
world,"dunyA, دنيا",8,M559x546S14c08468x453S14c00511x454S20500496x466S2df06539x488S20500495x528S14c20511x515S14c28468x515S2df1e441x490
