dic_gloss,synonyms,sid,FSW
Kiew,Київ,45,M570x524S35d04453x482S36500512x483S34800483x483S11810548x497S20600548x483
Ukraine,Україна,44,M618x575S34600424x483S34800510x483S34c00481x483S35d04453x483S35d00540x483S1ea20567x503S1ea50592x554S2f900604x547S24104590x503
А,а,10,M508x508S20320493x493
Б,б,11,M512x515S13610489x485
В,в,12,M510x514S15d20491x487
Г,г,13,M512x515S1dc04488x485
Ґ,ґ,14,M534x516S1dc04510x486S27104467x485
Д,д,15,M526x523S11511501x496S2903e476x491S28909475x478
Е,е,16,M508x508S17610492x492
Є,є,17,M520x521S1ed10494x502S2a204480x480
Ж,ж,18,M513x508S18510488x493
З,з,19,M521x522S10011500x492S2da02480x479
И,и,20,M510x513S1b020490x487
І,і,21,M511x510S19220490x491
Ї,ї,23,M518x516S19220483x497S22a05505x485
Й,й,22,M519x520S1b020499x494S2a20c481x480
К,к,24,M514x518S10e10499x488S22a03486x483
Л,л,25,M508x515S10e04493x485
М,м,26,M509x515S18604491x485
Н,н,27,M511x514S1a510490x486
О,о,28,M511x515S1ce10489x485
П,п,29,M508x515S11504493x485
Р,р,30,M511x514S1bb10490x486
С,с,31,M509x510S16d10492x490
соняшник,sunflower,46,M518x563S2ff00482x457S1d408459x472S2e015463x434S2ff00482x508S17708488x538S21d00489x555
Т,т,32,M508x515S18c04493x485
У,у,33,M514x510S19a20486x490
Україна,Ukraine,43,M562x537S1ea50539x516S20e00519x486S2ff00482x483S1ea21507x500S23f04530x485
Ф,ф,34,M512x510S18310488x491
Х,х,35,M511x513S10620490x487
Ц,ц,36,M509x529S11520493x472S22e04492x511
Ч,ч,37,M515x508S13f10486x493
Ш,ш,38,M508x515S18c20493x485
Щ,щ,39,M509x529S18c20493x472S22e04492x511
ь,,42,M516x516S1dc20485x486S22a06501x484
Ю,ю,40,M510x511S19510490x490
Я,я,41,M508x515S11a20493x485
