dic_gloss,synonyms,sid,FSW
*,,13,
ákveða,,25,M548x573S15a30494x546S15a41525x526S20500516x552S37e42517x544S34900482x482
borða,,33,M574x517S26a04547x499S33b00482x482S17700522x500
ég,,10,M541x520S36d00479x481S20500494x509S10043511x488
fiskur,,12,M543x544S15a40494x500S15d0a458x525S20700468x505S26502518x522S26506528x522S37b06523x516S2dc06526x457S37b10500x527
fiskur,,38,AS15a40S15d0aS20700S2dc06M517x550S2dc06504x450S15d0a483x508S20700490x535S15a40501x503
fiskur,,39,AS15a40S15d0aS21000S27206S26600M522x550S27206503x463S15d0a479x508S21000487x535S15a40497x503S26600496x450
fiskur,,40,AS15a41S15d0aS21000S27207S26601M529x541S27207481x460S15d0a488x503S21000502x526S15a41506x498S26601471x460
five,,9,M511x516S14c00488x485
four,,8,M511x516S14400489x485
gefa,,28,M525x542S17100508x522S17108475x522S2b700505x492S2b711478x492S15a38510x458S15a38480x458
glossary sample,,6,
hádegismatur,,35,M574x545S26a04547x526S33b00481x510S17700523x525S15a10528x456S2ff00482x455S26502545x466S26506553x466
hallo,,1,AS14c20S26506S33e00M576x518S14c20531x487S33e00482x482S26506561x502S31400482x482
hugsa,,18,M565x518S31100482x483S14c12526x472S22520522x454S26602528x498S26606535x498
hvað,,15,M540x588S36e00477x522S14c30516x556S14c38461x557S22520485x543S30a00482x482
Ísland,Iceland,4,M518x569S2ff00482x483S1f502493x512S20e00495x540S22f04489x555
já,,23,M523x519S19210477x482S2880c511x497S37b06506x492
koddi,,30,M545x600S32a00483x410S15740505x452S26612466x507S22134484x490S26606507x507S15748479x452S2fa00494x519S36a00481x544S15a17522x577S20500512x578
kvöldmatur,,32,M574x544S31100481x456S18210516x457S37b06547x457S26502547x464S33b00482x509S17700522x527S26a04547x526
mamma (1),,16,M579x517S31100482x482S10012518x483S21100555x483S26606549x497
mamma (2),,17,M559x525S31100482x482S10012529x485S26904543x507
mjúkur,,29,M537x596S32a00482x482S15740503x523S26612462x573S22134482x557S26606507x573S15748477x523S2fa00493x589
morgunmatur,,34,M576x543S26a04547x524S33b00481x508S17700523x523S31410483x456S1f710525x465S22100545x458S10010561x443
muna,,27,M554x517S30007482x482S20500520x480S17710534x475
nei,,24,M527x517S11950473x483S37b06507x495S28806505x505
one,,2,M507x512S1f540492x488
pabbi (1),,21,M560x523S30007482x482S10020545x492S21100522x473S26604520x493
pabbi (2),,22,M554x523S30007482x482S10010539x485S26604518x493
pítsa,,31,M529x529S10610514x474S10012471x486S37b06513x509S26502514x515S22100506x472S2f700497x519
rétt,,26,M543x569S34c00482x482S15a30492x542S15a41520x526S20500513x554S37e42514x545
stafsetning bil,,37,S38800464x496
stór (pf.1),,36,M560x520S1eb40506x501S1eb48473x501S26606520x488S26612451x488S22100548x480S22100440x480
test james,,5,
three,,7,M511x515S11e00488x485
til hægri frá,,20,M515x524S10047485x503S26607492x475
til vinstri frá,,19,M512x528S10041491x498S26601488x471
two,,3,M512x515S1dc40488x485
vilja,,11,M540x523S36d00479x477S20600487x503S15a01517x500
vita,,14,M569x523S30007482x488S20600519x486S15a11546x486S30105482x477
