dic_gloss,synonyms,sid,FSW
Aprilie,"April, April",24,M543x517S22224523x477S14c10520x483S22224523x472S33200482x482
August,"August, August",27,M544x523S36a00482x477S20500510x509S10053523x486
bârfă,"gossip, Geschwätz",6,M548x536S33b00482x483S14718476x501S14710509x501S20600526x498S20600451x500S2fc04492x525
cine,"who, wer",2,M514x533S19a20486x467S27102497x493
Days of the week,,34,
Decembrie,"December, Dezember",31,M547x540S21100518x503S2ff00482x482S10012497x518S27102532x500
duminică,"Sunday, Sonntag",19,M522x554S13f42497x461S2ff00482x482S22d04492x504S22d02472x522
duminică,"Transilvania Semne, Sunday, Sonntag",18,M533x518S2ff00482x483S10044490x462S2ee00512x465
Februarie,"February, Februar",22,M524x527S1ea10477x473S27206505x476S22b04485x497
frate,"brother, Bruder",5,M512x527S11550497x497S22120489x482S22120488x473
Hand 1,,36,M515x510S10047485x489
Ianuarie,"January, Januar",21,M523x526S20349485x505S19a41478x474S20e00479x498S26a03502x494
iulie,"July, Juli",26,M521x520S2ff00482x483S1dc20497x490
Iunie,"June, Juni",25,M541x538S33100482x483S20500502x499S10011520x508
joi,"Thursday, Donnerstag",10,M514x528S19a40486x473S2a530491x495
joi,"Transilvania Semne, Thursday, Donnerstag",15,M539x524S1f552524x483S1f55a458x483S36d00479x477S20e00509x484S20e00478x484S2b103465x501S2b102506x500
lună,"month, Monat",32,M508x538S10020492x462S22c04492x496
luni,"Monday, Montag",7,M524x548S1dc20500x501S2ff00482x483S22f03487x527
luni,"Transilvania Semne, Monday, Montag",12,M544x546S30004482x483S10e12491x521S20f00518x506S26a06524x519
luni,,52,M536x538S35c00482x483S1dc10486x508S20600514x515
mamă,"mother, Mutter",3,M546x520S33b00482x483S20600524x492S14710510x498
marţi,"Transilvania Semne, Tuesday, Dienstag",13,M524x515S10e00509x485S10e08475x484S20602494x488
marţi,"Tuesday, Dienstag",8,M518x538S30004482x483S10e10467x508S20600488x520
Martie,"March, März",23,M521x531S13d52483x499S36d00479x470S20600468x481S22216474x510
miercuri,"Transilvania Semne, Wednesday, Mittwoch",14,M526x516S15d18475x487S11810511x487S20500496x484S20500497x505
miercuri,"Wednesday, Mittwoch",9,M516x531S18240485x470S2a304493x491
Move 1,,37,M506x506S26507493x493
Noiembrie,"November, November",30,M554x534S33100482x482S20500502x498S20500519x499S10011533x504
Octombrie,"October, Oktober",29,M544x538S1ce11521x495S33b00482x483S2e500488x511
pâine,"bread, brot",1,M527x532S14749478x511S27101500x468S20e00473x502S14741482x489
Romania,,35,M564x514S17b18482x486S17b10500x486S26a06522x487S26a12464x486S18510539x494S18518437x494
România,"Romania, Rumänien",20,M536x526S17b18482x488S17b10500x488S20500494x475S20500494x515S26a06522x489S26a12464x488S22200510x516S22200480x516S22204509x484S22204478x485
sâmbătă,"Saturday, Samstag",17,M588x518S30007482x483S14e10525x481S21100511x474S27100548x490
Septembrie,"September, September",28,M531x532S1f520503x468S1f524475x468S2e600502x486S2e618469x485S2fc04493x521
tată,"father, Vater",4,M544x520S1ea10504x499S21100531x500S21800521x491S33b00482x483
unu...,1,33,
vineri,"Friday, Freitag",11,M526x546S10e20511x493S2ff00482x482S23603483x516
vineri,"Transilvania Semne, Friday, Freitag",16,M530x522S15d1a471x503S1c512472x479S20e00491x497S2d200504x478
