dic_gloss,synonyms,sid,FSW
A cho B,,448,M532x515S1821c509x500S28b02469x485
ai,,63,M513x518S1f614487x508S2ee08492x483
ai (đã chỉnh sửa),,67,M513x528S1f750488x473S2a308490x492
ẵm,,415,M528x544S14c32477x501S14c3a473x520S21400513x509S27126482x457
ẵm,,416,M560x538S36d00479x472S17202518x482S1720a510x521S26a00525x463S26a10511x504S2fb06554x485
âm mưu,,417,M557x577S30007497x483S11521530x477S25504540x506S11530536x547S1155a522x534S31a00467x483
ăn,,235,M541x530S33b00482x483S20600488x519S15d00522x501
ăn cá,,402,M528x532S34700482x483S18010498x512S20700470x517
ăn cam,,403,M531x562S1f850495x519S1f858461x519S2df01491x538S2df19461x538S34700469x483S36100495x483
ăn chay,,404,M518x536S1f502491x512S36100482x483
ăn cóc,,405,M533x559S34700482x483S20300497x512S37800503x527S22e04516x512
ăn cơm,,406,M518x561S34700482x483S14c00488x530S22620487x520
ăn dưa hấu,,407,M532x568S36100496x483S34700468x483S15000493x519S15008455x519S22f04492x553S22f14456x554
ăn nho,,408,M546x594S33b00454x483S34700482x483S33b00510x483S17700461x523S26504465x542S14c00460x563
ăn ổi,,409,M561x538S34700482x483S15000515x506S26500520x489S22e04544x520
ăn táo,,410,M532x555S36100496x483S34700468x483S15002468x511S22f04475x541
ăn trộm,,411,M542x600S31a00482x483S37606479x516S10e03455x572S11502512x548S36d00479x516S21414483x592S28909482x548
ăn vú sữa,,413,M553x537S32a00447x483S32b00482x483S32a00517x483S17510451x520S34f10459x503S21902441x521
ăn vú sữa,,414,M544x559S1503a472x533S34700468x483S26b04517x519S33b00496x483S1f804495x519
ăn xoài,,412,M532x555S34700468x483S36100496x483S18500474x522S26504480x540
anh,anh trai,298,M518x525S2ff00482x483S1f700492x510S20600466x514
ảnh hưởng,,400,M539x605S18242512x544S1824a478x566S27104499x525S27114465x546S20500486x594S20500509x573S30e00482x483
anh văn,"tiếng Anh, tiếng anh, Anh văn",209,M527x562S10e51473x513S30003482x483S28906498x532S20e00505x550
áp dụng,,401,M556x600S30000482x483S15700517x476S25504523x510S21400541x553S14c38519x569S15750519x539
âu yếm,,418,M554x558S30a00482x483S1810a496x546S18102514x518S22f04516x534S21410539x510
bà,,313,M518x538S34400482x483S1ed36490x512
bác,,329,M518x557S2ff00482x483S20300493x511S37800499x525
bác sĩ,,164,M518x518S2ff00482x483S1002a474x473S10020498x480
bán,,420,M538x534S15d3a463x515S17632474x512S14c30514x467S26607491x491
Bàn,,56,M553x514S15a58485x487S15a58502x487S26606523x496S26612447x496
bàn,,356,M556x521S15a50506x480S15a58483x480S26606526x489S26612445x489S2fb04493x515
bạn,,99,M508x534S10050492x467S26600492x504
bạn,bạn bè,285,M515x520S14704501x480S15d0a485x484S20a00495x505
bận,,432,M533x524S30f00497x489S1ed12506x470S30346467x476
bản đồ,,137,M515x525S15a21492x476S2990c485x493
bạn thân,,286,M528x508S1f710508x493S1f718472x493S20500495x494
bạn thân (đã chỉnh sửa),,395,M521x508S1f710501x493S1f718479x493
báo,,421,M541x516S17740521x499S15240460x485S26602484x499
báo,,422,M544x527S33b00482x483S20320524x512S26500525x493S14c20521x458S20500501x503
bảo vệ,,419,M550x530S15a40538x503S15a48450x503S18159481x474S18151494x470S28901522x473S28919452x474
bắt,,425,M542x593S31a00482x483S14c20505x516S14c28473x516S20320509x578S20320478x578S25514479x552S25504510x552S2f700530x558S2f700459x558
bắt,,426,M529x608S31a00482x483S10010497x500S25504498x534S15d50491x562S17f5a480x589S20b00476x573S21400514x576
bắt (động vật),,427,M543x527S11829457x507S15011479x486S28a02507x473S20a00457x483
bắt buộc,,428,M522x525S1815a479x507S18150496x496S20b00480x492S22f04488x475S21400507x499
bắt chước,,429,M561x549S31a00450x483S15720456x522S26500479x525S2f900481x517S30000514x483S17700541x470
bắt cóc,,430,M560x568S1f502483x544S15051493x533S20a00469x529S28a02524x526S31a00482x483
bắt đầu,,431,M539x522S30000482x483S15d01510x473S2df08518x501S26500517x454S15d21511x423
bay,,423,M585x534S3760d424x467S37605518x467S36d00479x467S15a56558x492S15a52414x491S23003553x509S23015420x508
bay (trực thăng),,424,M534x538S15758505x482S14c51484x487S21400467x495S2a531509x513S25521477x463
bây giờ,,92,M529x530S15a30479x470S15a30511x470S22f14472x504S22f04504x504S2fb04493x524
Bến Tre,,145,M511x520S1ce10489x490S22210489x480
bệnh viện,nhà thương,182,M518x518S2ff00482x483S11520496x477S1152a474x475
biết,,127,M538x518S30007482x483S15a11515x474S20600489x470
biết,,433,M542x541S30007482x483S10011518x486S10021512x452S26500528x479S2df08520x520
biếu,,434,M520x528S15d30501x502S15d38480x502S2b720485x473
Bình Dương,,147,M544x536S2ff00482x483S20301489x466S20303496x481S37803510x496S3780b465x480S2df13460x473S2df0f524x484S2fb04492x530
bố,"bà bá, ba, tía",295,M532x528S2ff00482x483S14700493x505S20600510x517
bông hoa,"bông, hoa",237,M512x553S18536491x528S14c30488x447S22c00493x483
bực bội,bực,269,M527x521S20300481x490S37806495x497S20c00474x508S2f900483x480
buồn,,270,M535x583S20300492x529S37803505x536S2e600485x550S20e00470x562S30a00482x483S34110493x505
buôn bán,bán,166,M529x546S18547510x454S1854f476x468S2e818472x497S2e808514x484S2fc04494x535
buôn bán (đã chỉnh sửa),,385,M529x544S18547510x457S1854f476x471S2e818472x500S2e808514x487S2fb04496x538
Buôn Mê Thuột,Buôn Ma Thuột,155,M578x546S33100440x484S10001462x505S36d00518x515S2ff00521x482S1f510563x497S1f514499x497S26504563x516S26514499x516S2fb04531x540
buồn ngủ,,435,M558x557S30a00467x483S31600497x483S1e410518x482S22204526x480S22a04528x519S14f10522x541S2f700546x522
ca sĩ,,167,M518x569S34400482x483S20310479x509S37902492x514S27106479x529
các bạn,,319,M524x520S14c41476x484S27106509x480
cái nào,,264,M555x537S10057508x490S1005f474x482S27107528x473S2711b446x464S2fc04493x526
cấm,,224,M508x550S10e40492x450S11540493x520S22b04492x485
cấm,,436,M537x564S30c00482x483S10e10521x463S25604521x498S11540520x534
cảm ơn,cám ơn,78,M551x552S34000482x488S30300482x477S20330483x526S20330501x526S2b710460x514S2b701520x514S2fb04492x546S14c30527x478S14c38447x478
câm-điếc,,124,M534x551S30004479x483S33030511x494S10000483x521S20500500x519S20500524x494
cần,,437,M576x557S15a5a535x545S15a40542x514S22a00541x495S15a10542x464S21400561x527S30a00482x483
Cần Thơ,,148,M532x541S16d10484x459S15a36477x529S37806500x527S22204468x493S24e04483x485S20300485x520
cánh đồng,đồng lúa,191,M531x533S15a49506x467S15a41508x493S3790b470x484S27103491x507
cao,,248,M537x518S2ff00482x483S11520522x481S22b00521x447
cất cánh,,438,M518x562S15a1a488x550S19c12473x523S28a0f437x510S3270d482x483S34f10494x504
cắt tóc,,196,M543x508S10e52478x492S20600458x494S26602513x492
cáu,,278,M518x593S30c00482x483S14c00487x493S15000488x562S22b04491x528
cậu,,330,M518x545S36a00482x477S10010486x515
chăm sóc,,446,M558x571S10e51446x525S25503440x546S10e57523x524S25505538x552S32401443x482S32401522x483
chào,,83,M535x518S34000482x483S15a11512x472S26500518x453S2f700519x441
chào mọi người,,82,M544x518S34000482x483S15a11511x472S15a19467x462S27100504x453S27110462x442
cháu,,336,M520x542S15d49481x459S1f136485x480S22b04484x512S21000500x516
chạy (người),,439,M545x537S11850508x510S11858474x510S26700515x463S26710473x463S2f700533x485S2f700456x485
chạy (tàu),,440,M518x582S15b20500x555S15b28486x555S26620491x523S34d00482x483
chạy (tàu) (đã chỉnh sửa),,445,M518x582S15b20500x555S15b28486x555S26620491x523S34d00482x483
chạy (thuyền),,441,M563x543S15a38524x516S14710531x511S21400548x522S26620525x477S32b00482x483
chạy (xe bốn bánh),,443,M513x528S14750488x506S26600487x472S2f700501x488
chạy (xe hai bánh),,442,M514x528S14740488x506S26600487x472S2f700502x487
chạy (xe lửa),,444,M551x522S37806479x513S37806519x496S2031a511x507S20312506x490S26602469x489S20e00483x480S21400513x478S2f700449x487
chết,"mất, qua đời",334,M539x587S21600531x483S10010521x493S22b04521x527S10610521x561S33100482x483
chị,chị gái,299,M545x523S33010479x483S1ec10522x490S20800516x513
chia sẻ,,447,M583x525S15a30447x498S15a52438x482S2c400470x476S21400417x484S15a30565x498S15a02556x480S21400536x481
chiều,,102,M534x528S2b700480x473S15a56507x505S15a20488x501S15a04474x495S37906467x510
chờ,,455,M562x554S34300482x483S30a30488x490S18b17526x526S26f00522x509
chở,,456,M531x536S15710513x493S36d00479x525S15718495x510S2b704515x464S2b715495x482
chợ,,187,M550x547S1ce51503x470S1ce59476x482S23600511x453S23614451x511S2fc04495x536
cho (bạn ấy cho bạn),,451,M543x525S36d00479x517S17f30527x496S26701491x475
cho (bạn ấy cho tôi),,452,M527x536S20500479x525S17f34474x492S26703496x465
cho (bạn cho bạn ấy),,449,M529x538S17f30472x509S26500473x489S28b0a485x463
cho (bạn cho tôi),,450,M508x537S17f34492x493S2b704494x463S20500496x526
cho (tôi cho bạn ấy),,454,M520x527S17f30481x483S20500480x516S26607498x473
cho (tôi cho bạn),,453,M511x537S17f30495x492S20500496x526S2b700490x463
chở ba người,,460,M534x545S14748467x518S20b00484x532S18710516x456S28903486x473S18711475x504
chở hai người,,457,M533x547S14748468x517S10f11479x503S10f10517x453S28903487x472S20b00486x534
chọc ghẹo,giỡn,461,M559x576S33f00482x483S15d39490x553S20302498x536S37806512x542S26a04517x549S20e00547x550S2f700523x529
chọn,,462,M517x551S1d150484x523S25a00496x485S1ce50495x450
chồng,,292,M593x581S2ff00482x483S15d00494x503S1f700493x566S22b04492x533S20e00506x539S16d51573x491S16d39557x505S20800572x530S21410575x479
chồng (đã chỉnh sửa),,365,M593x581S2ff00482x483S15d00494x503S1f700493x566S22b04492x533S20e00506x539S16d51573x491S16d39557x505S20800572x530S21400575x479
chú,,328,M518x541S34600482x483S11500488x511
chữ A,,5,M510x508S1f720490x493
chữ B,,6,M507x511S14720493x489
chữ C,,8,M509x510S16d10492x490
chữ D,,9,M508x515S10110492x485
chữ đ,,10,M508x513S10710492x487
chữ E,,11,M512x508S17d20489x493
chữ G,,12,M515x511S1de02485x489
chữ H,,13,M508x515S11300493x485
chữ I,,14,M511x510S19220490x491
chữ K,,16,M515x515S14010486x485
chữ L,,22,M512x515S1dc20488x485
chữ M,,18,M510x513S18d20490x488
chữ N,,19,M511x513S11920490x487
chủ nhật,,105,M531x524S20300505x492S37806473x510S36d00479x476S37809472x480S20300498x508S37801518x478S37701523x498S37702518x500S20600482x492
chữ O,,20,M508x508S17620492x492
chữ P,,21,M516x512S14001485x488
chữ Q,,23,M510x513S1ed12491x487
chữ R,,24,M515x508S11a22485x493
chữ S,,25,M515x510S1e611486x490
chữ T,,26,M511x515S1ce10489x485
chủ tịch,,233,M565x519S36d00436x485S1ed17414x482S36d00523x485S1ce17511x484S20500437x505S20500520x508
chữ U,,27,M508x515S11520493x485
chữ V,,7,M508x515S10e20493x485
chữ X,,58,M508x512S1ca10493x489
chú ý,,463,M547x529S30f00482x483S11800499x502S26a00520x514
chữ Y,,29,M514x510S19a20486x490
chưa,,75,M523x557S17714490x525S15a10511x517S20600496x546S30a00482x483S34100482x483
chuẩn bị,,464,M527x557S15d38508x531S16d10495x522S26620508x488S14710497x444S15d38507x455S21400474x529S21400478x453
chúc,,344,M518x532S10e50483x469S22b04482x502S22e04501x510
chúc mừng,cung hỉ,345,M518x520S2031a482x504S16d10501x500S20a00491x480
chứng minh,,466,M518x569S31a00482x483S26a04471x520S1f502475x545S15d2e452x531S21410494x556S20b00459x553
chúng nó,,316,M526x526S10041474x474S27207493x492
chúng nó (2 người),"tụi nó (2 người), bọn nó (2 người)",320,M564x540S2ff00482x483S10e37534x484S2e008536x511
chúng tôi (2 người),,312,M526x526S10e13496x474S27105475x500
chụp hình,chụp ảnh,465,M545x518S2ff00482x483S1e410521x412S1e510522x482S1e518455x482S1e418455x413S22b04529x447S22b14454x448
chút,tí,325,M510x512S19830491x489
cô,,327,M564x518S34600479x483S1f710544x492S33030511x493S20a00523x492
cố gắng,cố lên,467,M566x564S20304519x522S20304468x522S22f04515x541S22f14463x541S30a00482x483S37806534x529S37806436x529S2f900522x559S2f900470x558
có không,,204,M513x525S10650487x475S23004488x507
cởi áo,,468,M563x536S1f802500x504S1f80a483x504S28b09504x465S28b11458x465S20500503x525S20500485x525S1f800545x466S1f808437x465
cởi quần,,469,M543x538S36d10479x462S1f850525x489S1f858457x489S22b04527x508S22b14457x508
con,,297,M516x519S14c52485x481S20500499x508
còn,,304,M521x517S15d39480x494S18541494x484S20500501x506
còn (đã chỉnh sửa),,396,M521x517S15d39480x494S18541494x484
công an,cảnh sát,179,M567x549S36d10479x517S2ff00482x483S1155e506x483S11532511x534S20500505x470S20500502x529S22b04526x501S2c300541x477
công nhân,,168,M521x520S36d00479x480S1ef10454x490S20600464x509
công ty,cơ quan,183,M560x522S15741507x479S15749464x479S2a539440x496S2a531535x497
của,,225,M510x532S10050494x468S2c600491x506
của bạn,,322,M524x518S14c44477x487S2d200498x483
của tôi,,321,M528x517S14c44472x486S2d205495x483
