dic_gloss,synonyms,sid,FSW
1,,798,
7 up,,342,M545x526S1dc02454x502S22b00529x474S10020509x475
A,,1004,
Abbanduna,Abbonded,581,M558x631S14c50534x579S32105482x482S17650480x544S17650460x556S22b05502x559S22b15478x576S14c58504x600
abbandunat,abandoned,12,M568x611S14c48438x557S26606436x595S10000543x536S22b04543x575S34400532x482S34700433x483
abbandunat 2,,67,M518x607S14c48445x531S26606458x569S10000491x531S22b04493x577S34400482x483
Abborta,Abort,583,M584x550S20500544x518S15a36431x496S15a32439x491S27122444x511S15302536x500S26600568x493S36d00430x450S36d00527x451
Abbuza (1),Abuse (1),582,M535x540S2f700502x533S20348481x504S20350500x513S26600519x496S21400500x504S20e00496x488S36d00479x461
abbuza (2),abuse (2),599,M541x543S36d00479x457S10018480x490S14c08499x506S2b700522x502S22e04478x525S20b00496x491
Abbuza 03,,600,
Abjad,White,237,M535x550S36a00482x477S10011514x520S22a04503x527S20e00518x507
Abseiling,,2755,M551x561S17418450x458S17410478x439S15a18508x494S11811524x490S2940c535x517S20500516x532S20500518x550
Accessa,Acces,584,M541x545S2b800518x511S15d0a484x495S15d40501x518S36d00479x456
accessibilta' 2,accessibility 2,68,M529x525S2b800506x491S15d0a472x475S15d40489x498
Accetta,Accept,585,M537x612S2ff00482x482S15740516x524S15748466x523S26504510x555S26514478x555S2fb04491x606S17741518x573S17749462x574S20500504x585S20500485x585
Accountant Loran,,1292,M551x574S1f417523x443S21301500x426S14c02520x509S14c0a450x497S22512507x508S22516481x502S23100453x527S23110513x540S2fc04489x563
Accounts_1 (Krl),,2360,M545x563S13f07513x487S13f0f455x457S21303473x437S21301488x464S22b00513x529S22b04529x533S22b10459x494S22b14471x510S2fc04485x550
Actor (Loran),Attur (Loran),1400,M549x541S1f552473x460S1f55a517x476S20e00451x484S20e00537x500S2ea04518x510S2ea14474x493S2fc04488x530
Add on (Lrn),,2039,M518x515S1000a483x489S10020503x485
Adura,,586,M560x616S2ff00482x482S15d20517x536S15d28467x535S23014462x570S2fb04491x610S22b04544x570S22b14445x571S23004517x570
Af,Know,587,M544x525S2ff00482x482S20500502x489S10001512x495S26600528x479
Affarijiet,Things,2505,M536x537S14c01506x463S14c09464x463S2ea00521x501S2ea10466x499S2fc04491x526
Afganistan 2,,69,M540x588S2ff00482x483S15d11517x459S2e702490x466S17b1e487x528S22100494x522S22b04494x558
Africa,,1110,M528x549S14c20482x452S18520472x534S28a0c511x492
African Hair (Lrn),,2171,M617x600S30007482x483S1d411512x464S20500501x471S14c20580x507S15620593x578S28a0c600x535
afrika 2,,70,M550x539S33100482x483S1f701526x487S2e300527x512
afrika t'isfel 2,south africa 2,71,M551x585S33100482x483S1f701526x487S2e300527x512S10004533x545S22a04538x570
afrika ta' fuq 2,north africa 2,72,M578x543S33100482x483S1f701526x487S2e300527x512S10020562x513S22a00565x501
Afternoon (Lrn),,2214,M550x534S10020512x466S10e28471x483S2e700535x482S2e710450x509
Aggornament_1 (Lrn),,2310,M543x545S15d18457x456S20f02485x458S15436503x470S22110501x456S22f04503x492S1ce01493x518S26a06529x518
Ahdar,Green,238,M539x517S15d3a501x482S15d38520x488S37906461x494S26702470x501
Ahdar 2,,255,M534x519S26602475x503S15d3a507x481S15d38515x492S37906465x497
Aħjar,Better,779,M520x512S1f540481x488S2b700501x488
Ahmar,Red,239,M518x549S33b00482x483S10000474x519S26506494x521S21100470x510
Ahmar 2,,254,M518x549S33b00482x483S10000474x519S26506494x521S21100472x510
Ahna,We,2799,M534x519S14c12467x492S20500506x508S2d908496x482
Ahna,We,281,M533x518S14c52467x494S2d908495x483S20500513x507
Ahwa,Siblings,161,M574x638S33100482x482S10610518x497S20e00461x495S22b04518x529S1f540516x579S1f548495x570S23600535x587S23610453x579S20f00495x606S2fd04495x632
Air Condition (Loran),,1671,M540x534S14c4c460x466S14c44516x466S26d24485x515
air hostess,,947,M520x548S19a12500x520S26502480x522S20348489x453S20340500x483S20600498x469
Air Hostess (Loran),,1348,M554x591S35000482x483S11510516x492S11518467x491S25704515x529S25714465x529S26706512x530S26712444x531S25714482x549S25704500x549
Airconditioning_1 (Lrn),,2498,M573x533S26c10453x476S26c00531x475S22510551x520S22510428x515S14c5c454x497S2ff00482x483S14c54524x496
ajkla 2,eagle 2,73,M545x540S33100482x483S10a20519x487S20500503x497S22e04528x522
ajruplan 2,airplane 2,74,M522x514S19a12502x486S26502478x493
ajruport 2,airport 2,75,M522x551S19a12502x449S23c01478x485S15d09480x528S20b00490x511
akkomodazzjoni 2,accomodation 2,76,M544x531S15412406x490S22a04415x512S15d31444x489S26502446x517S2ff00482x483S20500517x503S15d17521x508
Akkumpanja,Accompany,588,M518x619S2ff00482x482S1ce10495x553S1ce48478x558S20800499x587S2e82a482x604
akkumpanja 2,accompany 2,77,M529x535S15d40506x465S26500485x467S10019471x504S10011508x505S20500496x498
Akkwista,,589,M541x613S2ff00482x482S14c30504x535S26604525x560S20330509x598
Albania,,1111,M529x524S14c01471x478S20500495x478S14c09503x477S37703493x502S3770b483x499
Album Photo (Lrn),,2126,M549x591S32b00482x483S20500510x476S20500482x477S1ed10523x492S1ed18451x494S17d36402x568S15a02396x552S21310355x552
Alcohol_1 (Do),Alkohol_1 (Do),352,M552x566S26500538x488S2ff00484x457S33100481x509S14710511x515S1f720515x485S2450a509x548
Algeria,,1112,M546x530S19a02517x472S19a0a468x470S23004455x510S23014521x512
Alison,,234,
ALLA,GOD,122,M561x518S10018524x469S10010546x455S2ff00482x483
Allergiija 1 (Em),Allergy 1 (Em),1530,M533x532S37907468x468S15011505x474S21100488x476S27102487x492
ALLURA,,166,M543x572S35000482x482S22804495x470S15d31514x527S15d39465x527S22f04518x558S22f14461x558
Allura,,391,M549x651S30d00467x486S30105496x477S15d40510x571S15d48466x571S2a208503x607S2a210466x608S28811445x558S28809529x559S2fb04489x645
allura 2,so what 2,78,M535x594S30d00482x483S2a210472x566S15d40516x529S15d48472x529S2a208509x565S22800495x470
ambaxxatur,ambassador,951,M521x533S36d00479x468S1f701449x485S20500472x482S20500502x522S22b05470x508
ambjent 2,nature 2,79,M530x537S15d1a503x518S14c20505x463S37800517x491S2c703472x491S37806470x531
Ambjent_1 (Lrn),Environment,2519,M531x539S14c10500x461S37800509x491S28a0d474x495S15a56504x527S37806470x530
America,,1113,M529x538S14c42498x481S14c4a472x485S20500496x462S2d925481x518
Amputa,,593,M521x533S36d00479x467S15a44464x468S22b04461x503
amputa (v2),,594,M521x533S36d00479x467S15a18465x468S22b04461x503
amputa (v3),,598,M521x535S36d00479x491S15a44469x466S22b04465x505
Ananas_1 (Krl),Pineapple_1 (Krl),1688,M520x517S15a06480x505S18600485x483S20800510x505
Andorra,,1153,M514x528S1ce40492x473S2ea06486x513
ANGLU 01,,1222,M545x531S36d00479x527S18110533x497S18118457x498S30100484x477
ANGLU 02,,1220,M554x545S36d00479x535S18110542x516S18118453x515S22126467x518S22122530x518S30104481x477
ANGLU 03,,1221,M556x545S36d00479x541S18110544x516S18118446x515S22124458x523S22124519x524S30100480x477
Anglu tal-Mulej (Karl),Angel of the Lord (Karl),1469,M561x518S18118463x412S2ff00482x483S18110546x416S22120521x415S22120477x417S10010546x464S10018524x476
Angolu_1 (Lrn),Angle,2520,M536x513S1ee18465x488S10051506x492S2880c489x491
Animal Salvagg,Wild Animal,722,M544x573S15020519x542S15028456x541S2b720487x526S34400482x483
annimal,animal,906,M529x521S1a320472x480S2e300506x494
annimal selvagg,wild animal,80,M532x531S15028468x500S15020507x498S2b820484x470
Anniversary 1 (Loran),,1505,M596x590S34800482x483S10a02524x509S20500528x493S14c10573x559S2e100573x524
Anniversary 2 (Loran),,1504,M555x607S34800482x483S10a02529x501S20500520x488S14c10483x537S14c18443x537S2a408441x571S2a400482x570
Anniversity (Lrn),,2179,M594x558S34800482x483S10011512x511S20500517x500S14c10569x492S2e100571x529
Announcer (Loran),News Person (Loran),1409,M585x611S33b00482x483S10001506x521S10009478x513S2ec04509x558S2ec14479x551S2fc04491x600S1ed56566x497S22b04565x533
Ansjeta'_1 (Lrn),Anxiety,2521,M546x556S15240512x488S1f710526x458S36d00479x444S1f718453x457S15248469x488S2e230517x524S2e230468x523
Anti Virus (Lrn),,2040,M572x567S11810492x434S11818429x433S22e02483x475S22e16434x472S10e20552x504S29000549x540
Anus 1 (Em),Patata (Em),1531,M544x574S14c20496x456S14c28469x469S28800496x426S2880c516x433S28814479x504S28818457x508S2fc05514x493S1d017498x551S26500530x556
App_1 (Lrn),,2309,M538x516S1f720463x499S10140498x485S10140522x486
Apparat,Equipment,2522,M526x528S15d18475x476S15010501x473S23004501x510
Appearance (Loran),,1672,M548x532S10058479x480S10050507x479S20500496x468S28906519x515S2891e453x517
Appell_1 (Lrn),,2307,M546x570S2ff00482x483S15d20519x495S20500504x504S10002516x552S2e700500x545
Appendici_1 (Lrn),Appendix,2523,M533x527S15d00494x500S20500485x492S2d906490x474S15d08467x487
Apple (Lrn),,2099,M518x554S19220399x474S30004482x483S15002483x529S2d507465x514
Applikazzjoni Online_1 (Krl),Online Application,2361,M534x560S15d0a476x441S1ea20485x462S2480a506x449S37a00479x503S19200491x505S22b04486x530S1f708467x488
Applowdja (1),Applause (1),590,M521x618S2ff00482x482S15d40502x573S15d48481x565S20c00482x605
Apprezzament_1 (Lrn),,2308,M526x572S30f00482x490S15d01503x514S15d09474x512S26620493x542S2f900497x534S30350495x476
Approvazzjoni_1 (Lrn),Approval,2524,M543x523S15d39458x500S11e51478x478S20500481x512S22a04515x487S22a00530x484
Apron (Loran),,1673,M563x584S14744510x433S1474c476x431S22c05530x457S22c13440x458S20f00483x465S36d00479x417S1ea40519x528S1ea48437x529S2a105495x550S2a112460x550
Architect (Loran),Perit (Loran),1349,M532x553S15a2a505x541S37806469x547S10140514x447S23d02492x506S22b30518x485
arcisqof,archbishop,952,M543x518S2ff00482x483S15d18455x481S15d10524x480S2380f512x451S23817471x453S20500496x446
Argentina,,1154,M560x522S36d00479x487S20f00511x493S18202545x479S22f04529x508
Arlogg (ta' idejn),Watch,216,M523x524S20357502x480S3780b479x494S1ce41478x476S21400477x503S20600500x505
Arma (1),,591,M586x591S2ff00482x483S15011515x468S15019460x462S26606556x472S26612414x473S2a401524x438S2a413441x432S20310505x556S20348481x555S20c00488x578S26c02527x554S26c12460x556
Arma (2),,592,M557x589S2ff00482x482S15010516x542S29700538x512S29718442x502S15018461x527S2fd04482x583
Armarju,Wardrobe,2499,M557x593S15a50509x408S15a50483x408S23c04534x425S23c0c445x426S1f740509x480S1f748484x480S2d608526x494S2d610466x497S1f730535x534S1f738509x535S26624523x562S26624484x563S26624444x563S26622454x544S26632484x551
Armarju Kabord _1(Lrn),"Cupboard, Pantry, Wardrobe",1990,M557x580S15a51502x421S15a57469x420S23c04534x440S23c1c444x446S1f740503x492S1f748477x494S26506535x492S26512449x492S1f731516x537S1f739490x538S26524462x565S26524479x565S26622451x543
Armier,,959,M562x536S1f720511x465S1f728473x464S23c1c440x468S23c04539x469S15a48439x502S15a40548x509
Arti_1 (Lrn),"Arts, Art",2525,M523x534S15d0a477x482S11500497x466S24904504x498
Artist (Loran),,1398,M550x541S15a06450x466S11500479x460S24a04460x494S1ed56531x472S22b04531x504
Asesswali_1 (Lrn),Asexual,2640,M583x518S33100482x483S1f520523x494S20500504x497S26606553x498
Asia,,1114,M545x520S20320455x481S14c20480x489S2db04505x506
Asian Hair (Lrn),,2172,M603x597S30007482x483S1d411512x464S20500501x471S14c20580x562S1f820503x578S29306529x583
ASL sign - Index finger hinge,,680,M520x533S30a00482x483S36100482x483S10b00484x507S26506505x516
ASL sign - Index on hinge,,682,M535x598S30a00482x483S34400482x483S10b5c517x535S10b54467x535S2fd00490x533S26c02520x568S26c12465x571
assasination (3),,597,M525x532S3760a503x468S1f701489x470S22c03474x499S2f900498x523
Assassina (1),Assassination (1),595,M551x536S36d00479x465S1dc41497x497S23100525x508S2f700531x529
Assassina (2),assasination (2),596,M538x539S36d00479x462S20340523x484S28903489x487S20341480x518
Assembly Hall_1 (Lrn),,2527,M544x570S14c50511x455S14c58456x454S26620489x430S10051510x521S10059471x521S2d603462x552S2d61b521x553
Assembly_1 (Lrn),,2526,M537x531S15020512x469S15028463x469S26724491x489
Assessjar tar-Riskji_1 (Lrn),,2311,M578x572S2ff00482x483S11a10530x482S26c00551x494S10018473x542S10e12517x542S26c00488x536
Assign,,308,
Assign No. 1,,749,
Assign No. 1,,750,
Assignment,,2528,M555x592S30000482x483S15d02508x486S22102524x513S26506540x497S1f740502x545S1f748494x577S20600485x562
astronawta,astronaut,953,M571x518S30000482x483S17d10507x462S22102491x463S10020556x464S22c00549x416
Athletes,,2756,M534x545S11e40511x455S11e48466x474S2e800517x504S2e810476x513
Atleta (Loran),,1399,M546x545S1f540510x455S1f54a483x456S23700507x491S23710454x492S2fc04494x522S2f700495x538
Atleta (Loran),Athlete (Loran),1442,M544x535S1f540507x467S1f548478x466S20500495x478S23704505x500S23714457x499S2f700518x525S2f700470x528S2fc04492x523
ATM_1 (Krl),,2362,M569x542S10021502x460S10029468x459S23d04542x472S23d1c431x472S1ea40495x521S27100452x526
Attached (Lrn),,2107,M531x515S15a06469x501S11e04490x485S22a04518x490S20800475x485
Attakk tal-Qalb (Em),Heart Attack (Em),1533,M523x563S36d00481x438S15a01467x452S20500481x447S1f752460x526S2f700436x540S20c00452x550S36d00477x511
Attard,,961,M547x518S2ff00482x483S20311526x485S20500517x480
Attent 1 (Em),"Careful 1 (Em), Pay Attention 1 (Em)",1534,M552x549S31a00482x489S15a10530x496S15a18461x492S30350497x477S23004527x531S23014450x531
Attent_1 (Lrn),"Careful, Beware, Pay Attention",2529,M550x545S23014448x527S15a10528x492S15a18459x488S2ff00482x483S23004525x527
Aunt (Loran),,1480,M585x547S1de12523x491S30006482x483S20500517x479S2470a542x521
Australia,,1115,M540x550S1a358460x452S1a350506x451S2ea00518x490S2ea10466x490S14c58462x519S14c50516x519
Autumn (Loran),,1481,M531x547S14c08470x469S1da11499x463S20500486x453S29e04501x496
Autumn (Lrn),,2217,M549x565S14c08451x449S14c50507x495S2a404507x529S22b04533x510S20500473x466S1d411474x436S37800461x479
Avatar (Lrn),,2041,M618x593S10e20598x530S29000595x566S15a06467x545S15a11515x484S2ff00482x483S20500474x557S22c03489x506
Avocado (Loran),,1482,M518x540S18110503x460S18118482x460S20500494x495S2d507498x509S2d513489x525
Avocado_1 (Lrn),,1689,M534x525S18110509x476S18118485x477S21100497x484S26904518x507S26910467x496
avukat,lawyer,955,M515x524S23004490x506S1ea50485x476
Avza,Advice,601,M518x566S30004482x482S10010486x513S20500475x513S22e04486x548
Awgura,Congratulations,602,M551x544S36d00479x457S1ea10524x473S1ea18453x475S2ea32526x500S2ea46449x502S2fb04493x538
Awtopsja_1 (Em),,1535,M546x576S1f752490x421S22b04472x426S21100494x448S31510482x483S10001509x503S19a51500x537S2a208523x548
Awtopsja_2 (Em),Autopsy_2 (Em),1536,M529x548S1f752489x453S22b04471x458S21100493x480S15a10486x519S2330a503x518
Awtorita' tas-Sahha,Health Authority,2313,M521x554S36d00479x455S15d01478x465S20600456x447S1f708460x511S37603444x524S20600443x533
Azzma_1 (Em),Asthma_1 (Em),1537,M521x528S37210479x473S14c01485x501S20500509x500
Azzma_1 (Lrn),Asthma,2312,M537x518S34900482x483S10000511x487S21800519x471
B,,1005,M506x513S15a28494x486
Back Up (Lrn),,2046,M607x535S28a2a500x485S15d3a397x508S14c50406x466S22102394x483S22a04428x485S20b00429x507S18548469x512S18540505x513S15d3a565x516S1f750587x498S20500581x511
Backpack_1 (Lrn),Satchel,2531,M548x527S36e00477x474S22800523x483S22800472x484S15309449x502S15301525x504S20500513x509S20500474x505
Bacon_1 (Krl),,1690,M543x539S1dc21505x461S1dc29466x462S26606513x488S26602511x507S26612458x491S26616461x507S26606512x523S26612457x520
Bacon_1 (Lrn),,1728,M560x521S10e02516x480S10e0a457x479S21802513x499S21802478x500S26606530x505S26612440x504
Bad (Loran),,1674,M511x510S19220490x491
Badminton,,2757,M576x562S18600425x439S15a02424x476S20800448x459S17417553x498S2d90a533x526S2d903512x542
Baghat (Lrn),,1947,M521x536S26600505x500S15a50507x465S15a06479x524
baghbas,,607,M550x533S14e20525x486S14e28450x484S22500451x469S22500462x470S22500525x468S22500537x468S2fb04489x527
Bahar ic Caghaq,,1187,M545x549S14720531x452S14734456x527S2b503476x477
Bahar ic-Caghaq (Loran),,1347,M541x547S14720527x453S14750460x525S2b503472x478
bahbah,,603,M559x600S30104482x477S14c01515x545S14c09461x545S23005534x563S23013444x563S2fb04492x594
bahbah,,608,M566x592S30104482x477S14c33522x539S14c3b455x541S2fb04496x586S23007540x524S23011440x524
bahri,sailor,956,M570x598S30000482x483S17d10528x483S22102517x484S26500556x481S14c50490x526S2a400489x562S26606516x542
Bahrija,,962,M525x547S15a56476x478S15a28505x520S27300502x453S27308509x486
Bajd_1 (Em),Testicles_1 (Em),1538,M536x518S1543e465x482S15436511x483S22a04516x503S22a14471x502
Bajda_1 (Mt),Egg_1 (Mt),1691,M529x527S15440506x476S15448475x474S20500494x484S22e04512x509S22e14472x508
Bajjad (Loran),Painter (Loran),1401,M561x538S15d40542x463S27202531x498S36d00479x472
baliena,whale,81,M533x523S15d02506x477S29202468x488S2f804488x512
Ballet,,2759,M533x593S15a02504x581S15a06467x581S25720493x534S15a12506x469S15a1a467x469S2ff00482x483
Ballroom Dancing,,2760,M538x528S1470a462x477S14b30515x472S23622491x489
Balluta,,972,M535x539S14720466x461S14714521x517S2d902469x501
Balzan,,968,M546x533S15a28455x468S2460a479x488S11943525x504
Banana,Banana,27,
Banana_1 (Alx),,1692,M534x540S1f70a467x520S1ea42477x495S2b700481x461S2b707509x487
bandal,,604,M580x569S36d00479x432S20340528x516S20348465x516S3770a536x493S37700547x469S37702459x492S37700459x467S2c610439x512S2c601550x514S2c610428x522S2c601561x525S2fb04497x563
bandist,bandist,957,M557x582S22102524x485S2e610436x517S1f708471x532S30000482x483S17d10534x483S1f720480x543S2e608508x549S20f00451x555
Bandist (Loran),Band player (Loran),1402,M541x593S1f740521x435S1f749467x425S20f00486x443S33b00482x483S14c10487x519S14c18486x562S20500495x551S22516510x567S22512472x524
bandist 02,bandist 02,958,M551x572S30000482x483S17d10528x483S22102518x484S33b10492x508S15218481x541S15210492x512S22510468x523S22510505x549
Bank tal Kcina (Lrn),"Working Space Kitchen, Kitchen Top, Table Top",1991,M540x551S1ea37504x450S2e500501x482S2f900528x497S17e20461x535S26706498x535
Banker (Loran),Bankier (Loran),1403,M538x534S15d39462x511S1f540474x472S20b00473x504S1ed56519x466S22b04518x504
Baptsim (Lrn),,2180,M531x530S15a06491x518S15a12470x495S2d907486x471
Baqa (Krl),"Continue, Kompli, Kompla",1776,M532x518S2bb00468x483S15d02505x499
baqa' (hemm),,605,M624x545S36d00479x456S14c09530x498S22f05545x524S10057581x494S26507611x490
