dic_gloss,synonyms,sid,FSW
1,,167,M508x515S10020493x485
2,,168,M508x515S10e20493x485
3,,169,M509x515S18620491x485
4,,170,M511x516S14420489x485
5,,171,M512x516S14c20489x485
6,,172,M526x516S14c28474x485S1f502511x492
7,,173,M526x516S14c28474x485S1de20504x486
8,,175,M526x516S14c28474x485S11e20503x486
9,,176,M529x516S14c28472x485S14420507x485
10,,177,M527x516S14c28473x485S14c20504x485
30,,198,M519x515S18600482x485S17610503x499
2023,,181,M537x515S10e20463x485S17610482x499S10e20502x485S18620519x485
2024,,197,M540x516S10e20461x486S17610480x500S10e20500x486S14420518x485
A in YMCA,,125,M547x526S34a00482x483S36d00479x522S15a11500x454S3780b453x470S15a19477x454S37803453x495S3780b517x495S37803517x470
Adhvatmika,,215,M552x518S2ff00482x483S15701504x469S22a06514x504S28c38498x489S17700532x502
Adhyatmika,adhyatmika,232,M552x589S2ff00482x483S15701504x469S22a06514x504S28c38498x489S17700532x502S10018483x559S14c12457x532S22132451x526S22132445x525S2ea02492x537
Adi,,229,M529x523S14c49492x496S15d41485x477S20700472x497S26502514x482
Alabama,US State,3,M537x518S1f720462x503S1f720517x503S1dc20487x488S26c0c504x482
Alaska,US State,4,M543x538S30007482x482S30005482x482S1f721514x470S14c27507x511S2880c531x487
Alberta,,78,M526x522S1f720506x492S15a1a496x510S20e00489x493S22f01474x478
always-si,sempre-si,162,M524x534S26720492x466S1f550500x519S1f558476x519
America,"United States of America, United States, USA, US",54,M530x532S14c02499x494S14c0a470x489S20700490x517S2e85e485x469
ANÁS,Anás,143,M519x541S1f502504x460S1f802503x508S20500505x530S26504504x488S2fb04481x530
animal,,185,M531x530S15550513x470S15558471x470S2e50c508x503S2e510469x499
Arizona,US State,5,M525x569S30005482x482S30003482x482S1f711471x514S20e00512x538S20e00475x538S22a04512x554S22a04475x554S1f711503x514S26502492x549
Arkansas,US State,6,M540x515S1f720461x500S11a20488x485S14020507x485S2f900529x491
Arpana,Offering,218,M533x531S15a31510x505S15a39468x508S2b700502x470S2b711470x474
Astitva,existence,233,M561x523S10028439x493S10021455x498S26506491x501S14c20511x491S26606531x507S22130509x483S22130509x477
"Atlanta, Georgia",,71,M524x515S36d00479x485S1f741467x493S26506494x497S20500514x498
Atman,Atma,200,M521x513S36d00479x491S1ce0e448x491S20500481x502S2c300423x487
"Baltimore, Maryland",,64,M513x521S14740493x479S22f04488x507
beautiful,,184,M548x550S30a00482x483S33e10493x506S29f04501x489S14c01522x492S1851e504x525
"Berkeley, California",,65,M524x522S14720477x478S23d04497x488
Bhagavan,,214,M550x518S10010534x445S22e00533x481S2ff00482x483
Bhakti,,216,M532x564S36d00479x436S37600490x468S15a01473x450S15a07509x449S20500522x471S20500475x476S15a01458x507S15a01436x523S25505480x527S25515458x545
birthday,,105,M522x539S15738479x512S15730504x512S27106507x469S27116478x469S2fb00493x461
boom down,,145,M521x512S36d00479x488S1f50e421x488
