dic_gloss,synonyms,sid,FSW
1,,252,M508x522S10000493x492S26500491x477
1,,3146,M519x515S10008504x485S26510480x485
1,,8731,M508x515S10000493x485
2,,2362,M507x524S10e00492x494S26500492x476
2,,2641,M518x515S10e08503x485S26510481x490
2,,8732,M508x515S10e00493x485
3,,2098,M509x525S18708491x496S26500493x474
3,,653,M509x514S18708491x485
4,,3240,M511x526S14400489x495S26500495x473
4,,8733,M511x516S14400489x485
5,,2385,M511x526S14c00488x495S26500493x473
5,,8734,M512x516S14c00489x485
6,,2087,M521x513S1f701479x486S26a06507x486
6,,8735,M519x519S1f501481x497S22f03498x481
6,zes,1563,M526x525S1f709475x503S26500509x476S26510478x477S14c01500x498
7,,344,M522x518S1dc01478x483S26a06508x491
7,,8736,M520x519S1dc01481x489S22f03499x481
8,,2019,M522x517S11e01478x482S26a06508x490
8,,8737,M522x520S11e01479x490S22f03501x481
9,,1845,M521x523S14403492x478S22f03479x502
9,,8738,M521x517S14401479x488S22f03500x483
10,,3407,M514x513S1f420485x498S22104486x487
11,,3416,M521x526S10100480x496S21b00491x474S26500507x505
11,elf,7504,M509x526S10154492x496S22e00492x475
12,,3417,M519x522S10f00481x492S21b00485x479S26500505x497
12,twaalf,7503,M509x526S10f54493x496S22e00492x474
13,,1092,M539x522S18700460x478S1f020510x491S22104506x478S2df08483x501
13,dertien,7501,M509x527S22e00492x474S18754491x498
14,,2997,M541x521S14400459x480S1f020512x495S22104508x482S2df08485x500
14,,4758,M511x526S14454489x495S26900494x474
14,veertien,7502,M511x527S22e00493x473S14454489x496
15,,5000,M512x527S14c54488x496S22e00492x473
15,,767,M540x523S14c00459x478S1f020511x494S22104507x481S2df08488x502
16,,2380,M544x521S1f701455x487S1f020515x492S22104511x479S2df08487x500
16,,8035,M526x518S1f503475x482S26502496x504S20310511x485
17,,1463,M547x524S26502452x507S1f020518x490S22104514x477S1dc01462x480S2df08492x503
17,,3589,M540x515S2df08485x493S1f020511x497S22104507x484S1dc01459x485
18,,3590,M543x515S2df08488x494S1f020514x497S22104510x484S11e01457x484
19,,2638,M544x521S14403456x493S1f020515x492S22104511x479S2df08490x500
19,,8034,M537x529S14c29467x473S14421504x472S2a205516x505S2a21d463x506
20,,3608,M517x513S13d20488x498S22124482x487
20,,7256,M518x514S22124483x487S13f20489x499
21,,3609,M536x515S13f20507x499S2df08481x490S10000463x485S22124503x487
22,,1063,M524x521S10e20475x479S2d604495x508
23,,2908,M537x517S13d20508x501S22504506x484S18700464x486S2df08485x496
23,,3610,M539x516S13f20510x501S2df08484x492S22124506x489S18700461x485
23,,7517,M537x516S13d20508x500S2df08485x495S18700464x485S22104507x488
24,,3611,M539x517S13f20510x502S2df08484x493S22124506x490S14400460x484
