dic_gloss,synonyms,sid,FSW
alpha,,6,M510x507S1f720490x492
beta,,8,M507x511S14720493x489
chi,,9,M515x507S11502485x492
delta,,24,M511x515S10510489x485
epsilon,,23,M508x507S14a20493x492
eta,,4,M510x514S1a020490x485
gamma,,7,M512x515S1dc04488x485
iota,,13,M510x509S19220489x490
kappa,,19,M511x515S11e20488x485
lambda,,21,M508x515S10e04493x485
mu,,10,M507x511S14704493x489
nu,,14,M508x515S11504493x485
omega,,5,M507x510S17736492x490
omicron,,18,M510x507S17710490x492
phi,,3,M508x514S1d820491x485
pi,,12,M510x514S1a004490x485
psi,,15,M511x513S1e540488x487
rho,,2,M508x515S11d20492x485
sigma,,20,M517x523S10020502x493S2920c483x477
tau,,17,M515x507S10002485x492
theta,,16,M509x525S11510492x476S20700491x510
upsilon,,22,M514x510S19a20486x490
xi,,1,M515x507S18c02485x492
zeta,,11,M529x517S10120513x487S24602470x483
