dic_gloss,synonyms,sid,FSW
1,,12,M507x515S10020492x485
1,,214,M508x515S10000493x485
1,,215,M508x515S10000493x485
2,,120,M507x515S10e20492x485
3,,39,M509x515S18620491x485
4,,169,M511x515S14420489x484
5,,123,M510x507S1f720490x492
6,,103,M515x512S1dc02485x488
7,,15,M515x511S11e02485x488
8,,100,M515x510S18e02485x490
9,,92,M514x510S15d02487x491
10,"十, じゅう",309,M511x513S10620490x487
123,,331,M530x526S30a00478x475S32a00494x482S33b00470x491
ﾞ,dakuten,306,M508x507S26506493x493
ﾟ,handakuten,307,M507x508S22a00494x493
ー,"長音符, long-vowel mark",298,M507x508S22a04494x493
0 (number),"零, れい",308,M508x508S17610492x492
a,,157,M510x507S1f720490x492
Adamu,,23,M513x522S18540487x478S21100488x494S1f510498x507
aisatsu,,59,M538x518S34500482x483S15a10526x485S20500513x479S26600510x446
aka,,87,M541x540S33b00482x482S10001492x510S20500512x515S26506526x514
amai,,3,M528x542S2ff00482x482S15a01505x508S22f03488x521
anata,,115,M507x515S10040492x485
ane,,127,M511x530S19200489x511S22b00495x470
ani,,72,M509x535S1c600494x505S22b00492x466
aruku,,181,M511x540S10e04495x494S22510489x527S26600493x459
ashita,,126,M566x517S2ff00482x482S10020528x472S26900550x486
atteru,,109,M532x578S30124482x477S10039475x548S10051502x547S20500494x536
Au,,76,M542x529S10010511x470S10018473x470S26602512x513S26616458x513S20500495x515
au,,162,M532x578S30124482x477S10039475x548S10051502x547S20500494x536
Baioman,,153,M525x558S20328478x458S14c10494x442S22b04495x528S28a08474x489S28a00508x490
basu,,96,M536x520S11e02506x497S11e0a464x497S22900493x479
basyo,,101,M512x520S15452487x480S22a04494x505
Botan,,8,M553x532S36d00479x472S20500494x483S20500494x501S20500494x520S1cf10526x468S22b04531x502
chi,,25,M514x510S19620486x489
Daiji,,43,M536x534S2ff00482x482S15a01492x511S20500514x512S20500526x512
damasu,"gomakasu, usotsuki",182,AS1a320S2e40eM528x517S1a320472x483S2e40e495x488
densya,,166,M524x513S11810475x486S26a00497x488
Dotti,,82,M542x530S10018473x471S10010506x471S23600503x513S23614457x512
