dic_gloss,synonyms,sid,FSW
1,,74,M508x515S10000493x485
2,,75,M508x515S10e00493x485
3,,76,M509x515S18700491x486
4,,77,M511x516S14400489x485
5,,78,M512x516S14c00489x485
6,,79,M508x512S1f502493x488
7,,80,M512x515S1dc01489x485
8,,81,M513x515S11e01488x485
9,,82,M517x517S20100483x502S2df00496x483
0 (number),,83,M508x508S17610492x492
A,,45,M513x508S18520488x493
Å,,71,M515x521S18520486x506S2e30a488x480
Ä,,72,M513x516S18520488x501S26506493x484
B,,46,M508x512S1f502493x488
C,,47,M510x509S16d32490x491
D,,48,M507x511S14720493x489
E,,49,M508x508S20120493x493
F,,50,M509x515S1d820492x486
G,,51,M508x508S20320493x493
H,,52,M508x515S1da20492x486
I,,53,M511x510S19220490x491
J,,54,M506x514S15a20494x487
K,,55,M515x515S14020486x485
L,,56,M508x515S10020493x485
M,,57,M510x513S18d50490x488
N,,58,M511x513S11950489x487
O,,59,M508x508S17620492x492
Ö,,73,M508x517S17620492x501S22a00493x483
P,,60,M511x513S1da13489x488
Q,,61,M511x511S1f521489x489
R,,62,M513x513S1c651488x487
S,,63,M509x510S16d20492x490
SIL2007,"Se, ( = See)",7,M518x557S2ff00482x482S10e00491x527S21600496x496S26504493x510
SIL2007,"Vet, (= Know)",6,M531x517S2ff00482x482S20500500x467S20500512x467S15a01508x484
SIL2007,Busig (= cheeky),12,M518x563S1f710492x548S2ff00482x482S20f00487x518S26a04488x532
SIL2007,"Do'v, Deaf",5,M542x533S10020527x492S2ff00482x482S20500513x495S20500495x503S27402505x515
SIL2007,"Död (= dead, death)",13,M533x569S18041504x513S2ff00482x482S22b04517x539S20e00505x537
SIL2007,Hörande (= hearing),9,M546x529S10011519x499S2ff00482x482S22f06532x486S20500516x476S20500527x476
SIL2007,Ont (=hurt),8,M526x543S31000482x482S10010487x513S20e00494x480S22b00510x510
SIL2007,Oslo,10,M524x521S1ce10475x478S2e600495x488
SIL2007,Vodka,4,M522x539S15a36478x504S15a40489x512S20e00510x504S22a00487x461S26500486x481
SIL2007,Stockholm,11,M532x517S15001504x447S2ff00482x482S20500505x473S20500515x473
SIL2007,,14,
SIL2007,,15,
SIL2007,,16,
Sverige,,1,M527x550S15a56500x529S17d51485x506S20800488x540S20e00492x490S22f00487x473S18551485x450S37716472x532
Sverige,,2,M520x537S15a56493x525S17d51483x499S20800480x526S20f00486x485S18551483x464
Sverige,,3,M519x543S15a56492x531S17d51483x508S20800480x531S20e00493x495S18551483x458S22f00487x478
Swedish Sign Language Alphabet,,19,
Swedish Sign Language Numbers,,20,
T,,64,M515x511S1de02485x489
U,,65,M508x515S11500493x485
V,,66,M508x515S10e00493x485
W,,67,M509x515S18700491x486
X,,68,M514x513S11a51487x487
Y,,69,M512x512S15d01489x489
Z,,70,M511x515S10031490x485
