dic_gloss,synonyms,sid,FSW
ADOPT-A-BOY,,27,M512x523S1f500487x508S17612487x478S20800490x492S1f500488x505
ADOPT-A-BOY,,93,M529x512S1f554470x490S20500498x492S15340514x487
ADOPT-A-BOY,,155,M528x512S20500499x493S15350513x487S1f558472x491
ADOPT-A-GIRL,,180,M530x512S19205470x489S20500502x493S15340515x487
ADOPT-A-GIRL,,181,M523x524S19207477x498S20800482x487S17612479x475S26526508x488
ADOPT-BOY,,151,M549x537S1f518506x499S20700510x463S17e10526x495S26613451x511S26603467x515
ADOPT-GIRL,,97,M550x523S19208506x484S17e10527x477S26613450x498S26603466x501
AGED,,36,M535x560S2ff00476x482S14c00501x479S28903473x495S1f702458x520S36f54525x550S36f54464x550S36d00479x549
AIRPLANE,,175,M515x525S1c651487x474S26602485x509
BABY,,5,M544x553S1c600458x446S1c610457x497S20700456x480S15a16499x541S15a1e495x512S20500507x526S23616527x514
BABY,,76,M554x600S1f502404x476S1f510404x513S20500407x500S22a04406x541S22a10405x458S36d00479x596S2ff00486x482S15a16467x562S15a1e508x550S20500496x556S23602537x538S23612446x548
BABY,,130,M581x518S15a32491x506S15a36479x483S36d00519x509S36d00436x486S36f43521x496S36f49419x482
BATHROOM,,168,M511x515S1d020488x485
BED,,182,M535x514S1a310512x485S20500495x497S1a318466x485
BEDROOM,,88,M686x572S33100482x482S20500495x499S19a00508x520S2e100510x543S15d02624x484S15d18612x506S15d10646x506S15d0a626x538S2d61e595x532S2d60a663x494
BELIEVE,,18,M523x527S11541499x473S11549476x500S20500480x487S22a04488x477
BLOOD-FAMILY,,66,M528x518S15a1a501x501S1da12481x483S20500490x507S23901472x490
BLOOD-FAMILY,,177,M547x516S15a1a520x504S36d00479x507S20e00512x498S1da12506x484S23901483x488
BORROW,,8,M515x537S14030486x462S26604493x507
BOY,,63,M512x526S1f508488x511S17612487x475S20800490x496
boy,,46,M507x507S1f510492x492
boy-child,,176,M564x536S1f510418x463S14c28463x493S14c20514x495S36d00479x532S25120546x495S25120439x496
BOY-SCOUT,,178,M542x517S2ff00482x482S18c2f516x485S20500502x485
BROTHER,,7,M544x517S2ff00482x482S1c632514x490S20500503x492
BROTHER,,118,M536x532S2ff00482x482S20500504x496S1c601511x506
BUDDHA,,105,M522x527S1a118477x473S10110481x497S20600500x491
BUG,,73,M518x530S26602482x496S19201486x471S22010484x519
CALENDAR,,139,M540x531S20500530x520S15a02460x491S15a06464x503S20500472x498S2b700464x468
CHILDREN,,142,M578x521S36d00479x484S14c20534x479S14c28445x480S27112418x481S27106563x481
CHILDREN,,161,M559x521S14c20514x480S14c28458x482S27106544x478S27112441x481
COPY,,31,M516x536S15a16483x517S14c51489x510S22a00496x495S18512495x464
COURTSHIP,,163,M545x512S16d58473x488S15d51522x489S21100455x490
COURTSHIP-DATING,,49,M515x533S19220494x514S1f520485x518S26600493x466S22514490x498
CROWD-CL,,25,M553x529S14c51526x503S14c59446x502S22517480x471S22511501x471S26517470x486S26501513x487
CRY,,56,M540x523S34100482x482S20500504x496S1ea12519x481S26504513x508
CRY,,92,M541x522S34100482x483S20500502x493S22a04511x507S1ea00518x493
"die, dead",逝 殂 身亡,191,M510x522S10610494x496S21600489x478S21600502x478
DIVORCE,,132,M548x513S19208487x494S1f510500x494S26512452x487S26506533x488
Do you have or not?,有沒有?,188,M548x520S2ff00482x482S15720528x493S22114522x476
DOCTOR,,91,M517x518S15a16490x485S11511484x491S20500483x482
dog,狗,186,M554x517S2ff00482x482S20500519x489S20500471x488S14c20529x475S14c28447x476S22114528x463S22114445x464
don't have,沒有,187,M546x524S15700525x497S2ff00482x482S22114520x481
DONT,,86,M521x540S2ff00484x482S36d00479x530S20500480x516S1d502489x516S2b700464x511
DONT,,127,M572x550S36a00482x477S20800495x515S1d502479x526S2d608517x509S14c20549x489
DOOR,,54,M515x511S14720501x489S14728486x489
DRAGON,,75,M529x535S36d00479x531S1a320502x494S25101498x465
