dic_gloss,synonyms,sid,FSW
-south-africa,,36,M533x544S20320474x468S2880a497x457S14c20510x483S22a03503x526S1f720468x529
Afrikaans,,49,M518x543S30004482x482S15720480x516S22520449x506S20500505x518
All,,6,M518x519S15d31481x496S2d608489x481
America,,20,M529x530S14c02498x486S14c0a472x490S20700493x515S2ea52487x470
Angry,,28,M535x579S30c00482x482S14e02504x553S14e0a470x554S28808511x531S28810478x530S2fb00493x522S34100482x482
any,,129,M544x538S14c02503x483S14c0a465x483S27200504x519S27214456x518S20b00493x463
Arrive,,4,M529x524S15d03486x487S15d3a472x505S20500471x493S28802507x475
ask,I ask you,136,M518x536S33b00482x483S10020499x506S10620492x417S26600497x446
ask,you ask me,137,M509x550S10000492x450S10600491x524S26604493x486
become,,152,M570x548S1ea21433x462S1ea09466x463S1ea01508x463S1ea29542x463S3780b441x477S37803454x477S37803530x477S3780b518x477S2d706503x518S2d712471x525S21404431x453S21400514x453
Belgium,,40,M533x536S30005482x482S14710506x514S20500521x502S26600517x468
bored,,64,M564x534S33100482x483S10011503x504S2c500524x503
Boy-friend,,10,M540x571S31400482x482S30000482x482S1f902499x548S1f90a483x548S22104501x535S22104485x536S1fb11512x472S20500495x477S2890c525x509
Braam,,52,M541x517S31400482x482S1f020512x483S22114507x474
Brazil,,43,M516x531S14730499x469S14738484x469S28926487x516S2892e484x498
Brazil-2,,13,M510x535S14710489x464S24a0c489x488
Bruno,,47,M521x515S36d00479x485S14711473x495S20500458x488S20500458x502
bull,,66,M526x531S33100482x483S1ce02479x509S20800516x513
Canada,,154,M521x525S36d00479x475S1f801480x487S37900519x477S37704495x504S20c00474x512
Canada,,35,M521x522S36d00479x479S1f702477x486S20c00470x509
Careless,,24,M531x583S30c00482x482S10001509x497S10009471x498S14c30507x552S14c38473x552S22a04512x533S22a14478x534
change,,153,M566x548S20303469x463S20301519x462S20323545x462S20321444x462S3780b445x477S37803458x477S37803534x477S3780b522x477S2d706507x518S2d712475x525S21404435x453S21400518x453
cheap,,145,M515x538S22a04501x501S1e420500x462S1f420485x523
cheese,,155,M535x531S14e02495x470S14c2e478x508S20f00466x496S23100509x498
Clean,,17,M535x530S15d39465x507S1d451490x479S20e00468x494S26a07514x471
Clean,,26,M539x532S15d39462x509S1c351486x479S26a07518x467
Climb,,32,M548x518S15020519x462S15028454x479S32100482x483S22130516x453S22130450x470S22b00525x420S22b10459x436
colours,colors,104,M538x532S14c20515x468S14c28463x468S2e500514x505S2e518464x505
