dic_gloss,synonyms,sid,FSW
-28,"마음에들다1, 1, 권지운",446,M644x594S35000482x483S10b12513x533S10b19471x552S22f03536x506S22f15450x535S15800611x496S10058613x534S2451a613x576
-28,"마음에들다1, 2, 권지운",447,M666x579S34200482x483S10058491x527S26500493x564S19a10638x512S19a18565x513S20500611x490S22a06646x489S22a12572x489
-28,"마음에들다1, 3, 권지운",448,M534x587S15d30402x522S15d38344x522S2310a399x489S23112349x490S2fb00376x478S30b00482x483S35000482x483S1f540519x515S1f548470x517S2f700497x580S26620495x542
-28,"마음에들다1, 4, 권지운",449,M583x601S31200427x479S34e00427x479S1eb36439x572S1eb59427x523S20500454x559S22b10424x544S34900538x477S10031557x571S36a00538x477S10009533x519S20500573x512S22a14553x543S10059536x572S20500568x568
-28,"마음에들다1, 5, 권지운",450,M518x595S33e00482x483S15830487x569S20800501x562S1f45a481x541S22a10483x521
-28,"마음에들다1, 권지운",445,M582x557S2ff00422x484S11810470x492S11818395x493S27100457x526S2711c385x529S2fb04436x551S2ff00543x482S10009535x498S28c1c561x496
1,"일, 하나, one",108,M508x515S10020493x485
1,"한국수어 표제어1, 수어문자 1",16311,M521x521S12d01496x494S12d09480x494S20600489x479
1,"한국수어표제어1, 수어문자 표기1",16303,M531x520S12d09470x493S12d31506x493S20600489x480
1,,1664,M508x515S10000493x485
1,,31372,M518x538S33200482x483S1dc00486x508S21800473x500
1,,49322,M532x538S1c600468x506S1c600517x508S31a00482x483S33e10493x507
1,,49666,M509x508S20a00491x493
1,,49667,M505x506S20500495x495
1,,49668,M509x508S20700491x493
1,,49669,M505x505S20800495x495
1,,49670,M505x505S20800495x495
1,,49671,M507x507S20b00494x494
1,,49672,M511x508S20d00490x493
1,,49673,M506x506S20e00494x494
1,,49674,M510x508S21000490x493
1,,49675,M507x507S21100494x493
1,,49676,M511x508S21300490x492
1,,49683,M508x503S21400493x498
1,,49684,M503x508S21402498x493
1,,49685,M503x508S21406498x493
1,,49686,M508x503S21404493x498
1,,49687,M508x504S21410493x496
1,,49688,M504x509S21412496x492
1,,49689,M504x508S21416496x492
1,,49690,M508x504S21414493x496
1,,49694,M504x504S21600496x496
1,,49730,M508x515S26600492x485
2,"이, 둘, two",109,M508x515S10e20493x485
2,"한국수어 표제어2, 수어문자 표기2",16312,M576x525S32b20451x483S32b10514x483S13540552x485S13540424x489S20500447x514S20500545x513S22a06492x495
2,"한국수어표제어2, 수어문자표기2",16306,M573x518S2ff00440x483S2ff00525x482S13540447x489S13540549x488S20500442x499S20500541x500S22a06495x494
2,,1,M507x515S10e20492x485
2,,29262,M508x515S10e20493x485
2,,30706,M508x515S10000493x485
2,,30707,M508x515S10000493x485
2,,30708,M508x515S10000493x485
3,"Three, 삼",45,M509x515S18620491x485
3,"삼, 셋, three",111,M509x515S18620491x485
3,"삼, 셋, three",112,M509x515S18620491x485
3,"한국수어 표제어3, 수어문자 표기3",16309,M602x536S2ff00482x483S1f540494x512S20500496x502S10010551x506S10610587x510S22a06523x522
3,,29261,M509x515S18620491x485
3,,38044,M512x515S11e00489x485
