dic_gloss,synonyms,sid,FSW
4,"katër, four",22,M574x567S35d04427x483S34c00455x483S35d00483x483S34700511x483S35d04538x482S14420532x536
?,,33,S38902493x464
.,,34,S38802496x464
A,,54,M526x551S34c00482x483S1f720506x536
Albania,,3,M536x519S22113517x481S22115465x482S15a07498x496S37c0b496x496S37c03495x496S15a01480x496
Albania,Shqiperia,19,M548x619S22113524x538S22115471x539S15a07505x553S37706520x617S37706488x617S37706456x617S34c00452x482S35c00483x483S35000512x483S15a01487x552S37c03502x553S37c0b503x553
Albert,,46,M535x560S31400482x483S33e10492x505S18000505x488S16f30490x513S22a04520x505S37906482x558
Amerika,america,113,M533x618S14c02496x553S14c0a470x556S20700491x582S2ea52486x531S37a06465x616S37a06485x616S34c00482x483
Angli,England,117,M544x587S30004482x483S1e102491x518S20500478x513S20500511x513S2e200524x505S37a06482x585
Armeni,Armenia,139,M591x611S34c00409x483S35d04439x483S33b00468x482S34700498x482S34800555x482S35d00526x482S37806540x609S37806500x609S1f502520x566S11504515x536S2f005535x544S37806425x609S37806462x609
B,,55,M535x549S35000482x483S14720521x527
Babi,,2,M575x522S35f00482x483S14710542x494S20500526x492S20500525x508S2360a558x483
bëj,make,66,M533x601S18511506x524S18519467x537S2e502504x557S2e51e469x570S2fc04499x590S35000482x483S30a30488x489
Biçikletë,bike,73,M562x607S20350498x580S2ea4c475x557S20358475x592S2ea00498x547S35000438x482S34800467x482S35d00497x482S34500526x483
Boby,,47,M537x564S35000482x483S1f700492x513S20600515x517S31430489x495S37906477x562
Brazil,Brazil,116,M576x589S35000424x483S35d04454x483S34c00484x483S36100513x483S14710551x491S24a0c550x524S37a06435x587S37a06478x587S37a06509x587S2ff00540x483
buzëqeshje,smile,120,M545x521S31400482x483S33e00482x483S17e11514x500S17e19460x501S22a07532x486S22a11457x486
buzëqeshje,smile,121,M545x521S31400482x483S33e00482x483S17e11514x500S17e19460x501S22a07532x486S22a11457x486
C,,56,M532x548S36100482x483S16d10515x528
ç,,48,M540x546S36100482x483S16d10523x525S21900504x540
