dic_gloss,synonyms,sid,FSW
bad,"ganda (person), bura",10,M518x612S21a13477x547S17720485x527S14c20483x581S31300482x483S34100482x483
chahna,"chah raha, want, chah rahi, chah, chahta, chahti",9,M522x542S15a06488x530S22436478x479S20300492x458
five,5,5,M512x516S14c20489x485
friend,dost,12,M544x533S1001e514x518S10027456x468S22b05485x481S20500505x518
jana,go,7,M526x541S22304476x480S14c00503x510S18210474x460
Mera,,2,M523x523S10110497x493S20600501x477S26700477x478
open,"kholna, kholo, khol, khula, khulay, khulna",11,M515x545S15a28487x455S15a20501x455S15a18487x518S15a10503x518S22a04501x489S22a24486x489S2fb04492x507
Pakistan,,14,M522x523S10018487x493S1d410493x481S20600478x478
pouch,ask,8,M522x553S34500482x483S1eb06485x519S26604506x523
pouchna,ask,6,M522x553S34500482x483S1eb06485x519S26604506x523
room,,4,M548x543S20500497x457S10101510x467S10109474x467S29015452x491S2900d525x493S20500494x532S2f804481x518
school,,3,M518x580S34700482x483S15d00494x553S26500493x528
گھر,,13,
