dic_gloss,synonyms,sid,FSW
a,,82,M510x508S1f720490x493
Antes o pre,,164,M532x524S15d59479x493S15d41506x501S20500482x480S20500468x494S28803512x477
aplaudir,"aplauso, palmotear",63,M519x522S15a18481x484S15a10495x495S20600497x479
b,,83,M507x511S14720493x489
Básico,,150,M522x521S14710479x480S2e500499x494
bebé,"guagua, nene, nena",18,M550x520S27126535x481S37906466x505S15a3a503x499S20500450x497S37906482x491S15a32460x487
Buenos,"Buenas, Buen",165,M528x518S18507472x491S27100488x482
c,,84,M509x510S16d10492x490
caballo,,126,M537x518S1ed10511x473S1ed18462x473S30001482x483S30007482x483S20800520x494S20800470x494
casa,vivienda,62,M524x519S15a11501x496S15a19477x496S20600490x481
casas,viviendas,66,M531x520S15a11494x497S15a19469x496S20610477x481S22a26516x480
Catorce,,140,M520x516S14500481x485S22504508x488
catorce,14,33,AS14400S22114M514x521S14400487x490S22114488x479
cero,,19,AS17610M508x508S17610492x492
Chile,,125,M521x533S36d00479x468S1bb01470x477S20f00475x508S21d00479x525
cien,100,50,AS10602S21600S26606M520x518S10602494x484S26606490x502S21600480x483
Cinco,,131,M512x516S14c20489x485
cinco,5,24,AS14c00M512x516S14c00489x485
Cuatro,,130,M511x516S14420489x485
cuatro,4,23,AS14400M511x516S14400489x485
cuatrocientos,400,53,AS14502S21600S26606M521x520S21600479x488S26606491x504S14502490x481
d,,85,M508x515S10110492x485
Diecinueve,,145,M520x516S18e50480x484S2ea00505x491
diecinueve,19,39,AS18e50S2eb00M520x516S18e50481x485S2eb00505x484
Dieciocho,,144,M521x515S11e50479x485S2ea00506x490
dieciocho,18,38,AS11e50S2eb00M522x516S11e50479x485S2eb00507x484
Dieciséis,,142,M523x513S1f550477x493S2ea00508x488
dieciséis,16,36,AS1f550S2eb00M522x516S1f550478x492S2eb00507x484
Diecisiete,,143,M523x517S10050487x484S1f520478x501S2ea00508x492
diecisiete,17,80,AS1dc50S2eb00M522x517S1dc50479x487S2eb00507x484
diez,10,29,AS14c20S14c28S20500M524x522S14c20501x479S14c28476x479S20500495x511
Diez (1),,136,M526x516S14c20503x485S14c28474x485
difícil,"complicado, complicada",77,M543x519S30a00482x482S30000482x484S34300482x484S10012513x481S21900510x468S26502489x463S20e00529x466
Doce,,138,M516x516S11800484x489S22504504x484
doce,12,31,AS10e00S22114M513x521S10e00491x491S22114487x479
docientos,200,51,AS11002S21600S26606M521x518S21600480x484S11002493x483S26606491x502
Dos,,128,M508x515S10e20493x485
dos,2,21,AS10e00M508x515S10e00493x485
e,,86,M511x509S16720489x491
Ed. Media,,160,M522x529S10049478x491S10041496x499S20e00493x472S26505509x492
En la mañana,,168,M526x522S15d00486x495S15d0a474x495S20e00511x503S22f00501x478
Escritura de Señas Chileno,,171,M533x585S31400482x483S33e00482x483S15d39487x557S14c41499x534S22621489x523S21100497x568S26a07512x564
f,,87,M515x514S1d220486x486
g,,88,M524x517S1ec10477x493S2a508503x484
Gracia,,170,M519x568S31400482x483S34010492x506S1ce10497x522S1ce18479x522S20a00489x553
h,,89,M515x508S11502485x493
hermano,,68,M519x523S10050504x493S10058482x493S20600490x477
hola,,15,M519x529S14c20482x471S27106504x489
hora,tiempo,71,M526x522S20359496x479S3770b478x496S20601474x488S10051496x501
humillar,marginar,76,M523x534S22b23499x510S14c11483x467S10019478x488S20500504x494
i,,90,M511x510S19220490x491
igual,,69,M520x524S10050505x494S10058480x493S20b00494x476
j,,91,M518x518S19220497x499S2a20c482x482
junto,"con, compañía",70,M521x515S1f748479x500S1f740501x500S20500495x485
k,,92,M515x515S14020486x485
Kinder,,163,M524x515S14010476x485S22f02510x489
l,,93,M512x515S1dc20488x485
Laboral,,162,M538x527S10020497x474S1f520488x489S20300488x512S37706464x518S2e508515x499S20f00462x498
leer,lectura,78,M529x529S15a07472x471S2480b508x505S10e51481x483
m,,94,M509x515S18604491x485
mi,"mío, mía",74,M514x514S20500487x503S15d01491x487
mil,1000,60,AS18250S15a39S28801S20500M530x516S15a39471x488S20500499x484S18250480x501S28801510x493
millón,1000000,81,AS18211S15a38S37800S21100S26500M517x535S15a38484x476S18211492x496S37800489x503S21100499x481S26500498x465
n,,95,M508x515S10e04493x485
ñ,,96,M511x529S10e04494x472S28806489x503S28806489x517
Nivel,,161,M532x523S15d18469x483S18210493x508S29200518x479S20500491x478S20500491x491
no,,65,M516x534S10020492x467S22b02484x518S22b06486x502
novecientos,900,58,AS18e02S21600S26606M522x521S21600478x487S26606492x505S18e02491x479
Nueve,,135,M510x515S18e20490x485
nueve,9,28,AS18e01M513x513S18e01487x487
o,,97,M508x508S17610492x492
Ocho,,134,M512x515S11e20489x485
ocho,8,27,AS11e01M513x515S11e01488x485
ochocientos,800,57,AS12202S21600S26606M523x521S21600478x484S26606493x505S12202493x479
Once,,137,M516x515S22504504x485S10a00484x489
once,11,30,AS10000S22114M514x522S10000487x492S22114488x479
p,,98,M508x516S11704493x484
primero,,151,M521x523S20320479x492S10000506x477S2c633494x510
q,,99,M511x515S1ce04489x485
Quince,,141,M531x527S14c50481x475S2c600512x480S26500512x474S1004a469x510S20500498x516S20500511x516
quince,15,35,AS14c42S2e004M528x514S2e004507x486S14c42473x489
quinientos,500,54,AS15002S21600S26606M521x521S21600479x489S26606491x505S15002490x479
r,,100,M508x515S11a20493x485
s,,101,M519x523S10020482x493S28c34489x477S28c0c498x495
