dic_gloss,synonyms,sid,FSW
¿Donde?,¿En que lugar?,59,M531x583S30c00482x482S14c30507x518S14c38463x518S26c02514x556S26c1a463x554
.exe,"punto exe, exe",914,AS14920S10820S14920S1eb20S26900S15d09S2f900S21414S20500M535x542S14920474x521S10820493x515S14920519x524S15d09466x475S1eb20492x485S26900519x495S20500492x472S21414489x458S2f900469x500
.exe,"punto exe, exe",915,AS1eb20S26900S10820S22214M529x523S10820496x497S22214508x498S1eb20471x504S26500479x489S2f700479x478
.exe,exe,916,AS10820S22214M517x513S10820484x487S22214496x488
A,,43,AS1f720M510x508S1f720490x493
a distancia,a lo lejos,795,AS10110S26505S20500S2fb03S10118S26511M530x527S10118489x474S10110500x480S20500491x508S2fb03484x515S26505517x513S26511470x477
a veces,"en ocasiones, de vez en cuando, de cuando en cuando, de tiempo en tiempo, en algunas ocaciones",529,AS14c20S23700S14c0cS2371cS30241M553x581S14c20523x505S14c0c457x550S23700514x540S2371c449x525S30241482x478
Aa tactil,,557,AS1f720S15d08S21410S21414S20500M520x526S15d08480x474S20500488x510S21414502x506S21410502x518S1f720500x486
Aarón,,180,AS1f711S31100S21100S26a06S2f900M525x517S31100482x482S21100495x465S26a06511x461S2f900496x458S1f711471x463
abajo,,530,M513x522S10c50490x478S22f04488x508
abandonar (1),"dejar, arrojar, renunciar",531,AS20320S25603S14c51S20321S25613S14c5fM563x535S20320548x467S20321493x465S14c51490x509S14c5f438x506S25603519x485S25613468x485
abandonar (2),"dejar (2), renunciar (2), salir abruptamente de",532,AS11502S26506S11501S17624S20700M541x523S17624459x483S11502467x489S20700468x508S26506502x489S11501516x478
abandonar (2),"dejar (2), salirse de (2), renunciar (2), salir abruptamente de",533,AS11540S26504S11510S17614S20700M522x546S17614481x455S11540483x460S20700504x460S26504483x495S11510479x516
abandonar (2),"dejar (2), salirse de (2), salirse abruptament de",534,AS11526S26502S11527S17604S20700M543x522S17604525x485S11526504x489S20700525x507S26502484x490S11527457x479
Abednego,,187,AS1f710S30007S20e00S26a04M540x531S30007482x482S1f710520x481S20e00520x500S26a04512x517
Abel,,188,AS1f614S2031aS37806S20e00S26a02M536x519S2031a521x504S37806495x504S1f614501x492S20e00483x488S26a02464x481
abierta,abierto,794,AS15d02S26906S20500S2fb00S15d0aS26912M550x520S15d02501x489S15d0a472x488S26906532x494S26912451x492S20500496x509S2fb00494x481
Abigail,Abigaíl,189,AS1f720S30007S20500S29904M536x529S30007482x482S1f720515x478S29904522x497S20500505x469
Abinadab,,190,AS1f711S30004S20500S22b00S14721S30000S20500M535x542S30004482x482S30000482x482S1f711488x520S14721489x458S20500523x518S20500522x469S22b00519x483
Abiram,,191,AS1fa10S33100S20e00S26a06M542x539S26a06528x512S33100482x482S20e00513x518S1fa10507x499
Abisai,,192,AS1f810S33100S21410S20600M526x542S33100482x482S1f810504x501S20600504x520S21410507x534
Abner,,193,AS1f511S36d00S20500S24b34S37606S20500M521x539S24b34450x477S20500455x462S36d00479x471S20500455x509S37606478x471S1f511471x462
abogado,,535,AS1ea10S23004M514x523S1ea10486x478S23004489x505
abortar (1),aborto (1),536,AS20301S28805S14c04S16e09S20700M532x537S16e09485x464S20301485x471S28805492x495S14c04509x506S20700469x489
abortar (2),aborto (2),537,AS20301S28805S36d10M522x526S20301494x482S28805502x506S36d10479x474
Abrahán,,194,AS20310S37900S16d0aS2fd04S25504S20800M523x527S16d0a477x492S37900485x487S20310478x473S20800507x501S25504505x474S2fd04500x514
abrigo,"gabán, tapatodo, sobretodo",539,AS20301S20309S36d00S28803S2881bS2030aS20302S20500M537x538S36d00479x462S20301516x466S20309464x465S20500497x527S2030a485x508S20302503x508S28803500x484S2881b480x484
abrir,abrir hojas batientes,540,AS15d02S15d0aS2df08S2df10M547x521S15d02501x480S15d0a474x480S2df08526x500S2df10454x500
Absalón,,195,AS15851S30000S21400S26a04S1f720M548x517S30000482x482S1f720522x502S15851482x459S26a04521x483S21400526x472
Abscisa (matemáticas),,986,M527x536S1dc28474x497S2f900478x531S10c04493x494S20500504x511S1eb20502x478S26500512x464S22a04514x501
abstracto,,475,M524x530S17439492x514S22622477x486S22f00495x471S14c12487x487S20500514x509
abuelo/abuela,"abuela, abuelo",541,AS30006S17710S20600M540x526S30006482x483S17710520x492S20600514x515
aburrido (1),aburrimiento (1),542,AS10021S20500S2c300S33100S30e00S35000S30741M539x554S2c300513x531S35000482x488S10021503x506S33100482x488S30e00482x488S30741492x477S20500499x540
aburrido (2),aburrimiento (2),543,AS10012S36a00S30d00S36100S21100S2d504M527x542S36100482x477S30d00482x477S36a00482x477S10012497x514S21100476x522S2d504490x533
abusar,abuso,544,AS1f502S36d00S20b00S28808S33c00S30240M532x577S30240482x478S33c00482x488S36d00479x530S1f502511x553S20b00503x540S28808520x534
Acab,,199,AS1f710S31200S20e00S2c400M557x517S31200482x482S20e00534x500S1f710493x464S2c400517x473
academia,académico,455,AS19b10S28807S19a10S30007S20e00M564x518S30007482x483S19b10513x475S19a10536x435S28807536x458S20e00502x467
Acán,,196,AS1f711S37602S20500S22a07S20500M527x533S37602492x466S1f711472x511S20500494x506S20500517x484S22a07503x495
Acaz,,201,AS10021S36a00S20500S2c300M558x537S36a00482x477S10021513x516S20500519x502S2c300532x494
accesar,"acceder, entrar",504,AS14740S21100S26a00S15a1aS2f900S21404M529x527S15a1a472x483S14740477x499S21404509x504S21100511x513S26a00502x485S2f900478x474
acción,,805,AS20351S26c07S2fb00S20357S26c11M538x522S20357475x501S20351501x495S26c07518x478S26c11462x484S2fb00489x484
aceite,,301,AS1c131S15d49S21511S20e00S22f04S1c331M528x545S15d49472x463S1c131500x456S21511490x485S20e00508x489S22f04503x504S1c331500x520
acelerar,aceleración,545,AS14017S20e00S22914S26600S1401fS20e00S22914S26610S31500S33c00M550x560S26610462x487S22914469x550S20e00473x534S20e00513x534S14017526x526S22914509x550S26600521x486S1401f449x525S31500482x483S33c00482x483
